Rank,Athlete,Nation,D,E,ND,Total,round,year
1,max whitlock,none,7.0,8.5,0.0,15.5,final,2019
2,lee chih kai,none,6.5,8.933,0.0,15.433,final,2019
3,rhys mcclenaghan,IRL,6.4,9.0,0.0,15.4,final,2019
4,zou jingyuan,CHN,6.3,8.7,0.0,15.0,final,2019
5,kazuma kaya,JPN,6.6,8.266,0.0,14.866,final,2019
6,cyril tommasone,FRA,6.3,8.533,0.0,14.833,final,2019
7,shiao yu-jan,none,6.0,8.733,0.0,14.733,final,2019
8,david belyavskiy,RUS,6.4,7.166,0.0,13.566,final,2019
9,daiki hashimoto,JPN,5.9,7.433,0.0,13.333,final,2019
1,max whitlock,none,6.9,8.366,0.0,15.266,qual,2019
2,rhys mcclenaghan,IRL,6.3,8.9,0.0,15.2,qual,2019
3,lee chih kai,none,6.2,8.766,0.0,14.966,qual,2019
4,zou jingyuan,CHN,6.0,8.958,0.0,14.958,qual,2019
5,daiki hashimoto,JPN,6.0,8.883,0.0,14.883,qual,2019
6,shiao yu-jan,none,6.0,8.683,0.0,14.683,qual,2019
7,cyril tommasone,FRA,6.3,8.366,0.0,14.666,qual,2019
8,kazuma kaya,JPN,6.4,8.233,0.0,14.633,qual,2019
8,david belyavskiy,RUS,6.4,8.233,0.0,14.633,qual,2019
10,oleg verniaiev,UKR,6.5,8.1,0.0,14.6,qual,2019
11,kakeru tanigawa,JPN,6.3,8.1,0.0,14.4,qual,2019
12,nariman kurbanov,KAZ,5.9,8.4,0.0,14.3,qual,2019
13,harutyun merdinyan,ARM,5.8,8.333,0.0,14.133,qual,2019
14,akim mussayev,KAZ,6.1,8.033,0.0,14.133,qual,2019
15,marios georgiou,CYP,6.3,7.8,0.0,14.1,qual,2019
16,nikita nagornyy,RUS,6.2,7.833,0.0,14.033,qual,2019
17,abdulla azimov,UZB,6.2,7.8,0.0,14.0,qual,2019
18,daniel corral,MEX,5.8,8.166,0.0,13.966,qual,2019
19,artem dolgopyat,ISR,5.6,8.333,0.0,13.933,qual,2019
20,ferhat arican,TUR,5.6,8.233,0.0,13.833,qual,2019
21,francisco barretto,BRA,5.6,8.133,0.0,13.733,qual,2019
