Rank,Athlete,Nation,D,D.1,E,E.1,ND,ND.1,Total,Total.1,Average,round,year
1,yang hak-seon,SKR,6,5.6,9.3,9.066,0.0,-0.1,15.3,14.566,14.933,qual,2019
10,loris frasca,FRA,5.6,5.6,8.833,8.933,0.0,0.0,14.433,14.533,14.483,qual,2019
11,james bacueti,AUS,6,5.2,8.666,9,0.0,0.0,14.666,14.2,14.433,qual,2019
12,carlos edriel yulo,PHI,5.6,5.6,8.933,8.933,-0.1,-0.1,14.433,14.433,14.433,qual,2019
13,jorge vega,GUA,5.6,5.2,9.266,8.666,0.0,0.0,14.866,13.866,14.366,qual,2019
14,yahor sharamkou,BLR,5.2,5.6,8.966,8.966,0.0,0.0,14.166,14.566,14.366,qual,2019
15,giarnni regini-moran,none,5.6,5.4,8.933,8.9,0.0,-0.1,14.533,14.2,14.366,qual,2019
16,oleg verniaiev,UKR,5.6,5.6,9.133,8.466,0.0,-0.1,14.733,13.966,14.349,qual,2019
17,david rumbutis,SWE,5.2,4.8,9.333,9,0.0,0.0,14.533,13.8,14.166,qual,2019
18,fabian de luna,MEX,5.2,5.2,8.8,9.033,0.0,0.0,14,14.233,14.116,qual,2019
19,andrey medvedev,ISR,5.2,5.6,8.966,8.666,-0.1,-0.1,14.066,14.166,14.116,qual,2019
2,artur dalaloyan,RUS,5.6,5.6,9.533,9,0.0,-0.3,15.133,14.3,14.716,qual,2019
20,agus prayoko,INA,5.6,5.2,8.666,8.666,-0.1,0.0,14.166,13.866,14.016,qual,2019
21,daniel villafañe,ARG,5.2,5.2,8.875,8.833,-0.1,0.0,13.975,14.033,14.004,qual,2019
22,ahmed anis maoudj,ALG,5.2,4.8,9.1,8.8,0.0,-0.1,14.3,13.5,13.9,qual,2019
23,ri se gwang,none,5.2,6,8.633,7.7,0.0,0.0,13.833,13.7,13.766,qual,2019
24,jim man hin,HKG,5.2,4.8,8.9,8.6,0.0,0.0,14.1,13.4,13.75,qual,2019
25,artur davtyan,ARM,5.6,5.6,8.933,7.5,0.0,-0.3,14.533,12.8,13.666,qual,2019
26,murad agharzayev,AZE,5.2,5.2,8.833,8.433,-0.3,-0.1,13.733,13.533,13.633,qual,2019
27,vitalijs kardasovs,LAT,4.8,5.2,8.833,8.166,0.0,0.0,13.633,13.366,13.499,qual,2019
28,mohamed aziz trabelsi,TUN,5.2,4.8,8.266,8.7,0.0,0.0,13.466,13.5,13.483,qual,2019
29,olegs ivanovs,LAT,4.8,4,9.066,9.066,0.0,0.0,13.866,13.066,13.466,qual,2019
3,shek wai hung,HKG,6,6,8.966,8.466,0.0,-0.1,14.966,14.366,14.666,qual,2019
30,tikumporn surintornta,THA,5.2,5.2,7.666,8.666,0.0,-0.1,12.866,13.766,13.316,qual,2019
31,rihards trams,LAT,4.8,4,8.833,8.9,0.0,0.0,13.633,12.9,13.266,qual,2019
32,ivan tikhonov,AZE,5.6,4.8,7.933,8.3,-0.1,0.0,13.433,13.1,13.266,qual,2019
33,mohamed abdeldjalil bourguieg,ALG,5.2,4.8,9.1,7.633,0.0,-0.3,14.3,12.133,13.216,qual,2019
34,tom nicolaou,CYP,5.2,5.2,8.6,7.566,0.0,-0.3,13.8,12.466,13.133,qual,2019
35,frantisek cerny,CZE,5.2,4.8,7.6,8.733,-0.3,0.0,12.5,13.533,13.016,qual,2019
36,gerardo cabrera,URU,4.8,4.4,8.633,8.666,-0.3,-0.3,13.133,12.766,12.949,qual,2019
37,joao fuglsig,DEN,4.8,5.2,8.066,7.666,-0.1,0.0,12.766,12.866,12.816,qual,2019
38,filip sasnal,POL,5.2,4,7.566,8.766,-0.1,0.0,12.666,12.766,12.716,qual,2019
39,victor rostagno,URU,4.8,5.2,7.566,7.466,-0.1,0.0,12.266,12.666,12.466,qual,2019
4,igor radivilov,UKR,5.6,5.6,9.233,8.9,0.0,0.0,14.833,14.5,14.666,qual,2019
5,le thanh tung,VIE,5.6,5.2,9.3,9.166,0.0,0.0,14.9,14.366,14.633,qual,2019
6,marian dragulescu,ROU,5.6,5.8,9.016,8.933,0.0,-0.1,14.616,14.633,14.624,qual,2019
7,nikita nagornyy,RUS,5.6,5.6,9.3,8.733,0.0,0.0,14.9,14.333,14.616,qual,2019
8,dominick cunningham,none,5.6,5.4,9.166,8.966,0.0,0.0,14.766,14.366,14.566,qual,2019
9,kim han-sol,SKR,5.6,5.2,9.066,9.2,-0.1,0.0,14.566,14.4,14.483,qual,2019
—,casimir schmidt,NED,5.6,DNS,7.566,DNS,0.0,0.0,13.166,DNS,DNF,qual,2019
—,konstantin kuzovkov,GEO,4.8,DNS,8.866,DNS,-0.1,0.0,13.566,DNS,DNF,qual,2019
—,milad karimi,KAZ,5.2,DNS,9.166,DNS,0.0,0.0,14.366,DNS,DNF,qual,2019
—,trevor howard,USA,5.2,DNS,8.733,DNS,0.0,0.0,13.933,DNS,DNF,qual,2019
