Rank,Athlete,Nation,D,E,ND,Total,year,round
1,Mélanie De Jesus Dos Santos,FRA,6.0,7.9,0.0,13.9,2021,final
2,Sanne Wevers,NED,5.6,8.266,0.0,13.866,2021,final
3,Anastasiia Bachynska,UKR,5.6,7.733,0.0,13.333,2021,final
4,Amelie Morgan,GBR,5.3,7.866,0.0,13.166,2021,final
5,Martina Maggio,ITA,4.9,8.1,0.0,13.0,2021,final
6,Marine Boyer,FRA,5.3,7.566,0.0,12.866,2021,final
7,Lieke Wevers,NED,5.1,7.2,0.0,12.3,2021,final
8,Elina Vihrova,LAT,4.6,6.6,0.0,11.2,2021,final
1,Larisa Iordache,ROU,6.1,7.366,,13.466,2021,qual
2,Sanne Wevers,NED,5.3,8.133,,13.433,2021,qual
3,Amelie Morgan,GBR,5.4,8.033,,13.433,2021,qual
4,Lieke Wevers,NED,5.2,8.2,,13.4,2021,qual
5,Martina Maggio,ITA,5.2,8.166,,13.366,2021,qual
6,Mélanie De Jesus Dos Santos,FRA,5.4,7.966,,13.366,2021,qual
7,Elina Vihrova,LAT,5.2,8.033,,13.233,2021,qual
8,Marine Boyer,FRA,5.5,7.733,,13.233,2021,qual
9,Marta Pihan-Kulesza,POL,5.4,7.733,,13.133,2021,qual
10,Anastasiia Bachynska,UKR,5.6,7.533,,13.133,2021,qual
11,Vladislava Urazova,RUS,5.6,7.433,,13.033,2021,qual
12,Maria Ceplinschi,ROU,4.9,8.033,,12.933,2021,qual
13,Carolann Heduit,FRA,5.1,7.833,,12.933,2021,qual
14,Sheyen Petit,FRA,5.3,7.566,,12.866,2021,qual
15,Filipa Martins,POR,5.2,7.6,,12.8,2021,qual
16,Viktoria Listunova,RUS,5.6,7.2,,12.8,2021,qual
17,Phoebe Jakubczyk,GBR,4.9,7.8,,12.7,2021,qual
18,Alice Kinsella,GBR,5.5,7.266,-0.1,12.666,2021,qual
19,Vanessa Ferrari,ITA,5.1,7.633,-0.1,12.633,2021,qual
20,Tonya Paulsson,SWE,5.0,7.6,,12.6,2021,qual
21,Emma Malewski,GER,5.5,7.1,,12.6,2021,qual
21,Giorgia Villa,ITA,5.5,7.1,,12.6,2021,qual
23,Göksu Üctas Sanli,TUR,5.1,7.466,,12.566,2021,qual
24,Ada Hautala,FIN,4.9,7.566,,12.466,2021,qual
25,Angelina Melnikova,RUS,5.2,7.266,,12.466,2021,qual
26,Brygida Urbanska,POL,4.9,7.533,,12.433,2021,qual
27,Kim Bui,GER,4.9,7.525,,12.425,2021,qual
28,Naomi Visser,NED,5.2,7.3,-0.1,12.4,2021,qual
29,Zsofia Kovacs,HUN,5.5,6.9,,12.4,2021,qual
30,Aneta Holasova,CZE,4.7,7.666,-0.1,12.266,2021,qual
31,Lihie Raz,ISR,5.2,7.066,,12.266,2021,qual
32,Zoja Szekely,HUN,4.7,7.533,,12.233,2021,qual
33,Barbora Mokosova,SVK,4.2,7.966,,12.166,2021,qual
34,Maisa Kuusikko,FIN,4.7,7.433,,12.133,2021,qual
35,Elisabeth Seitz,GER,4.9,7.233,,12.133,2021,qual
36,Jennifer Williams,SWE,5.2,6.933,,12.133,2021,qual
37,Marlies Männersdorfer,AUT,4.4,7.7,,12.1,2021,qual
38,Csenge Bacskay,HUN,4.7,7.366,,12.066,2021,qual
39,Emma Slevin,IRL,5.0,7.033,,12.033,2021,qual
40,Mali Neurauter,NOR,4.6,7.4,,12.0,2021,qual
41,Giulia Steingruber,SUI,5.0,7.0,,12.0,2021,qual
42,Bilge Tarhan,TUR,5.1,6.766,,11.866,2021,qual
43,Fien Enghels,BEL,4.8,6.933,,11.733,2021,qual
44,Tisha Volleman,NED,5.3,6.433,,11.733,2021,qual
45,Illy Ezra,ISR,5.0,6.708,,11.708,2021,qual
46,Nanna Gudmundsdottir,ISL,4.9,6.8,,11.7,2021,qual
