Rank,Athlete,Nation,D,E,ND,Total,year,round
1,Nina Derwael,BEL,6.3,8.433,0.0,14.733,2021,final
2,Jonna Adlerteg,SWE,6.2,8.333,0.0,14.533,2021,final
3,Angelina Melnikova,RUS,6.1,8.266,0.0,14.366,2021,final
4,Kim Bui,GER,6.0,8.2,0.0,14.2,2021,final
5,Uliana Perebinosova,RUS,6.1,8.066,0.0,14.166,2021,final
6,Lorette Charpy,FRA,5.8,8.333,0.0,14.133,2021,final
7,Juliette Bossu,FRA,5.9,8.2,0.0,14.1,2021,final
8,Kelly Simm,GBR,6.0,8.066,0.0,14.066,2021,final
1,Jonna Adlerteg,SWE,6.2,8.4,,14.6,2021,qual
2,Nina Derwael,BEL,6.3,8.1,,14.4,2021,qual
3,Uliana Perebinosova,RUS,6.1,8.166,,14.266,2021,qual
4,Kim Bui,GER,6.0,8.2,,14.2,2021,qual
5,Juliette Bossu,FRA,6.0,8.166,,14.166,2021,qual
6,Angelina Melnikova,RUS,5.9,8.133,,14.033,2021,qual
7,Irina Alexeeva,RUS,5.9,8.033,,13.933,2021,qual
8,Lorette Charpy,FRA,5.8,8.1,,13.9,2021,qual
9,Kelly Simm,GBR,6.0,7.866,,13.866,2021,qual
10,Diana Varinska,UKR,5.9,7.9,,13.8,2021,qual
11,Melanie De Jesus Dos Santos,FRA,5.8,7.933,,13.733,2021,qual
12,Sanne Wevers,NED,5.1,8.566,,13.666,2021,qual
13,Vera van Pol,NED,5.2,8.2,,13.4,2021,qual
14,Ana Perez,ESP,5.3,8.1,,13.4,2021,qual
15,Celine van Gerner,NED,5.0,8.333,,13.333,2021,qual
16,Axelle Klinckaert,BEL,5.6,7.7,,13.3,2021,qual
17,Leah Griesser,GER,5.4,7.866,,13.266,2021,qual
18,Filipa Martins,POR,5.3,7.9,,13.2,2021,qual
19,Barbora Mokosova,SVK,5.3,7.866,,13.166,2021,qual
20,Lucy Stanhope,GBR,5.4,7.666,,13.066,2021,qual
21,Senna Deriks,BEL,5.6,7.4,,13.0,2021,qual
22,Pauline Schäfer,GER,4.9,8.0,,12.9,2021,qual
23,Nora Feher,HUN,5.2,7.633,,12.833,2021,qual
24,Helena Bonilla,ESP,5.0,7.8,,12.8,2021,qual
25,Dorina Böczögö,HUN,4.9,7.8,,12.7,2021,qual
25,Caterina Cereghetti,ITA,4.9,7.8,,12.7,2021,qual
27,Georgia-Mae Fenton,GBR,6.1,6.566,,12.666,2021,qual
28,Leonie Meier,SUI,4.7,7.933,,12.633,2021,qual
29,Giada Grisetti,ITA,5.5,7.033,,12.533,2021,qual
30,Elisa Hämmerle,AUT,4.9,7.6,,12.5,2021,qual
31,Stefanie Siegenthaler,SUI,4.6,7.866,,12.466,2021,qual
32,Yana Fedorova,UKR,5.1,7.2,,12.3,2021,qual
33,Paula Raya,ESP,5.2,7.1,,12.3,2021,qual
34,Maija Leinonen,FIN,4.3,7.9,,12.2,2021,qual
35,Noemi Makra,HUN,5.0,7.166,,12.166,2021,qual
35,Francesca Noemi Linari,ITA,5.0,7.166,,12.166,2021,qual
37,Evangelia Plyta,GRE,5.0,7.133,,12.133,2021,qual
38,Wiktoria Lopuszanska,POL,4.2,7.866,,12.066,2021,qual
39,Helmi Murto,FIN,4.3,7.7,,12.0,2021,qual
40,Jasmin Mader,AUT,4.4,7.566,,11.966,2021,qual
41,Mariia Smirnova,AZE,4.0,7.933,,11.933,2021,qual
42,Thea Nygaard,NOR,4.3,7.566,,11.866,2021,qual
43,Lucie Jirikova,CZE,4.4,7.466,,11.866,2021,qual
44,Valeriia Osipova,UKR,5.3,6.566,,11.866,2021,qual
45,Teja Belak,SLO,3.3,8.433,,11.733,2021,qual
46,Lucija Hribar,SLO,4.4,7.333,,11.733,2021,qual
47,Tutya Yilmaz,TUR,4.6,7.133,,11.733,2021,qual
48,Meaghan Smith,IRL,4.3,7.366,,11.666,2021,qual
49,Dominika Ponizilova,CZE,4.7,6.933,,11.633,2021,qual
50,Denisa Golgota,ROU,4.9,6.733,,11.633,2021,qual
51,Mariana Pitrez,POR,4.3,7.3,,11.6,2021,qual
52,Yuliya Inshina,AZE,4.3,7.2,,11.5,2021,qual
53,Vasiliki Millousi,GRE,4.6,6.666,,11.266,2021,qual
54,Anna Subbotina,GEO,4.8,6.4,,11.2,2021,qual
55,Marta Pihan-Kulesza,POL,4.7,6.466,,11.166,2021,qual
56,Agnes Suto-Tuuha,ISL,3.9,7.233,,11.133,2021,qual
57,Ofir Netzer,ISR,4.4,6.7,,11.1,2021,qual
58,Linnea Wang,DEN,4.0,7.066,,11.066,2021,qual
59,Demet Mutlu,TUR,4.6,6.433,,11.033,2021,qual
60,Julie Erichsen,NOR,4.1,6.866,,10.966,2021,qual
61,Ilaria Käslin,SUI,4.8,6.166,,10.966,2021,qual
62,Gabriela Janik,POL,5.2,5.766,,10.966,2021,qual
