Rank,Athlete,Nation,D,E,ND,Total,round,year
1,Maegan Chant,CAN,5.7,8.05,0.0,13.75,final,2013
2,Anna Dementyeva,RUS,5.8,7.875,-0.1,13.575,final,2013
3,Noel van Klaveren,NED,5.4,8.075,0.0,13.475,final,2013
4,Cagla Akyol,GER,5.3,8.0,-0.2,13.1,final,2013
5,Jessica Lopez,VEN,5.6,7.575,-0.3,12.875,final,2013
6,Silvia Colussi Pelaez,ESP,5.2,7.875,-0.3,12.775,final,2013
7,Jasmin Mader,AUT,4.9,7.85,0.0,12.75,final,2013
7,Filipa Martins,POR,4.7,8.05,0.0,12.75,final,2013
1,Anna Dementyeva,RUS,5.8,8.2,0.0,14.0,qual,2013
2,Silvia Colussi Pelaez,ESP,5.5,7.95,0.0,13.45,qual,2013
3,Maegan Chant,CAN,5.7,7.75,0.0,13.45,qual,2013
4,Noel van Klaveren,NED,5.2,7.95,0.0,13.15,qual,2013
5,Filipa Martins,POR,4.7,7.9,0.0,12.6,qual,2013
6,Jessica Lopez,VEN,4.8,7.8,0.0,12.6,qual,2013
7,Jasmin Mader,AUT,4.9,7.7,0.0,12.6,qual,2013
8,Cagla Akyol,GER,5.2,7.6,-0.3,12.5,qual,2013
9,Jana Sikulova,CZE,4.8,7.65,-0.1,12.35,qual,2013
10,Ida Gustafsson,SWE,5.1,7.25,0.0,12.35,qual,2013
11,Evgeniya Shelgunova,RUS,5.4,7.0,-0.3,12.1,qual,2013
12,Ekaterina Kislinskaya,POR,4.7,7.35,-0.1,11.95,qual,2013
13,Oksana Chusovitina,UZB,5.0,7.05,-0.1,11.95,qual,2013
14,Maija Leinonen,FIN,4.6,7.3,0.0,11.9,qual,2013
15,Barbora Mokosova,SVK,4.4,7.45,0.0,11.85,qual,2013
16,Dilnoza Abdusalimova,UZB,4.4,7.45,0.0,11.85,qual,2013
17,Eliana Gonzalez,VEN,4.8,7.0,-0.2,11.6,qual,2013
18,Sara Metzger,SUI,4.5,7.35,-0.4,11.45,qual,2013
19,Anna Geidt,KAZ,4.8,6.65,-0.3,11.15,qual,2013
20,Emma Lunn,IRL,4.6,6.55,0.0,11.15,qual,2013
21,Paula Mejias,PUR,5.2,6.05,-0.1,11.15,qual,2013
22,Roxana Popa,ESP,5.2,5.85,0.0,11.05,qual,2013
23,Nancy Mohamed Taman,EGY,5.0,6.0,-0.1,10.9,qual,2013
24,Ang Tracie,MAS,4.8,5.75,0.0,10.55,qual,2013
25,Mai Ahmed Saad,EGY,5.0,5.6,-0.4,10.2,qual,2013
26,Paula Tiitta,FIN,4.7,6.0,-0.7,10.0,qual,2013
