Rank,Athlete,Nation,D,E,ND,Total,round,year
1,Anastasia Grishina,RUS,6.1,8.275,0.0,14.375,final,2013
2,Jessica Lopez,VEN,5.7,8.45,0.0,14.15,final,2013
3,Maria Paula Vargas,ESP,5.9,7.65,0.0,13.55,final,2013
4,Jana Sikulova,CZE,5.4,8.025,0.0,13.425,final,2013
5,Sophie Scheder,GER,6.2,7.1,0.0,13.3,final,2013
6,Evgeniya Shelgunova,RUS,5.9,7.35,0.0,13.25,final,2013
7,Filipa Martins,POR,5.3,7.0,0.0,12.3,final,2013
8,Ida Gustafsson,SWE,5.8,5.775,0.0,11.575,final,2013
1,Anastasia Grishina,RUS,6.1,8.8,0.0,14.9,qual,2013
2,Sophie Scheder,GER,6.2,8.1,0.0,14.3,qual,2013
3,Ida Gustafsson,SWE,5.8,8.4,0.0,14.2,qual,2013
4,Maria Paula Vargas,ESP,5.7,7.9,0.0,13.6,qual,2013
5,Filipa Martins,POR,5.3,7.9,0.0,13.2,qual,2013
6,Jana Sikulova,CZE,5.4,7.75,0.0,13.15,qual,2013
7,Evgeniya Shelgunova,RUS,5.8,7.3,0.0,13.1,qual,2013
8,Jessica Lopez,VEN,5.1,7.9,0.0,13.0,qual,2013
9,Huang Huidan,CHN,6.0,7.0,0.0,13.0,qual,2013
10,Ekaterina Kislinskaya,POR,4.8,8.05,0.0,12.85,qual,2013
11,Roxana Popa,ESP,6.1,6.7,0.0,12.8,qual,2013
12,Noel van Klaveren,NED,5.0,7.7,0.0,12.7,qual,2013
13,Elisa Hämmerle,AUT,5.0,7.7,0.0,12.7,qual,2013
14,Ivana Kamnikar,SVN,4.9,7.65,0.0,12.55,qual,2013
15,Maegan Chant,CAN,5.0,7.55,0.0,12.55,qual,2013
16,Lisa Ecker,AUT,4.9,7.6,0.0,12.5,qual,2013
17,Chantysha Netteb,NED,4.6,7.7,0.0,12.3,qual,2013
18,Sara Metzger,SUI,5.1,7.0,0.0,12.1,qual,2013
19,Maija Leinonen,FIN,4.8,7.1,0.0,11.9,qual,2013
20,Ivet Rojas,VEN,4.5,7.15,0.0,11.65,qual,2013
21,Mai Ahmed Saad,EGY,4.5,7.1,0.0,11.6,qual,2013
22,Cagla Akyol,GER,5.4,6.1,0.0,11.5,qual,2013
23,Nadia Mülhauser,SUI,5.2,5.9,0.0,11.1,qual,2013
24,Barbora Mokosova,SVK,4.4,6.65,0.0,11.05,qual,2013
25,Anna Geidt,KAZ,4.5,5.8,0.0,10.3,qual,2013
26,Inna Vassilyeva,KAZ,4.7,5.5,0.0,10.2,qual,2013
27,India McPeak,IRL,3.1,6.9,0.0,10.0,qual,2013
28,Tan Ing Yueh,MAS,4.4,4.1,0.0,8.5,qual,2013
29,Ang Tracie,MAS,4.7,3.45,0.0,8.15,qual,2013
30,Kristyna Palesova,CZE,1.3,1.2,0.0,2.5,qual,2013
