Rank,Athlete,Nation,D,E,ND,Total,round,year
1,Fan Yilin,CHN,6.3,8.533,0.0,14.833,final,2019
2,Lyu Jiaqi,CHN,6.1,8.266,0.0,14.366,final,2019
3,Georgia-Rose Brown,AUS,5.4,7.966,0.0,13.366,final,2019
4,Jonna Adlerteg,SWE,6.0,7.166,0.0,13.166,final,2019
5,Romi Brown,AUS,4.5,8.0,0.0,12.5,final,2019
6,Valeriia Osipova,UKR,5.1,7.266,0.0,12.366,final,2019
7,Ting Hua-Tien,TPE,4.0,8.3,0.0,12.3,final,2019
8,Martina Rizzelli,ITA,5.2,6.8,0.0,12.0,final,2019
1,Lyu Jiaqi,CHN,6.1,8.2,0.0,14.3,qual,2019
2,Fan Yilin,CHN,6.2,7.633,0.0,13.833,qual,2019
3,Georgia-Rose Brown,AUS,5.5,8.133,0.0,13.633,qual,2019
4,Jonna Adlerteg,SWE,6.0,7.233,0.0,13.233,qual,2019
5,Martina Rizzelli,ITA,5.4,7.8,0.0,13.2,qual,2019
6,Romi Brown,AUS,4.6,7.833,0.0,12.433,qual,2019
7,Valeriia Osipova,UKR,5.0,7.4,0.0,12.4,qual,2019
8,Ting Hua-Tien,TPE,4.0,8.333,0.0,12.333,qual,2019
9,Eom Do-hyun,KOR,4.9,7.3,0.0,12.2,qual,2019
