Rank,Athlete,Nation,VT,UB,BB,FX,AA,round,year
1,simone biles,USA,15.266,14.4,14.566,14.633,58.865,qual,2023
2,shilese jones,USA,14.266,14.833,14.033,13.8,56.932,qual,2023
3,jessica gadirova,none,14.6,13.766,14.0,14.4,56.766,qual,2023
4,rebeca andrade,BRA,14.9,13.866,13.8,14.033,56.599,qual,2023
5,ellie black,CAN,13.966,14.133,13.566,13.4,55.065,qual,2023
6,flavia saraiva,BRA,13.866,13.6,13.4,13.833,54.699,qual,2023
7,manila esposito,ITA,13.766,13.666,13.666,13.6,54.698,qual,2023
8,qiu qiyuan,CHN,13.133,14.9,13.8,12.833,54.666,qual,2023
9,ou yushan,CHN,13.1,14.1,14.066,13.366,54.632,qual,2023
10,mélanie de jesus dos santos,FRA,14.366,14.066,12.733,13.3,54.465,qual,2023
11,leanne wong,USA,14.166,13.666,13.366,13.2,54.398,qual,2023
12,naomi visser,NED,13.233,14.166,13.2,13.733,54.332,qual,2023
13,kaylia nemour,ALG,13.0,14.733,13.266,12.7,53.699,qual,2023
14,ondine achampong,none,14.3,12.733,13.433,12.866,53.332,qual,2023
15,alice kinsella,none,14.0,13.533,12.133,13.633,53.299,qual,2023
16,georgia godwin,AUS,13.633,13.666,13.133,12.766,53.198,qual,2023
17,alice d’amato,ITA,14.0,13.033,12.533,13.4,52.966,qual,2023
18,elisa iorio,ITA,13.233,13.4,13.4,12.933,52.966,qual,2023
19,ana barbosu,ROU,13.5,13.366,12.866,13.2,52.932,qual,2023
20,pauline schäfer,none,12.966,12.966,14.066,12.733,52.731,qual,2023
21,lee yunseo,SKR,13.3,13.633,12.766,13.0,52.699,qual,2023
22,alexa moreno,MEX,14.566,12.466,12.266,13.033,52.331,qual,2023
23,sarah voss,none,13.433,12.733,12.866,13.2,52.232,qual,2023
24,eythora thorsdottir,NED,13.9,13.266,12.133,12.9,52.199,qual,2023
25,kishi rina,JPN,14.0,12.166,12.7,13.333,52.199,qual,2023
26,hatakeda chiaki,JPN,13.5,12.933,13.166,12.6,52.199,qual,2023
27,filipa martins,POR,13.166,13.333,12.633,12.833,51.965,qual,2023
28,morgane osyssek,FRA,13.333,12.033,13.033,13.433,51.832,qual,2023
29,jade barbosa,BRA,13.833,12.766,12.4,12.833,51.832,qual,2023
30,miyata shoko,JPN,14.1,13.366,11.9,12.366,51.732,qual,2023
31,marine boyer,FRA,13.366,12.7,13.4,12.0,51.466,qual,2023
32,aleah finnegan,PHI,13.4,12.433,12.7,12.833,51.366,qual,2023
33,lili czifra,HUN,13.633,12.733,12.866,12.133,51.365,qual,2023
34,zoja szekely,HUN,13.033,13.866,12.166,12.2,51.265,qual,2023
35,ruby pass,AUS,11.9,13.833,12.6,12.733,51.066,qual,2023
36,alba petisco,ESP,13.633,12.666,11.566,13.1,50.965,qual,2023
37,aurélie tran,CAN,13.233,13.133,11.933,12.6,50.899,qual,2023
38,anna lashchevska,UKR,12.833,13.133,12.9,11.8,50.666,qual,2023
39,lena bickel,SUI,13.166,12.266,12.7,12.5,50.632,qual,2023
40,shin solyi,SKR,13.5,12.8,11.8,12.5,50.6,qual,2023
41,hillary heron,PAN,14.1,11.733,11.8,12.966,50.599,qual,2023
42,vera van pol,NED,13.6,13.066,10.866,13.066,50.598,qual,2023
43,karla navas,PAN,13.7,12.766,11.866,11.966,50.298,qual,2023
44,karina schönmaier,none,13.133,12.933,11.966,12.266,50.298,qual,2023
45,laura casabuena,ESP,13.066,12.9,11.233,13.066,50.265,qual,2023
46,caitlin rooskrantz,RSA,13.066,12.9,11.7,12.433,50.099,qual,2023
47,sona artamonova,none,13.133,11.533,12.633,12.733,50.032,qual,2023
48,lihie raz,ISR,13.033,12.4,12.033,12.533,49.999,qual,2023
49,lucija hribar,SLO,13.233,12.566,12.2,11.966,49.965,qual,2023
50,andreea preda,ROU,12.966,12.733,11.966,12.3,49.965,qual,2023
51,greta mayer,HUN,13.3,11.766,12.466,12.4,49.932,qual,2023
52,rifda irfanaluthfi,INA,13.166,12.033,12.3,12.433,49.932,qual,2023
53,erika pinxten,BEL,12.966,11.833,12.7,12.333,49.832,qual,2023
54,jennifer williams,SWE,13.166,12.0,12.1,12.566,49.832,qual,2023
55,tonya paulsson,SWE,13.4,12.866,10.933,12.6,49.799,qual,2023
56,selina kickinger,AUT,13.166,12.6,11.566,12.466,49.798,qual,2023
57,kaia tanskanen,FIN,13.333,12.6,11.333,12.466,49.732,qual,2023
58,natalia escalera,MEX,13.5,12.866,10.966,12.333,49.665,qual,2023
59,halle hilton,IRL,12.9,12.033,12.466,12.266,49.665,qual,2023
