Rank,Athlete,Nation,D,E,ND,Score,D2,E2,ND2,Score2,Total
1.0,Teja Belak,SLO,5.4,8.966,0.0,14.366,5.0,9.033,0.0,14.033,14.199
2.0,Coline Devillard,FRA,5.8,9.0,0.0,14.8,4.6,8.9,0.0,13.5,14.15
3.0,Marina Nekrasova,AZE,5.8,8.533,-0.1,14.233,5.2,8.833,0.0,14.033,14.133
4.0,Sophie Marois,CAN,5.4,8.6,0.0,14.0,4.8,8.7,0.0,13.5,13.75
5.0,Tjasa Kysselef,SLO,5.0,8.633,0.0,13.633,4.8,8.933,0.0,13.733,13.683
6.0,Ahtziri Sandoval,MEX,5.6,7.7,0.0,13.3,5.0,8.8,0.0,13.8,13.55
7.0,Anastasiia Bachynska,UKR,5.0,8.833,0.0,13.833,4.6,8.566,0.0,13.166,13.499
8.0,Tijana Korent,CRO,4.6,8.7,0.0,13.3,4.6,8.7,0.0,13.3,13.3
9.0,Audrey Rousseau,CAN,4.6,9.0,0.0,13.6,4.0,8.966,0.0,12.966,13.283
10.0,Bilge Tarhan,TUR,4.6,8.633,0.0,13.233,4.6,8.6,0.0,13.2,13.216
11.0,Maria Paseka,RUS,5.4,8.766,-0.1,14.066,4.8,7.5,0.0,12.3,13.183
12.0,Maia Fishwick,NZL,4.1,8.6,0.0,12.7,4.6,8.7,0.0,13.3,13.0
13.0,Gabriela Janik,POL,4.8,7.5,0.0,12.3,4.8,8.9,-0.1,13.6,12.95
14.0,Ceren Biner,TUR,5.0,7.333,-0.1,12.233,4.8,8.6,0.0,13.4,12.816
15.0,Angelina Radivilova,UKR,5.4,7.333,-0.3,12.433,5.2,7.533,0.0,12.733,12.583
16.0,Lilian Langenskiöld,FIN,4.0,8.6,0.0,12.6,3.7,8.466,0.0,12.166,12.383
17.0,Aliaksandra Varabyova,BLR,4.6,8.566,-0.1,13.066,4.2,7.233,-0.1,11.333,12.199
18.0,Enni Kettunen,FIN,4.6,7.3,-0.3,11.6,4.0,8.733,0.0,12.733,12.166
19.0,Yana Vorona,RUS,0.0,0.0,-0.1,0.0,4.2,8.7,0.0,12.9,6.45
,Georgia-Mae Fenton,GBR,5.4,7.433,-0.3,12.533,0.0,0.0,0.0,0.0,0.0
,Maria Kharenkova,GEO,3.5,8.466,0.0,11.966,0.0,0.0,0.0,0.0,0.0
