Rank,D Score,E Score,Pen.,Total,year,medal,Name,nation,round_final,round_qual
1.0,5.0,8.566,0.0,13.566,2019,-1,373,10,True,False
2.0,5.4,8.1,0.0,13.5,2019,-1,128,2,True,False
3.0,5.1,7.966,0.0,13.066,2019,-1,244,32,True,False
4.0,5.1,7.933,0.0,13.033,2019,-1,108,2,True,False
5.0,5.1,7.333,0.0,12.433,2019,-1,209,54,True,False
6.0,5.1,7.3,0.0,12.4,2019,-1,132,34,True,False
7.0,5.2,6.033,0.0,11.233,2019,-1,354,56,True,False
8.0,4.5,6.033,0.0,10.533,2019,-1,298,58,True,False
1.0,5.3,7.6,0.0,12.9,2019,-1,373,10,False,True
2.0,5.0,7.733,0.0,12.733,2019,-1,244,32,False,True
3.0,5.4,7.266,0.0,12.666,2019,-1,128,2,False,True
4.0,5.3,7.066,0.0,12.366,2019,-1,108,2,False,True
5.0,5.5,6.766,0.0,12.266,2019,-1,354,56,False,True
6.0,4.5,7.666,0.0,12.166,2019,-1,298,58,False,True
7.0,5.1,6.933,0.0,12.033,2019,-1,132,34,False,True
8.0,5.1,6.7,0.0,11.8,2019,-1,209,54,False,True
9.0,5.3,6.3,0.0,11.6,2019,-1,343,54,False,True
10.0,4.6,6.733,-0.1,11.233,2019,-1,356,31,False,True
11.0,5.1,6.066,0.0,11.166,2019,-1,4,33,False,True
1.0,6.0,8.0,0.0,14.0,2020,-1,212,60,True,False
2.0,6.0,7.8,0.0,13.8,2020,-1,328,60,True,False
3.0,5.8,7.4,0.1,13.1,2020,-1,29,60,True,False
4.0,5.7,7.4,0.0,13.1,2020,-1,28,60,True,False
5.0,5.2,7.55,0.0,12.75,2020,-1,111,60,True,False
6.0,5.1,7.55,0.0,12.65,2020,-1,63,60,True,False
7.0,4.7,7.4,0.0,12.1,2020,-1,80,60,True,False
8.0,4.3,5.6,0.0,9.9,2020,-1,112,60,True,False
1.0,6.0,8.333,0.0,14.333,2019,-1,219,10,True,False
2.0,5.2,8.433,0.0,13.633,2019,-1,288,5,True,False
3.0,5.7,7.633,0.0,13.333,2019,-1,257,19,True,False
4.0,4.9,7.933,0.0,12.833,2019,-1,1,50,True,False
5.0,5.0,7.8,0.0,12.8,2019,-1,37,14,True,False
6.0,5.5,6.9,0.0,12.4,2019,-1,343,54,True,False
7.0,5.0,6.8,0.0,11.8,2019,-1,371,32,True,False
8.0,5.5,5.966,0.0,11.466,2019,-1,333,32,True,False
1.0,5.3,8.266,0.0,13.566,2019,-1,288,5,False,True
2.0,5.7,7.666,0.0,13.366,2019,-1,257,19,False,True
