Rank,D,E,ND,Total,year,medal,Name,Nation,round_final,round_qual
1,6.2,8.366,0.0,14.566,2019,0,71,56,1,0
2,5.9,8.6,0.0,14.5,2019,0,119,40,1,0
3,6.1,8.4,0.0,14.5,2019,1,245,25,1,0
3,6.1,8.4,0.0,14.5,2019,0,94,81,1,0
5,6.2,8.0,0.0,14.2,2019,0,166,64,1,0
6,6.1,7.733,0.0,13.833,2019,0,72,51,1,0
7,6.9,6.833,0.0,13.733,2019,0,75,4,1,0
8,5.9,7.266,0.0,13.166,2019,0,32,74,1,0
1,5.9,8.366,0.0,14.266,2019,0,32,74,0,1
2,6.1,8.225,-0.1,14.225,2019,1,245,25,0,1
3,6.2,8.033,-0.1,14.133,2019,0,71,56,0,1
4,6.2,7.933,0.0,14.133,2019,0,166,64,0,1
5,5.9,8.2,0.0,14.1,2019,0,119,40,0,1
6,5.8,8.266,0.0,14.066,2019,0,94,81,0,1
7,5.9,8.066,0.0,13.966,2019,0,72,51,0,1
8,6.3,7.633,-0.1,13.833,2019,0,75,4,0,1
9,5.8,7.966,0.0,13.766,2019,0,55,9,0,1
10,6.0,7.733,0.0,13.733,2019,0,210,41,0,1
11,5.4,8.266,0.0,13.666,2019,0,38,36,0,1
12,6.0,7.666,0.0,13.666,2019,0,118,26,0,1
13,5.9,7.733,-0.1,13.533,2019,0,67,51,0,1
14,6.0,7.233,-0.3,12.933,2019,0,34,41,0,1
15,6.0,6.866,0.0,12.866,2019,0,309,13,0,1
16,5.4,7.633,-0.2,12.833,2019,0,124,81,0,1
17,5.7,7.133,0.0,12.833,2019,0,255,65,0,1
18,5.8,7.033,0.0,12.833,2019,0,182,27,0,1
19,5.6,7.2,0.0,12.8,2019,0,84,2,0,1
20,5.3,7.466,0.0,12.766,2019,0,289,35,0,1
21,4.8,7.833,0.0,12.633,2019,0,180,63,0,1
22,5.7,6.933,0.0,12.633,2019,0,117,4,0,1
23,5.4,7.233,-0.1,12.533,2019,0,288,40,0,1
24,5.4,7.333,-0.3,12.433,2019,0,269,64,0,1
25,5.5,6.7,0.0,12.2,2019,0,296,63,0,1
26,4.9,6.8,0.0,11.7,2019,0,301,70,0,1
1,6.0,8.733,0.0,14.733,2020,0,22,74,0,1
2,6.2,8.533,0.0,14.733,2020,0,168,62,0,1
3,6.3,8.366,0.0,14.666,2020,0,210,41,0,1
4,6.5,8.033,-0.1,14.433,2020,0,258,64,0,1
5,6.4,7.966,0.0,14.366,2020,0,161,40,0,1
6,6.0,8.266,0.0,14.266,2020,0,93,41,0,1
7,6.3,7.933,0.0,14.233,2020,0,116,82,0,1
8,5.9,8.266,0.0,14.166,2020,0,286,12,0,1
9,5.5,8.566,0.0,14.066,2020,0,39,62,0,1
10,5.9,8.1,0.0,14.0,2020,0,72,51,0,1
11,5.6,8.333,0.0,13.933,2020,0,255,65,0,1
12,5.1,8.666,0.0,13.766,2020,0,92,80,0,1
13,5.9,7.933,-0.1,13.733,2020,0,194,67,0,1
14,6.0,7.733,-0.1,13.633,2020,0,32,74,0,1
15,5.9,7.8,-0.1,13.6,2020,0,299,8,0,1
16,6.1,7.5,0.0,13.6,2020,0,60,16,0,1
17,5.4,8.1,0.0,13.5,2020,0,305,10,0,1
18,5.4,8.066,0.0,13.466,2020,0,170,29,0,1
19,5.8,7.6,0.0,13.4,2020,0,215,6,0,1
20,5.6,7.633,-0.1,13.133,2020,0,276,8,0,1
21,5.9,7.233,-0.1,13.033,2020,0,281,25,0,1
22,5.4,7.566,0.0,12.966,2020,0,103,54,0,1
23,5.5,7.766,-0.5,12.766,2020,0,29,6,0,1
24,5.9,6.966,-0.1,12.766,2020,0,151,31,0,1
25,5.8,7.033,-0.1,12.733,2020,0,67,51,0,1
26,5.3,7.766,-0.4,12.666,2020,0,86,10,0,1
27,5.6,7.066,0.0,12.666,2020,0,51,30,0,1
28,5.3,7.35,0.0,12.65,2020,0,143,56,0,1
29,5.6,6.866,0.0,12.466,2020,0,277,67,0,1
30,4.9,7.766,-0.4,12.266,2020,0,107,57,0,1
31,5.4,6.866,-0.1,12.166,2020,0,101,26,0,1
32,5.4,6.733,0.0,12.133,2020,0,157,56,0,1
33,5.2,6.866,-0.1,11.966,2020,0,89,57,0,1
34,5.6,6.233,0.0,11.833,2020,0,74,30,0,1
35,5.2,6.566,0.0,11.766,2020,0,233,26,0,1
36,5.1,6.666,-0.4,11.366,2020,0,133,48,0,1
37,5.5,6.233,-0.6,11.133,2020,0,130,29,0,1
38,5.3,5.766,0.0,11.066,2020,0,179,82,0,1
1,6.2,8.75,0.0,14.95,2019,0,168,62,1,0
2,5.8,8.8,0.0,14.6,2019,0,162,40,1,0
3,5.9,8.65,0.0,14.55,2019,0,158,40,1,0
4,6.0,8.55,0.0,14.55,2019,0,166,64,1,0
5,5.7,8.45,0.0,14.15,2019,0,196,67,1,0
6,5.6,8.05,0.0,13.65,2019,0,37,77,1,0
7,6.2,7.55,-0.1,13.65,2019,0,210,41,1,0
8,5.4,6.25,-0.1,11.55,2019,0,42,37,1,0
1,6.2,8.9,0.0,15.1,2019,0,168,62,0,1
2,5.8,9.0,0.0,14.8,2019,0,162,40,0,1
3,5.9,8.825,0.0,14.725,2019,0,158,40,0,1
4,6.2,8.35,0.0,14.55,2019,0,210,41,0,1
5,6.0,8.35,0.0,14.35,2019,0,295,40,0,1
6,5.7,8.55,0.0,14.25,2019,0,196,67,0,1
7,5.9,8.35,0.0,14.25,2019,0,166,64,0,1
8,5.5,8.55,0.0,14.05,2019,0,42,37,0,1
9,5.6,8.325,0.0,13.925,2019,0,37,77,0,1
10,5.5,8.65,-0.3,13.85,2019,0,174,81,0,1
11,5.4,8.45,0.0,13.85,2019,0,136,62,0,1
11,5.4,8.45,0.0,13.85,2019,0,137,6,0,1
13,5.2,8.6,0.0,13.8,2019,0,50,27,0,1
14,5.5,8.2,0.0,13.7,2019,0,176,64,0,1
15,5.1,8.5,0.0,13.6,2019,0,201,67,0,1
16,5.0,8.55,0.0,13.55,2019,0,204,7,0,1
17,5.4,8.1,0.0,13.5,2019,0,165,27,0,1
17,5.4,8.1,0.0,13.5,2019,0,186,9,0,1
19,5.3,8.15,0.0,13.45,2019,0,81,11,0,1
20,5.4,8.05,0.0,13.45,2019,0,139,11,0,1
21,4.7,8.7,0.0,13.4,2019,0,23,78,0,1
22,5.1,8.3,0.0,13.4,2019,0,284,18,0,1
22,5.1,8.3,0.0,13.4,2019,0,273,37,0,1
24,5.1,8.25,0.0,13.35,2019,0,177,64,0,1
25,5.0,8.3,-0.1,13.2,2019,0,195,37,0,1
26,5.2,7.95,0.0,13.15,2019,0,64,58,0,1
27,4.4,8.65,0.0,13.05,2019,0,144,11,0,1
28,5.0,7.95,0.0,12.95,2019,0,227,53,0,1
29,4.5,8.4,0.0,12.9,2019,0,138,2,0,1
30,5.5,7.4,0.0,12.9,2019,0,36,5,0,1
31,4.6,8.25,0.0,12.85,2019,0,207,4,0,1
32,5.3,7.75,-0.2,12.85,2019,0,156,7,0,1
33,5.7,7.35,-0.2,12.85,2019,0,117,4,0,1
34,4.4,8.4,0.0,12.8,2019,0,154,2,0,1
35,4.6,8.2,0.0,12.8,2019,0,122,81,0,1
36,5.1,7.7,0.0,12.8,2019,0,299,8,0,1
37,5.6,7.15,0.0,12.75,2019,0,127,62,0,1
38,4.9,7.6,0.0,12.5,2019,0,291,5,0,1
39,4.7,7.65,0.0,12.35,2019,0,256,61,0,1
40,5.1,7.25,0.0,12.35,2019,0,104,48,0,1
41,4.8,7.5,0.0,12.3,2019,0,123,4,0,1
42,5.4,7.475,-0.6,12.275,2019,0,294,75,0,1
43,5.0,7.275,0.0,12.275,2019,0,199,16,0,1
44,4.4,7.45,0.0,11.85,2019,0,219,18,0,1
45,4.2,7.8,-0.3,11.7,2019,0,183,20,0,1
46,4.2,7.3,0.0,11.5,2019,0,110,26,0,1
47,4.3,7.15,0.0,11.45,2019,0,276,8,0,1
48,4.3,7.0,0.0,11.3,2019,0,99,75,0,1
