Rank,D,E,ND,Total,year,medal,Name,Nation,round_final,round_qual
1,6.2,8.533,0.0,14.733,2019,0,94,40,True,False
2,6.5,8.233,0.0,14.733,2019,0,75,50,True,False
3,6.5,7.833,0.0,14.333,2019,0,264,13,True,False
4,6.0,8.033,0.0,14.033,2019,0,177,4,True,False
5,5.8,8.166,0.0,13.966,2019,0,245,4,True,False
6,5.6,8.3,0.0,13.9,2019,0,8,71,True,False
7,6.1,7.466,-0.3,13.266,2019,1,240,16,True,False
8,5.4,6.8,0.0,12.2,2019,0,176,41,True,False
1,5.9,8.733,0.0,14.633,2019,0,94,40,False,True
2,5.9,8.733,0.0,14.633,2019,1,240,16,False,True
3,6.5,7.9,0.0,14.4,2019,0,264,13,False,True
4,5.6,8.566,0.0,14.166,2019,0,245,4,False,True
5,6.0,8.033,0.0,14.033,2019,0,176,41,False,True
5,6.0,8.033,0.0,14.033,2019,0,177,4,False,True
7,5.6,8.366,0.0,13.966,2019,0,8,71,False,True
8,6.3,7.166,0.0,13.466,2019,0,75,50,False,True
9,5.2,8.233,0.0,13.433,2019,0,16,36,False,True
10,5.6,7.5,0.0,13.1,2019,0,236,78,False,True
11,4.8,8.166,0.0,12.966,2019,0,248,35,False,True
12,5.5,7.2,0.0,12.7,2019,0,42,50,False,True
13,5.0,7.633,0.0,12.633,2019,0,99,78,False,True
14,4.5,7.9,0.0,12.4,2019,0,151,62,False,True
15,5.1,6.8,0.0,11.9,2019,0,175,53,False,True
16,3.1,8.333,0.0,11.433,2019,0,149,63,False,True
17,4.8,6.666,-0.3,11.166,2019,0,63,32,False,True
1,5.7,8.566,0.0,14.266,2020,0,247,71,False,True
2,6.1,8.133,0.0,14.233,2020,0,75,50,False,True
2,6.1,8.133,0.0,14.233,2020,0,17,61,False,True
4,5.8,8.3,0.0,14.1,2020,0,245,4,False,True
5,5.7,8.3,0.0,14.0,2020,0,226,61,False,True
6,5.8,8.2,0.0,14.0,2020,0,234,65,False,True
7,5.8,7.8,0.0,13.6,2020,0,81,9,False,True
8,5.5,8.0,0.0,13.5,2020,0,190,29,False,True
9,6.1,7.1,0.0,13.2,2020,0,176,41,False,True
10,4.9,8.266,0.0,13.166,2020,0,175,53,False,True
11,5.0,8.133,0.0,13.133,2020,0,6,6,False,True
12,5.5,7.5,0.0,13.0,2020,0,235,40,False,True
13,4.5,8.066,0.0,12.566,2020,0,105,28,False,True
14,5.9,6.666,0.0,12.566,2020,0,15,36,False,True
15,5.2,7.266,0.0,12.466,2020,0,111,6,False,True
16,5.0,7.433,0.0,12.433,2020,0,238,25,False,True
17,5.0,7.3,0.0,12.3,2020,0,225,56,False,True
18,5.4,6.833,0.0,12.233,2020,0,177,4,False,True
19,4.1,7.9,0.0,12.0,2020,0,68,41,False,True
20,5.0,6.933,0.0,11.933,2020,0,260,10,False,True
21,4.3,6.8,0.0,11.1,2020,0,40,28,False,True
22,3.9,7.166,0.0,11.066,2020,0,80,56,False,True
23,5.5,5.258,0.0,10.758,2020,0,8,71,False,True
24,4.0,6.666,0.0,10.666,2020,0,196,26,False,True
25,4.3,5.6,0.0,9.9,2020,0,127,2,False,True
1,6.3,8.4,0.0,14.7,2019,0,236,78,True,False
2,6.1,8.575,0.0,14.675,2019,0,176,41,True,False
3,6.1,8.5,0.0,14.6,2019,0,110,61,True,False
4,5.7,8.55,0.0,14.25,2019,0,8,71,True,False
5,5.9,7.85,0.0,13.75,2019,0,27,27,True,False
6,5.5,7.85,0.0,13.35,2019,0,78,9,True,False
7,5.5,7.8,0.0,13.3,2019,0,130,40,True,False
8,5.3,7.65,0.0,12.95,2019,0,255,40,True,False
9,5.2,7.5,0.0,12.7,2019,0,20,37,True,False
1,6.0,8.7,0.0,14.7,2019,0,236,78,False,True
2,5.9,8.725,0.0,14.625,2019,0,130,40,False,True
3,5.8,8.5,0.0,14.3,2019,0,255,40,False,True
4,5.9,8.35,0.0,14.25,2019,0,110,61,False,True
5,6.0,8.25,0.0,14.25,2019,0,133,40,False,True
6,6.1,8.15,0.0,14.25,2019,0,176,41,False,True
7,5.9,7.95,0.0,13.85,2019,0,27,27,False,True
8,5.7,8.125,0.0,13.825,2019,0,8,71,False,True
9,5.5,8.2,0.0,13.7,2019,0,78,9,False,True
10,5.5,8.2,0.0,13.7,2019,0,20,37,False,True
11,5.0,8.65,0.0,13.65,2019,0,139,61,False,True
12,5.1,8.5,0.0,13.6,2019,0,14,74,False,True
13,4.6,8.95,0.0,13.55,2019,0,166,65,False,True
14,4.9,8.55,0.0,13.45,2019,0,254,72,False,True
15,4.6,8.75,0.0,13.35,2019,0,97,78,False,True
16,4.9,8.45,0.0,13.35,2019,0,115,20,False,True
17,5.2,8.15,0.0,13.35,2019,0,172,7,False,True
18,5.0,8.3,0.0,13.3,2019,0,230,37,False,True
19,5.3,8.0,0.0,13.3,2019,0,13,5,False,True
20,4.5,8.7,0.0,13.2,2019,0,84,26,False,True
21,5.0,8.2,0.0,13.2,2019,0,39,57,False,True
22,4.6,8.55,0.0,13.15,2019,0,162,37,False,True
23,5.2,7.95,0.0,13.15,2019,0,129,7,False,True
24,4.8,8.325,0.0,13.125,2019,0,118,11,False,True
25,4.9,8.2,0.0,13.1,2019,0,250,5,False,True
26,4.9,8.175,0.0,13.075,2019,0,28,27,False,True
27,4.6,8.45,0.0,13.05,2019,0,148,63,False,True
28,4.7,8.3,0.0,13.0,2019,0,136,27,False,True
29,3.8,9.075,0.0,12.875,2019,0,163,65,False,True
30,4.4,8.45,0.0,12.85,2019,0,137,63,False,True
31,4.5,8.35,0.0,12.85,2019,0,93,4,False,True
32,4.0,8.7,0.0,12.7,2019,0,92,53,False,True
33,4.0,8.65,0.0,12.65,2019,0,127,2,False,True
34,4.6,8.0,0.0,12.6,2019,0,156,9,False,True
35,4.4,8.1,0.0,12.5,2019,0,98,4,False,True
36,4.6,7.8,0.0,12.4,2019,0,145,78,False,True
37,4.3,8.05,0.0,12.35,2019,0,174,4,False,True
38,5.1,7.25,0.0,12.35,2019,0,147,63,False,True
39,3.8,8.5,0.0,12.3,2019,0,112,2,False,True
40,4.6,7.7,0.0,12.3,2019,0,114,11,False,True
41,4.3,7.95,0.0,12.25,2019,0,76,47,False,True
42,4.6,7.65,0.0,12.25,2019,0,217,60,False,True
43,3.6,8.55,0.0,12.15,2019,0,91,57,False,True
44,3.9,8.15,0.0,12.05,2019,0,37,53,False,True
45,4.6,7.45,0.0,12.05,2019,0,111,6,False,True
46,3.8,8.2,0.0,12.0,2019,0,71,72,False,True
47,4.3,7.65,0.0,11.95,2019,0,233,8,False,True
48,4.2,7.7,0.0,11.9,2019,0,241,18,False,True
49,4.2,6.45,0.0,10.65,2019,0,213,60,False,True
50,3.8,6.15,0.0,9.95,2019,0,184,18,False,True
1,6.3,8.6,0.0,14.9,2019,0,31,9,True,False
2,6.2,8.466,0.0,14.666,2019,1,240,16,True,False
3,6.1,8.433,0.0,14.533,2019,0,32,61,True,False
4,6.2,8.033,0.0,14.233,2019,1,55,40,True,False
5,6.3,7.766,0.0,14.066,2019,0,222,74,True,False
6,6.2,7.833,0.0,14.033,2019,0,150,13,True,False
7,6.0,7.2,0.0,13.2,2019,0,245,4,True,False
8,5.8,6.966,0.0,12.766,2019,0,236,78,True,False
1,6.2,8.733,0.0,14.933,2019,0,236,78,False,True
2,6.1,8.766,0.0,14.866,2019,0,222,74,False,True
3,6.2,8.633,0.0,14.833,2019,1,240,16,False,True
4,6.3,8.3,0.0,14.6,2019,0,31,9,False,True
5,6.0,8.433,0.0,14.433,2019,0,32,61,False,True
6,6.5,7.933,0.0,14.433,2019,0,150,13,False,True
7,6.0,8.366,0.0,14.366,2019,0,245,4,False,True
8,6.1,8.266,0.0,14.366,2019,1,55,40,False,True
9,6.2,8.166,0.0,14.366,2019,0,195,65,False,True
10,6.0,8.333,0.0,14.333,2019,0,232,13,False,True
11,5.9,8.4,0.0,14.3,2019,1,189,61,False,True
12,5.4,8.8,0.0,14.2,2019,0,186,37,False,True
13,5.7,8.5,0.0,14.2,2019,0,45,37,False,True
14,5.7,8.466,0.0,14.166,2019,0,227,74,False,True
15,6.1,8.066,0.0,14.166,2019,0,116,78,False,True
16,6.1,7.975,0.0,14.075,2019,0,216,44,False,True
17,5.8,8.266,0.0,14.066,2019,0,59,61,False,True
18,6.0,8.066,0.0,14.066,2019,0,133,40,False,True
19,6.3,7.766,0.0,14.066,2019,0,110,61,False,True
20,6.0,8.033,0.0,14.033,2019,0,256,13,False,True
20,6.0,8.033,0.0,14.033,2019,0,263,40,False,True
22,6.2,7.766,0.0,13.966,2019,0,197,65,False,True
23,5.7,8.2,0.0,13.9,2019,0,198,63,False,True
24,6.1,7.8,0.0,13.9,2019,0,65,13,False,True
24,6.1,7.8,0.0,13.9,2019,0,176,41,False,True
26,5.5,8.366,0.0,13.866,2019,0,70,65,False,True
27,5.9,7.966,0.0,13.866,2019,0,160,17,False,True
28,5.3,8.466,0.0,13.766,2019,0,202,72,False,True
29,5.5,8.266,0.0,13.766,2019,0,36,50,False,True
30,5.7,8.033,0.0,13.733,2019,0,8,71,False,True
31,5.4,8.3,0.0,13.7,2019,0,158,78,False,True
32,5.9,7.8,0.0,13.7,2019,0,124,25,False,True
33,6.0,7.7,0.0,13.7,2019,0,63,32,False,True
34,5.3,8.366,0.0,13.666,2019,0,85,4,False,True
35,5.8,7.816,0.0,13.616,2019,0,21,78,False,True
36,5.2,8.4,0.0,13.6,2019,0,257,41,False,True
37,5.4,8.2,0.0,13.6,2019,0,61,19,False,True
37,5.4,8.2,0.0,13.6,2019,0,218,32,False,True
37,5.4,8.2,0.0,13.6,2019,0,107,47,False,True
40,5.2,8.366,0.0,13.566,2019,0,203,78,False,True
41,6.0,7.566,0.0,13.566,2019,0,191,7,False,True
42,5.0,8.533,0.0,13.533,2019,0,171,78,False,True
43,5.1,8.433,0.0,13.533,2019,0,121,7,False,True
44,5.5,8.033,0.0,13.533,2019,0,164,18,False,True
45,5.5,8.016,0.0,13.516,2019,0,27,27,False,True
