Rank,Athlete,Nation,FX,PH,SR,VT,PB,HB,AA,round,year
1,artur dalaloyan,RUS,14.8,13.4,14.533,15.133,15.566,14.166,87.598,final,2018.0
2,xiao ruoteng,CHN,14.133,14.7,14.333,14.866,15.333,14.233,87.598,final,2018.0
3,nikita nagornyy,RUS,14.733,13.566,14.5,14.766,14.866,13.9,86.331,final,2018.0
4,sun wei,CHN,13.633,14.766,13.9,14.533,14.8,14.266,85.898,final,2018.0
5,samuel mikulak,USA,14.4,14.3,14.166,14.6,15.441,12.366,85.273,final,2018.0
6,kazuma kaya,JPN,13.8,14.1,14.0,14.366,14.766,13.733,84.765,final,2018.0
7,kenzo shirai,JPN,14.9,12.533,13.666,15.166,14.266,14.0,84.531,final,2018.0
8,james hall,none,14.1,13.666,14.066,14.366,14.5,13.6,84.298,final,2018.0
9,artur davtyan,ARM,13.7,13.8,14.341,14.733,13.766,12.8,83.14,final,2018.0
10,marios georgiou,CYP,13.533,13.3,13.6,13.766,14.4,13.433,82.032,final,2018.0
11,nestor abad,ESP,13.8,13.166,13.433,13.833,14.0,13.733,81.965,final,2018.0
12,yul moldauer,USA,14.333,12.2,13.466,14.4,14.5,13.033,81.932,final,2018.0
13,caio souza,BRA,13.566,11.7,13.933,14.616,14.383,13.6,81.798,final,2018.0
14,oleg verniaiev,UKR,12.966,12.4,14.066,14.966,15.666,11.5,81.564,final,2018.0
15,ahmet önder,TUR,13.966,11.666,13.866,14.233,14.666,13.166,81.563,final,2018.0
16,oliver hegi,SUI,13.366,11.916,12.4,14.0,14.666,14.133,80.481,final,2018.0
17,park min-soo,SKR,12.166,13.633,13.766,13.816,13.2,13.533,80.114,final,2018.0
18,brinn bevan,none,14.366,11.633,13.666,13.533,14.6,11.766,79.564,final,2018.0
19,ferhat arican,TUR,13.166,11.525,13.0,13.966,14.6,12.9,79.157,final,2018.0
20,marcel nguyen,none,14.0,11.533,14.066,12.833,14.1,12.6,79.132,final,2018.0
21,pablo brägger,SUI,14.133,11.933,13.2,14.2,12.0,13.566,79.032,final,2018.0
22,andrei muntean,ROU,12.333,9.833,14.125,14.433,14.65,13.0,78.374,final,2018.0
23,carlos edriel yulo,PHI,14.666,12.6,12.0,13.1,14.166,10.933,77.465,final,2018.0
24,lukas dauser,none,13.566,12.033,12.166,13.666,12.433,12.866,76.73,final,2018.0
1,xiao ruoteng,CHN,14.2,14.633,14.133,14.933,15,14.433,87.332,qual,2018.0
2,nikita nagornyy,RUS,14.8,14,14.633,14.733,14.966,13.966,87.098,qual,2018.0
3,samuel mikulak,USA,14.333,14.133,14.2,14.333,15.033,14.566,86.598,qual,2018.0
4,artur dalaloyan,RUS,14.833,11.766,14.1,14.666,15.041,14.166,84.572,qual,2018.0
5,sun wei,CHN,13.2,13.441,13.933,14.7,14.733,14,84.007,qual,2018.0
6,kenzo shirai,JPN,14.833,12.966,13.733,14.733,14.466,13.133,83.864,qual,2018.0
7,lin chapoan,CHN,12.933,12.866,13.833,14.6,15.266,13.966,83.464,qual,2018.0
8,david belyavskiy,RUS,12.5,14,13.533,14.333,15.033,13.933,83.332,qual,2018.0
9,james hall,none,14.333,13.033,14.1,14.366,14.466,12.9,83.198,qual,2018.0
10,kazuma kaya,JPN,14.333,12.425,13.966,14.2,14.691,13.3,82.915,qual,2018.0
11,caio souza,BRA,13.533,11.166,14.433,14.633,14.766,13.8,82.331,qual,2018.0
12,nestor abad,ESP,13.7,12.4,13.666,13.7,14.175,13.866,81.507,qual,2018.0
13,brinn bevan,none,13.733,12.6,13.6,14.6,14.525,12.233,81.291,qual,2018.0
14,carlos edriel yulo,PHI,14.766,12.166,13.7,14.666,14.366,11.566,81.23,qual,2018.0
15,ahmet önder,TUR,14.533,12,13.866,14.3,14.3,12,80.999,qual,2018.0
16,pablo brägger,SUI,14.066,12.966,13.333,12.9,14.333,13.166,80.764,qual,2018.0
17,lukas dauser,none,13.266,11.808,13.333,13.766,14.933,13.433,80.539,qual,2018.0
18,oleg verniaiev,UKR,13.766,11.2,13.366,14.366,15.458,12.366,80.522,qual,2018.0
19,yul moldauer,USA,14.433,11.5,13.233,14.266,14.5,12.433,80.365,qual,2018.0
20,oliver hegi,SUI,13.566,13.509,13.133,13.916,12.8,13.333,80.248,qual,2018.0
21,andrei muntean,ROU,13.5,10.8,13.858,14.433,14.4,13.233,80.224,qual,2018.0
22,park min-soo,SKR,13.7,13.5,13.766,13.533,13.766,11.7,79.965,qual,2018.0
23,rene cournoyer,CAN,13.666,11.366,13.4,13.933,13.733,13.6,79.698,qual,2018.0
24,marcel nguyen,none,14.166,11.233,14.133,13.666,14.566,11.933,79.697,qual,2018.0
25,ferhat arican,TUR,13.3,11.966,12.533,14.4,14.866,12.4,79.465,qual,2018.0
26,marios georgiou,CYP,13.7,12.433,13.3,13.533,12.566,13.8,79.332,qual,2018.0
27,artur davtyan,ARM,13.666,11.366,13.866,14.7,13.6,12.133,79.331,qual,2018.0
28,ludovico edalli,ITA,13.333,11.633,13.2,13.4,14.2,13.333,79.099,qual,2018.0
29,loris frasca,FRA,14.2,10.1,13.433,14.833,13.633,12.7,78.899,qual,2018.0
30,andrey likhovitskiy,BLR,13,12.533,12.6,13.2,14.1,13.433,78.866,qual,2018.0
31,jossimar calvo,COL,13.066,9.466,13.066,14.3,15.1,13.866,78.864,qual,2018.0
32,jonathan vrolix,BEL,14.066,12.066,13.433,13.866,13.333,12.066,78.83,qual,2018.0
33,julien gobaux,FRA,13.833,10.966,13.8,13.866,12.633,13.433,78.531,qual,2018.0
34,ilyas azizov,KAZ,13.566,12.966,12.933,13.933,12.7,12.366,78.464,qual,2018.0
35,stian skjerahaug,NOR,14.033,11.633,12.533,14.233,13.066,12.9,78.398,qual,2018.0
36,akim mussayev,KAZ,13.333,12.866,12.766,13.966,13.766,11.7,78.397,qual,2018.0
