Rank,Athlete,FX,PH,SR,VT,PB,HB,AA,round,Nation,year
1.0,hashimoto daiki,14.733,15.075,13.333,15.066,15.2,14.633,88.04,qual,Japan,2021
2.0,zhang boheng,14.133,14.666,14.866,14.766,15.3,14.166,87.897,qual,China,2021
3.0,adem asil,14.066,12.666,14.533,14.966,14.366,13.833,84.43,qual,Turkey,2021
4.0,shi cong,13.2,13.466,13.933,14.233,15.2,13.866,83.898,qual,China,2021
5.0,illia kovtun,14.333,13.766,12.5,14.066,14.7,14.2,83.565,qual,Ukraine,2021
6.0,krisztofer meszaros,14.033,13.6,12.933,14.2,14.566,13.3,82.632,qual,Hungary,2021
7.0,ilias georgiou,13.633,11.866,13.5,14.366,14.766,14.233,82.364,qual,Cyprus,2021
8.0,ahmet önder,13.4,12.866,13.933,14.2,14.7,12.966,82.065,qual,Turkey,2021
9.0,joel plata,14.133,13.633,13.3,14.066,13.666,13.1,81.898,qual,Spain,2021
10.0,robert tvorogal,13.433,13.233,13.1,13.8,14.6,13.6,81.766,qual,Lithuania,2021
11.0,william emard,13.9,11.233,14.733,14.666,13.833,13.133,81.498,qual,Canada,2021
12.0,luka van den keybus,13.966,12.7,12.433,14.333,14.0,13.666,81.098,qual,Belgium,2021
13.0,yul moldauer united,14.433,10.633,13.466,14.433,14.866,13.233,81.064,qual,States,2021
14.0,henji mboyo,13.1,12.966,13.333,13.833,13.933,13.8,80.965,qual,Switzerland,2021
15.0,joshua nathan great,13.433,15.033,12.6,14.4,12.133,13.166,80.765,qual,Britain,2021
16.0,milad karimi,14.941,11.6,12.133,12.966,14.633,14.433,80.706,qual,Kazakhstan,2021
17.0,caio souza,13.666,10.233,14.033,14.666,14.8,13.2,80.598,qual,Brazil,2021
18.0,nestor abad,14.233,12.933,13.466,13.8,13.566,12.5,80.498,qual,Spain,2021
19.0,sofus heggemsnes,12.966,13.366,13.0,14.233,13.933,13.3,80.498,qual,Norway,2021
20.0,jossimar calvo,13.3,13.433,12.3,14.3,13.866,12.866,80.065,qual,Colombia,2021
21.0,oskar kirmes,13.733,12.766,12.2,13.766,13.933,12.9,79.298,qual,Finland,2021
22.0,eyal indig,12.6,14.066,12.4,13.933,13.5,12.6,79.099,qual,Israel,2021
23.0,nikita ignatyev,12.366,11.866,12.766,14.008,13.5,13.433,77.939,qual,Russia,2021
24.0,noah kuavita,13.6,12.5,11.966,14.2,11.3,14.066,77.632,qual,Belgium,2021
25.0,alexander benda,12.566,12.666,12.6,13.766,12.633,13.366,77.597,qual,Austria,2021
26.0,robert kirmes,13.733,13.5,12.666,13.933,11.966,11.766,77.564,qual,Finland,2021
27.0,nikolaos iliopoulos,12.5,11.666,13.133,13.766,13.533,12.833,77.431,qual,Greece,2021
28.0,andres martinez,13.866,13.533,10.933,13.833,13.1,12.133,77.398,qual,Colombia,2021
29.0,harald wibye,12.566,11.466,12.033,13.9,14.566,12.833,76.964,qual,Norway,2021
30.0,yogeshwar singh,13.266,12.633,12.133,14.2,13.466,10.8,76.498,qual,India,2021
31.0,carlo hörr,13.566,11.3,12.266,14.0,13.366,12.0,76.498,qual,Germany,2021
32.0,ricardo rudy,13.166,11.833,12.3,13.833,12.966,11.833,75.931,qual,Austria,2021
33.0,tomas kuzmickas,13.4,12.4,12.766,13.866,11.4,11.966,75.798,qual,Lithuania,2021
34.0,nguyen van khanh phong,10.933,10.8,14.166,13.5,13.333,12.7,75.432,qual,Vietnam,2021
35.0,yordan aleksandrov,11.6,11.2,12.466,13.566,13.9,12.566,75.298,qual,Bulgaria,2021
36.0,valgard reinhardsson,13.166,11.833,11.866,13.766,12.466,12.133,75.23,qual,Iceland,2021
37.0,benedek tomcsanyi,11.833,13.166,12.45,13.816,12.833,10.933,75.031,qual,Hungary,2021
38.0,jermain grünberg,12.733,11.3,10.933,13.966,14.333,11.7,74.965,qual,Netherlands,2021
39.0,gytis chasazyrovas,12.733,13.7,11.733,12.033,12.966,11.4,74.565,qual,Lithuania,2021
40.0,lee junho south,14.166,10.633,12.9,13.2,12.8,10.733,74.432,qual,Korea,2021
41.0,jose nogueira,13.366,11.066,10.8,13.9,12.933,12.266,74.331,qual,Portugal,2021
42.0,israel chiriboga,12.566,11.3,11.566,12.566,13.6,12.733,74.331,qual,Ecuador,2021
43.0,guilherme campos,13.466,10.166,12.633,13.9,12.666,10.966,73.797,qual,Portugal,2021
44.0,kim wanström,13.8,11.8,9.825,13.233,12.7,12.4,73.758,qual,Sweden,2021
45.0,sviataslau dranitski,12.966,11.7,11.433,14.3,12.2,11.033,73.632,qual,Belarus,2021
46.0,abhijeet kumar,12.666,11.733,11.166,12.433,13.2,12.133,73.331,qual,India,2021
47.0,frantisek cerny czech,13.166,10.7,11.2,13.9,11.766,12.2,72.932,qual,Republic,2021
48.0,jonas thorisson,12.7,10.566,11.5,13.733,12.133,12.266,72.898,qual,Iceland,2021
49.0,hung shih-tung,11.833,12.0,11.7,13.733,13.133,10.266,72.665,qual,Taiwan,2021
50.0,kaya kazuma,14.566,14.933,13.966,0.0,14.833,13.966,72.264,qual,Japan,2021
51.0,teodor trifonov,10.933,10.733,10.666,13.833,12.866,11.5,70.531,qual,Bulgaria,2021
52.0,ricards plate,9.9,11.833,11.566,13.033,9.166,12.233,67.731,qual,Latvia,2021
53.0,ryu sunghyun south,14.6,0.0,13.0,14.066,12.666,13.333,67.665,qual,Korea,2021
54.0,lee junghyo south,12.466,13.966,12.833,0.0,14.3,13.2,66.765,qual,Korea,2021
55.0,van vi luong,11.966,11.5,12.733,13.166,13.233,0.0,62.598,qual,Vietnam,2021
56.0,martin gudmundsson,12.766,11.2,0.0,13.833,12.5,12.266,62.565,qual,Iceland,2021
