Rank,FX,PH,SR,VT,PB,HB,AA,year,Nation,Name,round_final,round_qual
1.0,14.733,15.075,13.333,15.066,15.2,14.633,88.04,2021,,147,False,True
2.0,14.133,14.666,14.866,14.766,15.3,14.166,87.897,2021,,421,False,True
3.0,14.066,12.666,14.533,14.966,14.366,13.833,84.43,2021,,7,False,True
4.0,13.2,13.466,13.933,14.233,15.2,13.866,83.898,2021,,352,False,True
5.0,14.333,13.766,12.5,14.066,14.7,14.2,83.565,2021,,166,False,True
6.0,14.033,13.6,12.933,14.2,14.566,13.3,82.632,2021,,222,False,True
7.0,13.633,11.866,13.5,14.366,14.766,14.233,82.364,2021,,165,False,True
8.0,13.4,12.866,13.933,14.2,14.7,12.966,82.065,2021,,14,False,True
9.0,14.133,13.633,13.3,14.066,13.666,13.1,81.898,2021,,192,False,True
10.0,13.433,13.233,13.1,13.8,14.6,13.6,81.766,2021,,334,False,True
11.0,13.9,11.233,14.733,14.666,13.833,13.133,81.498,2021,,401,False,True
12.0,13.966,12.7,12.433,14.333,14.0,13.666,81.098,2021,,240,False,True
13.0,14.433,10.633,13.466,14.433,14.866,13.233,81.064,2021,,414,False,True
14.0,13.1,12.966,13.333,13.833,13.933,13.8,80.965,2021,,150,False,True
15.0,13.433,15.033,12.6,14.4,12.133,13.166,80.765,2021,,200,False,True
16.0,14.941,11.6,12.133,12.966,14.633,14.433,80.706,2021,,268,False,True
17.0,13.666,10.233,14.033,14.666,14.8,13.2,80.598,2021,,61,False,True
18.0,14.233,12.933,13.466,13.8,13.566,12.5,80.498,2021,,280,False,True
19.0,12.966,13.366,13.0,14.233,13.933,13.3,80.498,2021,,354,False,True
20.0,13.3,13.433,12.3,14.3,13.866,12.866,80.065,2021,,201,False,True
21.0,13.733,12.766,12.2,13.766,13.933,12.9,79.298,2021,,304,False,True
22.0,12.6,14.066,12.4,13.933,13.5,12.6,79.099,2021,,115,False,True
23.0,12.366,11.866,12.766,14.008,13.5,13.433,77.939,2021,,290,False,True
24.0,13.6,12.5,11.966,14.2,11.3,14.066,77.632,2021,,296,False,True
25.0,12.566,12.666,12.6,13.766,12.633,13.366,77.597,2021,,20,False,True
26.0,13.733,13.5,12.666,13.933,11.966,11.766,77.564,2021,,332,False,True
27.0,12.5,11.666,13.133,13.766,13.533,12.833,77.431,2021,,294,False,True
