Rank,D,E,ND,Total,year,medal,Name,Nation,round_final,round_qual
1,6.8,8.266,0.0,15.066,2019,0,247,13,True,False
2,6.2,8.433,0.0,14.633,2019,0,8,66,True,False
3,6.5,7.866,0.0,14.366,2019,1,73,66,True,False
4,6.0,8.2,0.0,14.2,2019,0,164,4,True,False
5,5.9,8.166,0.0,14.066,2019,0,85,37,True,False
6,5.9,7.033,0.0,12.933,2019,0,162,50,True,False
7,5.6,6.666,0.0,12.266,2019,0,10,38,True,False
8,5.1,6.366,0.0,11.466,2019,0,230,37,True,False
1,6.2,8.266,0.0,14.466,2019,0,8,66,False,True
2,5.7,8.666,0.0,14.366,2019,0,85,37,False,True
3,6.5,7.8,0.0,14.3,2019,0,247,13,False,True
4,6.5,7.733,0.0,14.233,2019,1,73,66,False,True
5,6.0,7.966,0.0,13.966,2019,0,164,4,False,True
6,5.9,8.033,0.0,13.933,2019,0,162,50,False,True
7,5.9,7.891,0.0,13.791,2019,0,10,38,False,True
8,5.6,7.966,0.0,13.566,2019,0,230,37,False,True
9,5.4,7.966,0.0,13.366,2019,0,231,4,False,True
10,5.7,7.533,0.0,13.233,2019,0,163,38,False,True
11,4.9,8.2,0.0,13.1,2019,0,233,32,False,True
12,5.5,6.9,0.0,12.4,2019,0,37,47,False,True
13,5.0,6.1,0.0,11.1,2019,0,222,73,False,True
1,6.8,8.2,0.0,15.0,2020,0,247,13,False,True
2,6.2,8.7,0.0,14.9,2020,0,239,58,False,True
3,6.6,7.875,0.0,14.475,2020,1,73,66,False,True
4,6.4,8.0,0.0,14.4,2020,0,60,72,False,True
5,5.8,8.5,0.0,14.3,2020,0,162,50,False,True
6,6.6,7.666,0.0,14.266,2020,0,8,66,False,True
7,5.8,8.4,0.0,14.2,2020,0,163,38,False,True
8,5.7,8.466,0.0,14.166,2020,0,220,61,False,True
9,5.6,8.425,0.0,14.025,2020,0,98,44,False,True
10,5.6,8.366,0.0,13.966,2020,0,76,47,False,True
11,5.7,8.166,0.0,13.866,2020,0,224,23,False,True
12,5.5,8.333,0.0,13.833,2020,0,21,8,False,True
13,5.6,8.233,0.0,13.833,2020,0,221,37,False,True
