Rank,D,E,ND,Total,year,medal,Name,Nation,round_final,round_qual
1,6.5,8.766,0.0,15.266,2019,1,153,75,True,False
2,6.5,8.733,0.0,15.233,2019,0,273,13,True,False
3,6.5,8.166,0.0,14.666,2019,0,262,39,True,False
4,6.1,7.6,0.0,13.7,2019,0,256,11,True,False
5,5.9,7.233,0.0,13.133,2019,0,84,69,True,False
6,6.2,6.566,0.0,12.766,2019,0,44,49,True,False
7,5.6,7.1,0.0,12.7,2019,0,12,40,True,False
8,6.2,5.833,0.0,12.033,2019,0,59,26,True,False
1,6.2,8.833,0.0,15.033,2019,0,273,13,False,True
2,6.2,8.7,0.0,14.9,2019,1,153,75,False,True
3,6.5,8.233,0.0,14.733,2019,0,262,39,False,True
4,6.1,8.133,0.0,14.233,2019,0,256,11,False,True
5,6.0,8.2,0.0,14.2,2019,0,12,40,False,True
6,5.7,8.033,0.0,13.733,2019,0,84,69,False,True
7,5.9,7.733,0.0,13.633,2019,0,44,49,False,True
8,5.8,7.8,0.0,13.6,2019,0,59,26,False,True
9,5.8,7.666,0.0,13.466,2019,0,175,16,False,True
10,5.9,7.533,0.0,13.433,2019,0,195,40,False,True
11,5.3,7.733,0.0,13.033,2019,0,10,69,False,True
12,6.1,6.6,0.0,12.7,2019,0,100,39,False,True
13,6.0,6.333,0.0,12.333,2019,0,55,4,False,True
14,5.3,6.666,0.0,11.966,2019,0,17,35,False,True
15,5.1,6.633,0.0,11.733,2019,0,160,26,False,True
16,5.4,6.2,0.0,11.6,2019,0,185,4,False,True
17,5.2,6.366,0.0,11.566,2019,0,105,75,False,True
18,5.8,5.466,0.0,11.266,2019,0,121,16,False,True
1,6.6,8.833,0.0,15.433,2020,0,273,13,False,True
2,6.3,8.3,0.0,14.6,2020,0,251,39,False,True
3,6.1,8.4,0.0,14.5,2020,0,234,32,False,True
4,6.0,8.466,0.0,14.466,2020,0,270,60,False,True
5,6.1,8.333,0.0,14.433,2020,0,195,40,False,True
6,6.2,8.233,0.0,14.433,2020,0,256,11,False,True
7,6.3,7.966,0.0,14.266,2020,0,147,60,False,True
8,5.9,8.266,0.0,14.166,2020,0,86,16,False,True
9,5.9,8.166,0.0,14.066,2020,0,29,28,False,True
10,6.5,7.533,0.0,14.033,2020,0,133,76,False,True
11,5.9,8.033,0.0,13.933,2020,0,26,8,False,True
12,5.7,7.9,0.0,13.6,2020,0,87,9,False,True
13,5.3,8.166,0.0,13.466,2020,0,0,69,False,True
14,5.8,7.466,0.0,13.266,2020,0,117,6,False,True
15,5.7,7.466,0.0,13.166,2020,0,16,35,False,True
16,5.5,7.566,0.0,13.066,2020,0,208,25,False,True
17,5.7,7.266,0.0,12.966,2020,0,240,62,False,True
18,5.2,7.7,0.0,12.9,2020,0,122,4,False,True
19,6.0,6.833,0.0,12.833,2020,0,204,64,False,True
20,4.7,8.033,0.0,12.733,2020,0,158,27,False,True
21,5.4,7.333,0.0,12.733,2020,0,109,40,False,True
22,5.5,7.1,0.0,12.6,2020,0,66,10,False,True
23,5.5,6.966,0.0,12.466,2020,0,255,24,False,True
24,5.3,6.966,0.0,12.266,2020,0,191,6,False,True
25,5.1,7.066,0.0,12.166,2020,0,42,27,False,True
26,5.2,6.7,0.0,11.9,2020,0,80,52,False,True
27,4.7,7.066,0.0,11.766,2020,0,275,8,False,True
28,4.5,7.2,0.0,11.7,2020,0,278,10,False,True
29,4.6,7.033,0.0,11.633,2020,0,73,74,False,True
30,5.3,6.0,0.0,11.3,2020,0,84,69,False,True
31,4.1,6.533,0.0,10.633,2020,0,113,46,False,True
32,4.6,5.6,0.0,10.2,2020,0,85,55,False,True
33,3.4,4.7,0.0,8.1,2020,0,135,2,False,True
1,6.2,9.2,0.0,15.4,2019,1,153,75,True,False
2,5.9,8.8,0.0,14.7,2019,0,195,40,True,False
3,6.6,7.9,0.0,14.5,2019,1,141,39,True,False
4,5.9,8.45,0.0,14.35,2019,0,1,73,True,False
5,5.8,8.375,0.0,14.175,2019,0,155,61,True,False
6,5.8,8.05,0.0,13.85,2019,0,185,4,True,False
7,5.2,8.35,0.0,13.55,2019,0,246,36,True,False
8,4.4,8.5,0.0,12.9,2019,0,120,11,True,False
1,6.2,8.95,0.0,15.15,2019,1,153,75,False,True
2,6.1,8.7,0.0,14.8,2019,1,141,39,False,True
3,5.5,8.9,0.0,14.4,2019,0,195,40,False,True
4,5.7,8.45,0.0,14.15,2019,0,1,73,False,True
5,5.8,8.15,0.0,13.95,2019,0,185,4,False,True
6,5.2,8.45,0.0,13.65,2019,0,246,36,False,True
7,5.8,7.85,0.0,13.65,2019,0,155,61,False,True
8,4.7,8.7,0.0,13.4,2019,0,120,11,False,True
9,4.8,8.55,0.0,13.35,2019,0,125,11,False,True
10,5.3,8.05,0.0,13.35,2019,0,10,69,False,True
11,5.6,7.65,0.0,13.25,2019,0,271,70,False,True
12,4.7,8.5,0.0,13.2,2019,0,156,61,False,True
13,6.1,7.1,0.0,13.2,2019,0,247,72,False,True
14,4.6,8.55,0.0,13.15,2019,0,252,75,False,True
15,5.5,7.65,0.0,13.15,2019,0,117,6,False,True
16,6.0,7.15,0.0,13.15,2019,0,108,60,False,True
17,4.6,8.5,0.0,13.1,2019,0,188,40,False,True
18,5.0,8.05,0.0,13.05,2019,0,20,36,False,True
19,6.0,7.05,0.0,13.05,2019,0,138,39,False,True
20,5.1,7.9,0.0,13.0,2019,0,163,9,False,True
21,5.5,7.5,0.0,13.0,2019,0,147,60,False,True
22,5.6,7.25,0.0,12.85,2019,0,157,16,False,True
23,4.6,8.2,0.0,12.8,2019,0,144,26,False,True
24,4.3,8.45,0.0,12.75,2019,0,170,64,False,True
25,4.8,7.9,0.0,12.7,2019,0,28,26,False,True
26,4.9,7.7,0.0,12.6,2019,0,219,73,False,True
27,4.6,7.9,0.0,12.5,2019,0,41,56,False,True
28,5.1,7.35,0.0,12.45,2019,0,145,61,False,True
29,5.4,7.05,0.0,12.45,2019,0,272,39,False,True
30,5.5,6.85,0.0,12.35,2019,0,116,60,False,True
31,5.0,7.3,0.0,12.3,2019,0,103,75,False,True
32,4.5,7.75,0.0,12.25,2019,0,27,26,False,True
33,5.0,7.2,0.0,12.2,2019,0,231,59,False,True
34,5.2,7.0,0.0,12.2,2019,0,258,18,False,True
35,4.5,7.5,0.0,12.0,2019,0,15,5,False,True
36,4.8,7.2,0.0,12.0,2019,0,61,11,False,True
37,4.1,7.875,0.0,11.975,2019,0,173,64,False,True
38,6.0,5.85,0.0,11.85,2019,0,83,9,False,True
39,4.6,7.175,0.0,11.775,2019,0,201,51,False,True
40,3.9,7.8,0.0,11.7,2019,0,266,5,False,True
40,3.9,7.8,0.0,11.7,2019,0,169,36,False,True
