Rank,Athlete,Nation,D,E,ND,Total,year,round
1,liu yang,CHN,6.4,8.766,0.0,15.166,2019.0,final
2,you hao,CHN,6.4,8.733,0.0,15.133,2019.0,final
3,arthur zanetti,BRA,6.2,8.766,0.0,14.966,2019.0,final
4,kazuya takahashi,JPN,6.2,8.4,0.0,14.6,2019.0,final
5,courtney tulloch,none,6.4,8.2,0.0,14.6,2019.0,final
6,igor radivilov,UKR,6.3,8.266,0.0,14.566,2019.0,final
7,ali zahran,EGY,6.2,8.2,0.0,14.4,2019.0,final
8,ryan oehrlein,CAN,6.1,7.9,0.0,14.0,2019.0,final
1,liu yang,CHN,6.4,8.6,0.0,15.0,2019.0,qual
2,you hao,CHN,6.4,8.333,0.0,14.733,2019.0,qual
3,arthur zanetti,BRA,6.1,8.6,0.0,14.7,2019.0,qual
4,courtney tulloch,none,6.4,8.3,0.0,14.7,2019.0,qual
5,igor radivilov,UKR,6.3,8.333,0.0,14.633,2019.0,qual
6,ali zahran,EGY,6.2,7.966,0.0,14.166,2019.0,qual
7,ryan oehrlein,CAN,6.1,8.0,0.0,14.1,2019.0,qual
8,kazuya takahashi,JPN,6.2,7.833,0.0,14.033,2019.0,qual
9,ahmet önder,TUR,5.8,8.0,0.0,13.8,2019.0,qual
10,federico molinari,ARG,5.9,7.666,0.0,13.566,2019.0,qual
11,casimir schmidt,NED,5.7,7.666,0.0,13.366,2019.0,qual
12,daniel villafane,ARG,5.9,7.466,0.0,13.366,2019.0,qual
13,samir aït saïd,FRA,5.8,7.2,0.0,13.0,2019.0,qual
14,hung shih-tung,none,4.9,7.6,0.0,12.5,2019.0,qual
15,michael tone,AUS,5.0,7.1,0.0,12.1,2019.0,qual
16,wei an terry tay,SIN,4.3,4.466,0.0,8.766,2019.0,qual
1,eleftherios petrounias,GRE,6.3,8.8,0.0,15.1,,
2,liu yang,CHN,6.4,8.6,0.0,15.0,,
3,lan xingyu,CHN,6.4,8.533,0.0,14.933,,
4,arthur zanetti,BRA,6.2,8.566,0.0,14.766,,
5,courtney tulloch,,6.2,8.433,0.0,14.633,,
6,igor radivilov,UKR,6.0,8.6,0.0,14.6,,
7,ali zahran,EGY,6.2,8.233,0.0,14.433,,
8,ng kiu chung,HKG,6.0,8.133,0.0,14.133,,
9,konstantinos konstantinidis,GRE,6.1,7.758,0.0,13.858,,
10,yunus gündogdu,TUR,5.9,7.933,0.0,13.833,,
11,alexey rostov,RUS,5.5,8.266,0.0,13.766,,
12,abdelrahman magdy elgamal,TUR,5.7,8.033,0.0,13.733,,
13,federico molinari,ARG,5.9,7.8,0.0,13.7,,
14,mahdi ahmad kohani,IRI,6.2,7.266,0.0,13.466,,
15,javidan babayev,AZE,6.0,7.433,0.0,13.433,,
16,mitchell morgans,AUS,4.9,8.333,0.0,13.233,,
17,marco rizzo,SUI,5.7,7.533,0.0,13.233,,
18,rick jacobs,NED,5.0,8.066,0.0,13.066,,
19,takaaki sugino,JPN,5.3,7.6,0.0,12.9,,
20,ivan tikhonov,AZE,5.7,7.133,0.0,12.833,,
21,sebastian gawronski,POL,4.6,8.133,0.0,12.733,,
22,casimir schmidt,NED,5.1,7.633,0.0,12.733,,
23,dmitriy patanin,KAZ,4.5,8.066,0.0,12.566,,
24,lin guan-yi,,5.3,7.0,0.0,12.3,,
25,filip sasnal,POL,4.2,7.633,0.0,11.833,,
26,konstantin kuzovkov,GEO,3.6,8.0,0.0,11.6,,
27,tseng wei-sheng,,4.4,6.333,0.0,10.733,,
1,artur avetisyan,ARM,5.9,9.0,0.0,14.9,2019.0,final
2,ibrahim colak,TUR,6.2,8.6,0.0,14.8,2019.0,final
2,vinzenz höck,AUT,6.2,8.6,0.0,14.8,2019.0,final
4,wataru tanigawa,JPN,6.0,8.65,0.0,14.65,2019.0,final
5,ahmet önder,TUR,6.0,8.45,0.0,14.45,2019.0,final
6,kazuma kaya,JPN,6.1,8.35,0.0,14.45,2019.0,final
7,alexander diab,USA,5.8,8.5,0.0,14.3,2019.0,final
8,tang chia-hung,none,5.5,8.625,0.0,14.125,2019.0,final
1,ibrahim colak,TUR,6.2,8.65,0.0,14.85,2019.0,qual
2,artur avetisyan,ARM,5.9,8.85,0.0,14.75,2019.0,qual
3,vinzenz höck,AUT,5.9,8.55,0.0,14.45,2019.0,qual
4,wataru tanigawa,JPN,6.0,8.45,0.0,14.45,2019.0,qual
5,alexander diab,USA,5.8,8.55,0.0,14.35,2019.0,qual
6,kazuma kaya,JPN,6.1,8.2,0.0,14.3,2019.0,qual
7,tang chia-hung,none,5.5,8.75,0.0,14.25,2019.0,qual
8,ahmet önder,TUR,6.0,8.25,0.0,14.25,2019.0,qual
9,marco sarrugerio,ITA,5.5,8.55,0.0,14.05,2019.0,qual
10,andrea russo,ITA,5.5,8.475,0.0,13.975,2019.0,qual
11,kakeru tanigawa,JPN,5.4,8.55,0.0,13.95,2019.0,qual
12,fabian de luna,MEX,5.8,8.1,0.0,13.9,2019.0,qual
13,eduard yermakov,UKR,5.5,8.375,0.0,13.875,2019.0,qual
14,lee jung-hyo,SKR,5.6,8.25,0.0,13.85,2019.0,qual
15,vladyslav hryko,UKR,5.5,8.3,0.0,13.8,2019.0,qual
16,kirill prokopev,RUS,5.0,8.6,0.0,13.6,2019.0,qual
17,kim han-sol,SKR,5.5,8.1,0.0,13.6,2019.0,qual
18,ilya kibartas,RUS,6.2,7.4,0.0,13.6,2019.0,qual
19,luis porto,BRA,4.5,9.0,0.0,13.5,2019.0,qual
20,ivan stretovich,RUS,4.9,8.55,0.0,13.45,2019.0,qual
21,michael tone,AUS,5.3,8.15,0.0,13.45,2019.0,qual
22,maxime gentges,BEL,4.9,8.5,0.0,13.4,2019.0,qual
23,ivan tikhonov,AZE,5.3,8.1,0.0,13.4,2019.0,qual
24,joonas kukkonen,FIN,5.4,8.0,0.0,13.4,2019.0,qual
25,lee chih-kai,none,5.3,8.0,0.0,13.3,2019.0,qual
26,marco walter,SUI,4.8,8.45,0.0,13.25,2019.0,qual
27,fellipe ferreira,BRA,5.0,8.25,0.0,13.25,2019.0,qual
28,stefano patron,ITA,4.8,8.4,0.0,13.2,2019.0,qual
29,antoine pochon,FRA,4.2,8.95,0.0,13.15,2019.0,qual
30,justin pesesse,BEL,4.7,8.45,0.0,13.15,2019.0,qual
31,damien cachia,CAN,5.7,7.45,0.0,13.15,2019.0,qual
32,martino morosi,SUI,4.2,8.9,0.0,13.1,2019.0,qual
33,tom nicolaou,CYP,4.4,8.7,0.0,13.1,2019.0,qual
34,hsu ping-chien,none,4.5,8.55,0.0,13.05,2019.0,qual
35,milad karimi,KAZ,4.6,8.45,0.0,13.05,2019.0,qual
36,antoine borello,FRA,4.6,8.35,0.0,12.95,2019.0,qual
37,abdulla azimov,UZB,4.3,8.6,0.0,12.9,2019.0,qual
38,jeremy bartholomeusz,CAN,4.3,8.5,0.0,12.8,2019.0,qual
39,julian jato,ARG,4.4,8.4,0.0,12.8,2019.0,qual
40,lee seung-min,SKR,4.8,8.0,0.0,12.8,2019.0,qual
41,sviataslau dranitski,BLR,4.7,8.0,0.0,12.7,2019.0,qual
42,guilherme campos,POR,3.9,8.75,0.0,12.65,2019.0,qual
43,bernardo almeida,POR,5.1,7.5,0.0,12.6,2019.0,qual
44,franz card,FIN,4.2,8.35,0.0,12.55,2019.0,qual
45,rasuljon abdurakhimov,UZB,3.6,8.9,0.0,12.5,2019.0,qual
46,luka bojanc,SLO,4.3,8.2,0.0,12.5,2019.0,qual
47,killian mermet,FRA,4.7,7.75,0.0,12.45,2019.0,qual
48,roland modoianu,ROU,5.1,7.2,0.0,12.3,2019.0,qual
49,alexander benda,AUT,3.8,8.4,0.0,12.2,2019.0,qual
50,ivo chiapponi,ARG,4.1,8.1,0.0,12.2,2019.0,qual
51,hudson irwin,AUS,4.2,8.0,0.0,12.2,2019.0,qual
52,robert ghiuzan,ROU,5.1,7.0,0.0,12.1,2019.0,qual
53,nikolai rønbeck,NOR,3.8,8.2,0.0,12.0,2019.0,qual
54,batuhan yazici,NZL,4.2,7.6,0.0,11.8,2019.0,qual
55,heath thorpe,AUS,4.1,7.4,0.0,11.5,2019.0,qual
1,ibrahim colak,TUR,6.2,8.733,0.0,14.933,2019.0,final
2,marco lodadio,ITA,6.3,8.6,0.0,14.9,2019.0,final
3,samir aït saïd,FRA,6.2,8.6,0.0,14.8,2019.0,final
4,eleftherios petrounias,GRE,6.3,8.433,0.0,14.733,2019.0,final
5,arthur zanetti,BRA,6.2,8.525,0.0,14.725,2019.0,final
6,denis abliazin,RUS,6.3,8.366,0.0,14.666,2019.0,final
7,artur tovmasyan,ARM,6.1,8.1,0.0,14.2,2019.0,final
8,nick klessing,none,6.1,8.066,0.0,14.166,2019.0,final
1,ibrahim colak,TUR,6.2,8.658,0.0,14.858,2019.0,qual
2,arthur zanetti,BRA,6.1,8.6,0.0,14.7,2019.0,qual
3,samir aït saïd,FRA,6.2,8.5,0.0,14.7,2019.0,qual
4,eleftherios petrounias,GRE,6.3,8.4,0.0,14.7,2019.0,qual
5,marco lodadio,ITA,6.3,8.366,0.0,14.666,2019.0,qual
6,denis abliazin,RUS,6.1,8.5,0.0,14.6,2019.0,qual
7,nick klessing,none,6.0,8.566,0.0,14.566,2019.0,qual
8,artur tovmasyan,ARM,6.1,8.466,0.0,14.566,2019.0,qual
9,igor radivilov,UKR,6.3,8.233,0.0,14.533,2019.0,qual
10,federico molinari,ARG,6.2,8.3,0.0,14.5,2019.0,qual
11,mahdi ahmad kohani,IRI,6.2,8.233,0.0,14.433,2019.0,qual
12,nikita nagornyy,RUS,6.0,8.4,0.0,14.4,2019.0,qual
