Rank,Athlete,Nation,D,E,ND,Total,D.1,E.1,ND.1,Total.1,Average,year
1,igor radivilov,UKR,5.6,9.366,0.0,14.966,5.6,9.333,0.0,14.933,14.949,2019
2,loris frasca,FRA,5.6,9.4,0.0,15.0,5.6,9.2,0.0,14.8,14.9,2019
3,dominick cunningham,none,5.4,9.166,0.0,14.566,5.6,9.333,0.0,14.933,14.749,2019
4,hidenobu yonekura,JPN,6.0,8.525,0.0,14.525,5.6,9.033,0.0,14.633,14.579,2019
5,shin jea-hwan,SKR,5.6,9.033,0.0,14.633,5.2,9.3,0.0,14.5,14.566,2019
6,christopher remkes,AUS,5.6,9.033,-0.1,14.533,5.6,8.033,0.0,13.633,14.083,2019
7,kim han-sol,SKR,5.6,8.066,-0.1,13.566,5.2,9.233,0.0,14.433,13.999,2019
8,milad karimi,KAZ,5.2,8.0,-0.3,12.9,5.2,9.066,0.0,14.266,13.583,2019
1,ri se gwang,none,6.0,8.933,0.0,14.933,6.0,8.933,0.0,14.933,14.933,2018
2,artur dalaloyan,RUS,5.6,9.266,0.0,14.866,5.6,9.3,0.0,14.9,14.883,2018
3,kenzo shirai,JPN,5.6,9.15,0.0,14.75,5.2,9.4,0.0,14.6,14.675,2018
4,dominick cunningham,none,5.4,9.133,0.0,14.533,5.6,9.2,0.0,14.8,14.666,2018
5,nikita nagornyy,RUS,5.6,9.2,0.0,14.8,5.6,8.9,0.0,14.5,14.65,2018
6,shek wai hung,HKG,5.6,9.133,0.0,14.733,5.6,8.7,-0.3,14.0,14.366,2018
7,artur davtyan,ARM,5.6,8.833,0.0,14.433,5.6,8.133,-0.3,13.433,13.933,2018
8,caio souza,BRA,5.6,9.033,0.0,14.633,5.6,7.833,-0.3,13.133,13.883,2018
1,nikita nagornyy,RUS,5.6,9.333,0.0,14.933,5.6,9.4,0.0,15.0,14.966,2019
2,artur dalaloyan,RUS,5.6,9.333,0.0,14.933,5.6,9.333,0.0,14.933,14.933,2019
3,igor radivilov,UKR,5.6,9.233,0.0,14.833,5.6,9.066,0.0,14.666,14.749,2019
4,marian dragulescu,ROU,5.6,9.366,0.0,14.966,5.4,8.883,0.0,14.283,14.624,2019
5,dominick cunningham,none,5.2,9.366,0.0,14.566,5.4,9.166,0.0,14.566,14.566,2019
6,le thanh tung,VIE,5.6,9.066,0.0,14.666,5.2,9.2,0.0,14.4,14.533,2019
7,shek wai hung,HKG,6.0,7.933,0.0,13.933,6.0,9.0,0.0,15.0,14.466,2019
8,yang hak-seon,SKR,6.0,8.033,-0.3,13.733,5.6,9.3,0.0,14.9,14.316,2019
1,kim han-sol,SKR,5.6,9.2,0.0,14.8,5.2,9.3,0.0,14.5,14.65,2019
2,yahor sharamkou,BLR,5.2,9.25,0.0,14.45,5.2,9.15,-0.1,14.25,14.35,2019
3,luis porto,BRA,5.2,9.2,0.0,14.4,4.8,9.5,0.0,14.3,14.35,2019
4,wataru tanigawa,JPN,6.0,7.9,0.0,13.9,5.6,9.05,0.0,14.65,14.275,2019
5,fabian de luna,MEX,5.2,9.1,0.0,14.3,5.2,8.95,-0.1,14.05,14.175,2019
6,heath thorpe,AUS,4.8,9.35,0.0,14.15,4.6,8.95,-0.1,13.45,13.8,2019
7,robert ghiuzan,ROU,5.2,7.8,-0.3,12.7,5.2,9.0,-0.3,13.9,13.3,2019
8,marco walter,SUI,5.2,9.2,0.0,14.4,4.8,7.6,-0.3,12.1,13.25,2019
1,yul moldauer,USA,5.2,9.1,0.0,14.3,5.2,9.3,0.0,14.5,28.8,2020
2,eddie penev,USA,5.4,8.85,0.0,14.25,5.2,9.3,0.0,14.5,28.75,2020
2,shane wiskus,USA,5.2,9.25,0.0,14.45,5.2,9.1,0.0,14.3,28.75,2020
4,colt walker,USA,5.2,9.05,0.0,14.25,5.2,9.2,0.0,14.4,28.65,2020
4,gage dyer,USA,5.6,8.6,0.0,14.2,5.6,8.95,-0.1,14.45,28.65,2020
6,robert neff,USA,5.2,9.0,-0.1,14.1,5.2,9.2,0.0,14.4,28.5,2020
7,colin van wicklen,USA,5.6,8.1,0.0,13.7,5.6,9.15,0.0,14.75,28.45,2020
8,akash modi,USA,5.2,8.95,0.0,14.15,5.2,9.05,0.0,14.25,28.4,2020
8,marvin kimble,USA,5.6,8.1,0.0,13.7,5.6,9.1,0.0,14.7,28.4,2020
10,isaiah drake,USA,5.2,8.75,0.0,13.95,5.2,9.05,0.0,14.25,28.2,2020
11,timothy wang,USA,5.2,8.25,0.0,13.45,5.2,9.25,0.0,14.45,27.9,2020
12,donothan bailey,USA,5.2,8.8,0.0,14.0,5.2,8.75,-0.1,13.85,27.85,2020
13,paul juda,USA,5.2,9.1,0.0,14.3,5.2,8.3,0.0,13.5,27.8,2020
14,alex diab,USA,5.2,8.5,0.0,13.7,5.2,8.8,0.0,14.0,27.7,2020
15,cameron bock,USA,5.2,8.3,0.0,13.5,5.2,8.5,-0.1,13.6,27.1,2020
16,kiwan watts,USA,4.8,8.95,0.0,13.75,5.2,8.1,0.0,13.3,27.05,2020
16,sean melton,USA,5.2,8.75,-0.1,13.85,5.2,8.0,0.0,13.2,27.05,2020
18,michael moran,USA,5.2,8.9,0.0,14.1,5.2,7.65,-0.1,12.75,26.85,2020
19,nicolas kuebler,USA,4.8,8.85,0.0,13.65,4.0,9.15,0.0,13.15,26.8,2020
20,ian gunther,USA,5.2,8.35,0.0,13.55,4.8,7.25,-0.3,11.75,25.3,2020
1,shin jea-hwan,SKR,6.0,9.2,0.0,15.2,5.6,8.966,0.0,14.566,14.883,2020
2,andrey medvedev,ISR,5.6,8.966,0.0,14.566,5.6,9.166,0.0,14.766,14.666,2020
3,igor radivilov,UKR,5.6,9.066,0.0,14.666,5.6,9.033,0.0,14.633,14.649,2020
4,james bacueti,AUS,5.6,9.066,0.0,14.666,5.2,9.266,0.0,14.466,14.566,2020
5,yahor sharamkou,BLR,5.2,9.2,0.0,14.4,5.6,9.033,0.0,14.633,14.516,2020
6,courtney tulloch,none,5.6,8.9,0.0,14.5,5.6,8.9,0.0,14.5,14.5,2020
7,abdelrahman magdy elgamal,TUR,5.6,9.066,0.0,14.666,5.6,8.8,-0.1,14.3,14.483,2020
8,jorge vega lopez,GUA,5.6,8.933,-0.1,14.433,5.2,9.233,0.0,14.433,14.433,2020
9,sviataslau drantitski,BLR,5.2,9.2,0.0,14.4,5.2,9.0,0.0,14.2,14.3,2020
10,hidenobu yonekura,JPN,5.6,8.7,0.0,14.3,5.2,8.9,0.0,14.1,14.2,2020
11,audrys nin reyes,DOM,6.0,8.133,-0.3,13.833,5.6,8.966,0.0,14.566,14.199,2020
12,marco rizzo,SUI,5.2,8.933,0.0,14.133,5.2,9.066,0.0,14.266,14.199,2020
13,milad karimi,KAZ,5.2,9.4,0.0,14.6,5.2,8.666,-0.3,13.566,14.083,2020
14,carlos edriel yulo,PHI,5.6,7.866,-0.3,13.166,5.6,9.066,0.0,14.666,13.916,2020
15,shek wai hung,HKG,6.0,7.866,-0.1,13.766,6.0,7.966,-0.3,13.666,13.716,2020
16,farukh nabiyev,KAZ,5.2,9.066,0.0,14.266,4.8,8.6,-0.3,13.1,13.683,2020
17,ivan tikhonov,AZE,5.6,8.033,0.0,13.633,4.8,8.933,0.0,13.733,13.683,2020
18,murad agharzayev,AZE,5.2,8.966,-0.1,14.066,5.2,8.033,0.0,13.233,13.649,2020
19,marian dragulescu,ROU,5.0,9.066,0.0,14.066,5.2,8.0,0.0,13.2,13.633,2020
20,sebastian gawronski,POL,5.2,8.133,-0.1,13.233,5.2,8.666,-0.1,13.766,13.499,2020
21,jan gwynn timbang,PHI,5.2,8.7,-0.1,13.8,4.0,9.033,0.0,13.033,13.416,2020
22,mustafa arca,TUR,5.2,8.0,-0.3,12.9,5.2,8.666,0.0,13.866,13.383,2020
23,konstantin kuzovkov,GEO,4.8,8.866,0.0,13.666,5.2,8.1,-0.2,13.1,13.383,2020
24,georgios garivaldis,GRE,5.2,8.233,-0.3,13.133,4.8,8.7,0.0,13.5,13.316,2020
