Rank,Name,nation,D Score,E Score,Pen.,Total,year,round
109.0,Jana ABDELSALAM,EGY,4.4,7.466,0.1,11.766,2022,qual
22.0,Jana ABDELSALAM,EGY,4.5,7.366,0.0,11.866,2023,qual
39.0,Kumudi Imanya ABEYRATNE,SRI,2.9,4.45,0.0,7.35,2022,qual
74.0,Jana ABOELHASAN,EGY,4.4,7.866,0.0,12.266,2022,qual
16.0,Ondine ACHAMPONG,GBR,5.3,8.033,0.0,13.333,2022,qual
12.0,Ondine ACHAMPONG,GBR,5.2,7.6,0.3,12.5,2022,qual
25.0,Ondine ACHAMPONG,GBR,5.3,7.566,0.2,12.666,2022,qual
8.0,Ondine ACHAMPONG,GBR,5.2,6.75,0.0,11.95,2023,final
4.0,Ondine ACHAMPONG,GBR,5.3,7.9,0.0,13.2,2023,qual
8.0,Ondine ACHAMPONG,GBR,5.3,7.866,0.0,13.166,2023,qual
1.0,Ondine ACHAMPONG,ENG,5.3,8.05,0.0,13.35,2022,AAfinal
2.0,Ondine ACHAMPONG,ENG,5.3,7.733,0.0,13.033,2022,final
11.0,Ondine ACHAMPONG,ENG,5.3,7.25,0.0,12.55,2022,qual
127.0,Thelma ADALSTEINSDOTTIR,ISL,3.7,7.733,0.0,11.433,2022,qual
91.0,Thelma ADALSTEINSDOTTIR,ISL,3.6,7.533,0.0,11.133,2022,qual
78.0,Thelma ADALSTEINSDOTTIR,ISL,4.5,7.066,0.0,11.566,2023,qual
52.0,Jess ADAMSON,GBR,4.0,6.45,0.0,10.45,2022,qual
31.0,Mei AMORELLI,GBR,4.3,6.7,0.0,11.0,2023,qual
21.0,Lobar AMRILLAEVA,UZB,4.9,7.166,0.1,11.966,2023,qual
18.0,Lobar AMRILLAEVA,UZB,4.6,6.333,0.0,10.933,2023,qual
101.0,Anastasija ANANJEVA,LAT,4.4,6.4,0.0,10.8,2022,qual
64.0,Anastasija ANANJEVA,LAT,4.3,7.5,0.0,11.8,2023,qual
2.0,Rebeca ANDRADE,BRA,6.1,8.3,0.0,14.4,2022,AAfinal
3.0,Rebeca ANDRADE,BRA,5.9,7.833,0.0,13.733,2022,final
2.0,Rebeca ANDRADE,BRA,6.1,8.1,0.0,14.2,2022,qual
3.0,Angela ANDREOLI,ITA,5.8,8.066,0.0,13.866,2022,final
3.0,Angela ANDREOLI,ITA,5.6,8.033,0.0,13.633,2022,qual
11.0,Angela ANDREOLI,ITA,5.5,7.5,0.0,13.0,2023,qual
27.0,Misella ANTILA,FIN,4.3,6.3,0.1,10.5,2023,qual
41.0,Misella Alli Helena ANTILA,FIN,4.6,6.266,0.3,10.566,2023,qual
5.0,Shannon ARCHER,GBR,4.7,8.2,0.0,12.9,2022,final
7.0,Shannon ARCHER,GBR,4.7,7.95,0.0,12.65,2022,qual
13.0,Shannon ARCHER,SCO,4.6,6.9,0.0,11.5,2022,AAfinal
15.0,Shannon ARCHER,SCO,4.5,7.9,0.0,12.4,2022,qual
26.0,Dildora ARIPOVA,UZB,4.4,6.666,0.0,11.066,2023,qual
15.0,Dildora ARIPOVA,UZB,4.6,8.0,0.3,12.3,2023,qual
4.0,Dildora ARIPOVA,UZB,5.0,7.566,0.0,12.566,2023,final
2.0,Dildora ARIPOVA,UZB,5.0,7.866,0.0,12.866,2023,qual
12.0,Valeria ARRAIZ,VEN,4.3,7.7,0.0,12.0,2023,qual
13.0,Sona ARTAMONOVA,CZE,4.8,7.766,0.1,12.466,2023,qual
90.0,Sona ARTAMONOVA,CZE,4.6,6.933,0.3,11.233,2023,qual
10.0,Urara ASHIKAWA,JPN,4.5,8.166,0.0,12.666,2023,qual
41.0,Amelie ATTWOOD,GBR,4.3,7.05,0.0,11.35,2022,qual
33.0,Nada AWAD,EGY,4.2,6.3,0.6,9.9,2023,qual
19.0,Ciena Alipio,USA,5.0,6.85,0.0,11.85,2022,AAfinal
3.0,Dildora Aripova,UZB,4.9,7.966,0.0,12.866,2022,final
3.0,Dildora Aripova,UZB,4.9,7.733,0.0,12.633,2022,qual
2.0,Dildora Aripova,UZB,4.9,7.7,0.0,12.6,2022,final
2.0,Dildora Aripova,UZB,4.9,7.833,0.0,12.733,2022,qual
128.0,Tatiana BACHURINA,CYP,4.0,7.333,0.0,11.333,2022,qual
94.0,Tatiana BACHURINA,CYP,4.3,7.1,0.3,11.1,2022,qual
16.0,Tatiana BACHURINA,CYP,4.2,6.55,0.0,10.75,2022,AAfinal
32.0,Tatiana BACHURINA,CYP,4.2,6.5,0.1,10.6,2022,qual
123.0,Csenge Maria BACSKAY,HUN,4.1,7.433,0.0,11.533,2022,qual
40.0,Sacha BAILEY,GBR,4.2,7.15,0.0,11.35,2022,qual
39.0,Sacha BAILEY,GBR,4.4,5.8,0.1,10.1,2023,qual
27.0,Shannon BAKER,GBR,4.7,7.1,0.1,11.7,2022,qual
16.0,Shannon BAKER,GBR,4.6,7.1,0.0,11.7,2023,qual
106.0,Adela BALCOVA,SVK,4.4,6.266,0.0,10.666,2023,qual
