Rank,VT,UB,BB,FX,AA,year,medal,Name,Nation,round_final,round_qual
1,15.966,14.866,14.8,15.333,60.965,2018,0,312,76,FALSE,TRUE
2,14.6,14.466,13.466,13.933,56.465,2018,0,259,76,FALSE,TRUE
3,14.433,13.666,13.433,14.1,55.632,2018,0,222,42,FALSE,TRUE
4,13.466,15.066,13.766,13.266,55.564,2018,0,271,6,FALSE,TRUE
5,14.266,14.3,12.866,14.033,55.465,2018,1,41,62,FALSE,TRUE
6,14.033,14,13.733,13.233,54.999,2018,0,109,11,FALSE,TRUE
7,14.466,13.866,12.566,13.9,54.798,2018,0,255,28,FALSE,TRUE
8,14.266,14.133,13.1,13.266,54.765,2018,0,292,76,FALSE,TRUE
9,13.466,14.466,13.266,12.933,54.131,2018,0,219,14,FALSE,TRUE
10,14.466,12.4,13.233,13.9,53.999,2018,0,131,9,FALSE,TRUE
11,14.366,13.466,12.5,13.2,53.532,2018,0,110,80,FALSE,TRUE
12,13.5,13.833,13.133,13.066,53.532,2018,0,157,62,FALSE,TRUE
13,13.433,14.3,12.9,12.866,53.499,2018,0,79,14,FALSE,TRUE
14,14.433,13.4,13.133,12.5,53.466,2018,0,55,42,FALSE,TRUE
15,13.9,13.8,12.333,13.066,53.099,2018,0,182,80,FALSE,TRUE
16,13.533,13.8,13.133,12.466,52.932,2018,0,150,42,FALSE,TRUE
17,13.3,13.433,12.966,13.133,52.832,2018,0,264,49,FALSE,TRUE
18,13.666,14.566,11.7,12.866,52.798,2018,0,106,80,FALSE,TRUE
19,14.266,12.366,12.733,13.4,52.765,2018,0,92,60,FALSE,TRUE
20,14.5,13.333,11.7,13.2,52.733,2018,0,160,9,FALSE,TRUE
21,13.333,12.666,13.133,13.5,52.632,2018,0,65,11,FALSE,TRUE
22,14.233,10.733,14.1,13.2,52.266,2018,0,356,14,FALSE,TRUE
23,13.366,12.633,12.8,13.4,52.199,2018,0,195,39,FALSE,TRUE
24,13.633,12.833,13.066,12.633,52.165,2018,0,357,33,FALSE,TRUE
25,13.433,13,13.066,12.666,52.165,2018,0,211,28,FALSE,TRUE
26,13.5,12.966,12.866,12.8,52.132,2018,0,28,26,FALSE,TRUE
27,13.7,12.033,13.175,13.166,52.074,2018,0,56,6,FALSE,TRUE
28,14.566,11.908,12.6,12.966,52.04,2018,0,354,64,FALSE,TRUE
29,13.733,12.6,12.833,12.833,51.999,2018,0,306,39,FALSE,TRUE
30,13.4,13.2,12.9,12.433,51.933,2018,0,137,80,FALSE,TRUE
31,13.5,12.933,12.9,12.6,51.933,2018,0,213,28,FALSE,TRUE
32,13.433,13.433,12.233,12.3,51.399,2018,0,133,48,FALSE,TRUE
33,14.633,12.133,11.966,12.6,51.332,2018,0,12,48,FALSE,TRUE
34,13.333,13.55,11.866,12.4,51.149,2018,0,262,42,FALSE,TRUE
35,13.4,12.4,12.633,12.6,51.033,2018,0,121,3,FALSE,TRUE
36,13.466,13.033,12.166,12.333,50.998,2018,0,248,1,FALSE,TRUE
37,13.966,10.533,13.3,12.666,50.465,2018,0,94,74,FALSE,TRUE
38,13.4,13.066,11.4,12.5,50.366,2018,0,130,57,FALSE,TRUE
39,13.466,13.4,11.133,12.366,50.365,2018,0,138,3,FALSE,TRUE
40,13.766,13,11.066,12.5,50.332,2018,0,342,49,FALSE,TRUE
41,13.266,12.233,12.666,12.033,50.198,2018,0,154,60,FALSE,TRUE
42,13.466,12.033,11.866,12.8,50.165,2018,0,37,20,FALSE,TRUE
43,12.566,12.1,12.766,12.666,50.098,2018,0,156,39,FALSE,TRUE
44,13.3,12.933,11.5,12.2,49.933,2018,0,149,26,FALSE,TRUE
45,14.233,12.666,11.5,11.533,49.932,2018,0,187,80,FALSE,TRUE
46,13.233,12.766,11.866,12,49.865,2018,0,134,56,FALSE,TRUE
47,12.825,12,12.233,12.8,49.858,2018,0,168,70,FALSE,TRUE
48,12.666,12.9,11.566,12.533,49.665,2018,0,116,3,FALSE,TRUE
49,13.4,11.841,12.366,12,49.607,2018,0,177,56,FALSE,TRUE
50,13.133,13.066,10.7,12.6,49.499,2018,0,83,26,FALSE,TRUE
51,14,12.9,10.733,11.866,49.499,2018,0,286,80,FALSE,TRUE
52,13.466,12.366,10.8,12.766,49.398,2018,0,100,33,FALSE,TRUE
53,13.366,12.366,11.533,12.1,49.365,2018,0,355,64,FALSE,TRUE
54,13.333,11.766,12,12.2,49.299,2018,0,98,20,FALSE,TRUE
55,13.133,12.2,11.766,12.2,49.299,2018,0,311,13,FALSE,TRUE
56,13.466,11.7,11.466,12.666,49.298,2018,0,340,74,FALSE,TRUE
57,13.433,10.6,12.7,12.533,49.266,2018,0,291,34,FALSE,TRUE
58,13.233,12.133,12.6,11.3,49.266,2018,0,151,68,FALSE,TRUE
59,13.133,12.466,11.933,11.666,49.198,2018,0,66,61,FALSE,TRUE
60,13.1,11.533,12,12.533,49.166,2018,0,338,73,FALSE,TRUE
61,11.5,11.633,13.1,12.833,49.066,2018,0,246,56,FALSE,TRUE
62,12.8,12.433,11.8,12.033,49.066,2018,0,201,68,FALSE,TRUE
63,13.366,11.533,12.233,11.9,49.032,2018,0,226,24,FALSE,TRUE
64,13.6,12.466,11.133,11.733,48.932,2018,0,352,74,FALSE,TRUE
65,13.1,12.133,13.133,10.5,48.866,2018,0,57,1,FALSE,TRUE
66,12.733,11.833,13.466,10.833,48.865,2018,0,330,80,FALSE,TRUE
67,13.1,11.233,12.566,11.633,48.532,2018,0,185,64,FALSE,TRUE
68,12.566,11.7,11.966,12.133,48.365,2018,0,128,24,FALSE,TRUE
69,12.933,12.1,11.133,12.066,48.232,2018,0,147,7,FALSE,TRUE
70,12.808,10.633,12.733,12.033,48.207,2018,0,242,5,FALSE,TRUE
71,13.333,10.766,12.033,12.066,48.198,2018,0,88,40,FALSE,TRUE
72,11.966,12.766,11.033,12.433,48.198,2018,0,274,33,FALSE,TRUE
73,13.4,11.266,11.966,11.466,48.098,2018,0,172,51,FALSE,TRUE
74,12.8,11.9,11.166,11.8,47.666,2018,0,103,44,FALSE,TRUE
75,13.5,12.066,10.266,11.8,47.632,2018,0,42,74,FALSE,TRUE
76,13.2,12.1,10.4,11.766,47.466,2018,0,166,4,FALSE,TRUE
77,12.566,11.8,11.6,11.5,47.466,2018,0,129,24,FALSE,TRUE
78,13.566,10.966,11.533,11.4,47.465,2018,0,90,15,FALSE,TRUE
