Rank,Name,nation,D Score,E Score,Pen.,Total,year,round
52.0,Jana ABDELSALAM,EGY,4.8,8.0,0.0,12.8,2022,qual
29.0,Jana ABDELSALAM,EGY,4.5,6.266,0.0,10.766,2023,qual
21.0,Jana ABDELSALAM,EGY,3.8,5.533,0.0,9.333,2023,qual
45.0,Ayesha ABDULLAHI,GBR,3.5,6.7,0.0,10.2,2022,qual
39.0,Kumudi Imanya ABEYRATNE,SRI,1.2,4.3,0.0,5.5,2022,qual
113.0,Jana ABOELHASAN,EGY,4.4,6.5,0.0,10.9,2022,qual
51.0,Ondine ACHAMPONG,GBR,5.8,7.033,0.0,12.833,2022,qual
5.0,Ondine ACHAMPONG,GBR,5.6,7.3,0.0,12.9,2022,final
7.0,Ondine ACHAMPONG,GBR,5.6,7.5,0.0,13.1,2022,qual
43.0,Ondine ACHAMPONG,GBR,5.8,6.433,0.0,12.233,2022,qual
24.0,Ondine ACHAMPONG,GBR,5.6,6.833,0.0,12.433,2022,TeamFinal
5.0,Ondine ACHAMPONG,GBR,5.8,8.3,0.0,14.1,2023,final
2.0,Ondine ACHAMPONG,GBR,5.7,8.0,0.0,13.7,2023,qual
3.0,Ondine ACHAMPONG,ENG,6.0,7.25,0.0,13.25,2022,AAfinal
4.0,Ondine ACHAMPONG,ENG,6.0,7.433,0.0,13.433,2022,final
2.0,Ondine ACHAMPONG,ENG,6.1,7.65,0.0,13.75,2022,qual
108.0,Thelma ADALSTEINSDOTTIR,ISL,4.2,6.833,0.0,11.033,2022,qual
57.0,Thelma ADALSTEINSDOTTIR,ISL,4.1,7.633,0.0,11.733,2022,qual
54.0,Thelma ADALSTEINSDOTTIR,ISL,4.3,7.933,0.0,12.233,2023,qual
24.0,Jess ADAMSON,GBR,3.7,7.6,0.0,11.3,2022,qual
35.0,Mei AMORELLI,GBR,3.4,6.5,0.0,9.9,2023,qual
28.0,Lobar AMRILLAEVA,UZB,3.6,6.3,0.0,9.9,2023,qual
16.0,Lobar AMRILLAEVA,UZB,4.3,6.133,0.0,10.433,2023,qual
111.0,Anastasija ANANJEVA,LAT,2.7,5.933,0.0,8.633,2022,qual
103.0,Anastasija ANANJEVA,LAT,3.4,6.7,0.0,10.1,2023,qual
5.0,Rebeca ANDRADE,BRA,6.2,7.6,0.0,13.8,2022,AAfinal
8.0,Rebeca ANDRADE,BRA,5.7,7.1,0.0,12.8,2022,final
3.0,Rebeca ANDRADE,BRA,6.1,8.566,0.0,14.666,2022,qual
35.0,Minea Aino Maija ANTILA,FIN,2.4,7.9,0.0,10.3,2023,qual
41.0,Misella Alli Helena ANTILA,FIN,4.2,5.733,0.5,9.433,2023,qual
19.0,Shannon ARCHER,GBR,4.6,7.05,0.0,11.65,2022,qual
12.0,Shannon ARCHER,SCO,5.0,6.4,0.0,11.4,2022,AAfinal
8.0,Shannon ARCHER,SCO,4.8,7.566,0.0,12.366,2022,final
11.0,Shannon ARCHER,SCO,4.8,7.45,0.0,12.25,2022,qual
135.0,Dildora ARIPOVA,UZB,4.6,5.333,0.0,9.933,2022,qual
8.0,Dildora ARIPOVA,UZB,4.9,7.2,0.0,12.1,2023,final
8.0,Dildora ARIPOVA,UZB,5.0,7.5,0.0,12.5,2023,qual
22.0,Dildora ARIPOVA,UZB,5.0,5.7,0.0,10.7,2023,qual
22.0,Dildora ARIPOVA,UZB,4.5,3.866,0.5,7.866,2023,qual
28.0,Valeria ARRAIZ,VEN,4.1,5.7,0.0,9.8,2023,qual
68.0,Sona ARTAMONOVA,CZE,3.8,7.766,0.0,11.566,2023,qual
43.0,Amelie ATTWOOD,GBR,3.2,7.0,0.0,10.2,2022,qual
28.0,Nada AWAD,EGY,4.5,6.3,0.0,10.8,2023,qual
6.0,Jana Abdelsalam,EGY,4.6,6.266,0.0,10.866,2022,final
7.0,Jana Abdelsalam,EGY,4.6,6.633,0.0,11.233,2022,qual
11.0,Ciena Alipio,USA,4.6,8.3,0.0,12.9,2022,AAfinal
5.0,Caleigh Anders,RSA,4.7,7.1,0.0,11.8,2023,final
5.0,Caleigh Anders,RSA,4.7,7.167,0.0,11.867,2023,qual
13.0,Dildora Aripova,UZB,4.6,7.566,0.0,12.166,2022,qual
8.0,Dildora Aripova,UZB,4.6,5.866,0.0,10.466,2022,final
6.0,Dildora Aripova,UZB,4.8,6.533,0.0,11.333,2022,qual
111.0,Tatiana BACHURINA,CYP,4.4,6.533,0.0,10.933,2022,qual
79.0,Tatiana BACHURINA,CYP,4.5,6.5,0.0,11.0,2022,qual
15.0,Tatiana BACHURINA,CYP,4.5,6.4,0.0,10.9,2022,AAfinal
21.0,Tatiana BACHURINA,CYP,4.5,7.1,0.0,11.6,2022,qual
76.0,Csenge Maria BACSKAY,HUN,5.1,7.133,0.0,12.233,2022,qual
44.0,Sacha BAILEY,GBR,3.3,6.9,0.0,10.2,2022,qual
39.0,Sacha BAILEY,GBR,3.3,6.15,0.0,9.45,2023,qual
30.0,Shannon BAKER,GBR,3.9,7.0,0.0,10.9,2022,qual
38.0,Shannon BAKER,GBR,4.2,5.3,0.0,9.5,2023,qual
76.0,Adela BALCOVA,SVK,3.5,7.6,0.0,11.1,2022,qual
98.0,Adela BALCOVA,SVK,3.5,6.733,0.0,10.233,2023,qual
25.0,Gabriela BARBOSA,BRA,4.8,7.45,0.0,12.25,2023,qual
21.0,Ana BARBOSU,ROU,5.9,6.866,0.0,12.766,2022,AAfinal
27.0,Ana BARBOSU,ROU,5.9,7.533,0.0,13.433,2022,qual
12.0,Ana BARBOSU,ROU,5.9,7.6,0.0,13.5,2022,qual
11.0,Ana BARBOSU,ROU,6.0,7.133,0.0,13.133,2023,AAfinal
13.0,Ana BARBOSU,ROU,6.2,7.4,0.0,13.6,2023,qual
97.0,Aida BAUYRZHANOVA,KAZ,4.2,7.4,0.0,11.6,2022,qual
24.0,Aida BAUYRZHANOVA,KAZ,4.5,6.7,0.0,11.2,2023,qual
26.0,Aida BAUYRZHANOVA,KAZ,4.2,6.833,0.0,11.033,2023,qual
13.0,Aida BAUYRZHANOVA,KAZ,4.3,6.8,0.0,11.1,2023,qual
10.0,Arianna BELARDELLI,ITA,5.1,7.733,0.0,12.833,2023,qual
42.0,Ellie BELBIN,GBR,4.1,5.15,0.0,9.25,2023,qual
75.0,Cecilie BERGHOLT,DEN,3.4,7.9,0.0,11.3,2023,qual
49.0,Zadie BERKIN EVANS,GBR,2.4,7.35,0.0,9.75,2022,qual
43.0,Tamsyn Sanchez BESSIT,RSA,4.5,4.4,0.0,8.9,2023,qual
77.0,Lena BICKEL,SUI,4.7,6.533,0.0,11.233,2023,qual
108.0,Ula BIKINAITE,LTU,3.6,5.8,0.3,9.1,2022,qual
87.0,Ula BIKINAITE,LTU,3.5,7.3,0.0,10.8,2023,qual
74.0,Ceren BINER,TUR,4.8,6.533,0.0,11.333,2023,qual
3.0,Elsabeth BLACK,CAN,5.7,8.233,0.0,13.933,2022,AAfinal
20.0,Elsabeth BLACK,CAN,5.7,8.233,0.0,13.933,2022,qual
63.0,Skye BLAKELY,USA,5.5,7.066,0.0,12.566,2022,qual
143.0,Ella BORG,MLT,2.2,6.2,0.0,8.4,2022,qual
106.0,Ella BORG,MLT,3.4,6.0,0.0,9.4,2022,qual
113.0,Ella BORG,MLT,3.3,5.4,0.0,8.7,2023,qual
26.0,Isabella BOTTGER,GBR,4.0,6.95,0.0,10.95,2023,qual
126.0,Fatma Zohra BOUKHATEM,ALG,3.0,7.566,0.0,10.566,2022,qual
52.0,Marine BOYER,FRA,4.8,8.0,0.0,12.8,2022,qual
43.0,Marine BOYER,FRA,4.8,7.7,0.0,12.5,2023,qual
56.0,Jacinta BRACKLEY,GBR,3.3,5.8,0.0,9.1,2022,qual
6.0,Maellyse BRASSART,BEL,5.7,8.066,0.0,13.766,2022,AAfinal
62.0,Maellyse BRASSART,BEL,5.5,7.166,0.0,12.666,2022,qual
17.0,Maellyse BRASSART,BEL,5.0,8.133,0.0,13.133,2022,qual
16.0,Maellyse BRASSART,BEL,5.0,8.133,0.0,13.133,2022,TeamFinal
6.0,Maellyse BRASSART,BEL,5.6,8.066,0.0,13.666,2023,AAfinal
38.0,Maellyse BRASSART,BEL,5.4,7.233,0.0,12.633,2023,qual
9.0,Maellyse BRASSART,BEL,5.6,7.95,0.0,13.55,2023,qual
25.0,Emily BREMNER,GBR,4.1,7.15,0.0,11.25,2022,qual
22.0,Emily BREMNER,SCO,4.1,7.45,0.0,11.55,2022,qual
48.0,Anna BRIDGE,GBR,3.6,6.2,0.0,9.8,2022,qual
62.0,Megan BRIDGE,GBR,3.6,4.15,0.0,7.75,2022,qual
27.0,Valentina BROSTELLA,PAN,2.9,6.9,0.0,9.8,2023,qual
30.0,Georgia Rose BROWN,AUS,5.7,7.7,0.0,13.4,2022,qual
4.0,Georgia Rose BROWN,AUS,5.7,7.933,0.0,13.633,2023,final
5.0,Georgia Rose BROWN,AUS,5.7,7.8,0.0,13.5,2023,qual
5.0,Georgia Rose BROWN,AUS,5.7,6.766,0.0,12.466,2023,final
6.0,Georgia Rose BROWN,AUS,5.5,7.033,0.0,12.533,2023,qual
