Rank,D,E,ND,Total,D2,E2,ND2,Total2,Average,year,medal,Name,Nation,round_2015,round_final
1.0,5.6,8.733,0.0,14.333,5.8,8.433,0.0,14.233,14.283,2018.0,0,45,6,False,True
2.0,5.4,9.133,0.0,14.533,5.2,8.9,-0.1,14.0,14.267,2018.0,0,4,31,False,True
3.0,5.4,9.233,0.0,14.633,4.8,9.0,0.0,13.8,14.217,2018.0,0,25,31,False,True
4.0,5.4,9.067,0.0,14.467,4.8,8.867,0.0,13.667,14.067,2018.0,0,17,30,False,True
5.0,5.4,9.267,0.0,14.667,4.6,8.767,0.0,13.367,14.017,2018.0,0,33,34,False,True
6.0,5.0,9.367,0.0,14.367,4.2,9.333,0.0,13.533,13.95,2018.0,0,18,18,False,True
7.0,4.6,9.0,0.0,13.6,4.0,9.067,0.0,13.067,13.334,2018.0,0,65,18,False,True
1.0,5.8,8.666,0.0,14.466,5.4,8.666,0.0,14.066,14.266,2019.0,1,79,20,False,True
2.0,5.4,8.9,0.0,14.3,5.2,8.9,0.0,14.1,14.2,2019.0,0,56,35,False,True
3.0,5.4,8.833,0.0,14.233,5.2,8.733,0.0,13.933,14.083,2019.0,0,81,6,False,True
4.0,5.8,8.633,0.0,14.433,4.8,8.9,0.0,13.7,14.066,2019.0,0,0,23,False,True
5.0,5.4,8.7,0.0,14.1,4.8,8.766,0.0,13.566,13.833,2019.0,0,8,19,False,True
6.0,4.8,8.833,0.0,13.633,5.0,9.033,0.0,14.033,13.833,2019.0,0,73,32,False,True
7.0,4.8,8.766,0.0,13.566,4.8,8.7,0.0,13.5,13.533,2019.0,0,57,29,False,True
8.0,5.4,7.758,-0.3,12.858,4.8,8.366,-0.1,13.066,12.962,2019.0,0,7,19,False,True
1.0,5.4,8.95,0.0,14.35,4.8,8.95,0.0,13.75,14.05,2020.0,0,82,37,False,True
2.0,5.4,8.8,0.0,14.2,4.8,8.75,0.0,13.55,13.875,2020.0,0,42,37,False,True
3.0,5.4,8.85,0.0,14.25,4.8,8.65,0.0,13.45,13.85,2020.0,0,3,37,False,True
4.0,5.0,8.7,0.0,13.7,4.8,8.8,0.0,13.6,13.65,2020.0,0,15,37,False,True
