Rank,Athlete,Nation,D,E,ND,Total,D2,E2,ND2,Total2,Average,year,round
1.0,Liu Jinru,CHN,5.6,8.733,0.0,14.333,5.8,8.433,0.0,14.233,14.283,2018.0,final
2.0,Angelina Melnikova,RUS,5.4,9.133,0.0,14.533,5.2,8.9,-0.1,14.0,14.267,2018.0,final
3.0,Eleonora Afanasyeva,RUS,5.4,9.233,0.0,14.633,4.8,9.0,0.0,13.8,14.217,2018.0,final
4.0,Denisa Golgota,ROU,5.4,9.067,0.0,14.467,4.8,8.867,0.0,13.667,14.067,2018.0,final
5.0,Grace McCallum,USA,5.4,9.267,0.0,14.667,4.6,8.767,0.0,13.367,14.017,2018.0,final
6.0,Desiree Carofiglio,ITA,5.0,9.367,0.0,14.367,4.2,9.333,0.0,13.533,13.95,2018.0,final
7.0,Sara Ricciardi,ITA,4.6,9.0,0.0,13.6,4.0,9.067,0.0,13.067,13.334,2018.0,final
1.0,Yeo Seo-jeong,KOR,5.8,8.666,0.0,14.466,5.4,8.666,0.0,14.066,14.266,2019.0,final
2.0,Oksana Chusovitina,UZB,5.4,8.9,0.0,14.3,5.2,8.9,0.0,14.1,14.2,2019.0,final
3.0,Yu Linmin,CHN,5.4,8.833,0.0,14.233,5.2,8.733,0.0,13.933,14.083,2019.0,final
4.0,Alexa Moreno,MEX,5.8,8.633,0.0,14.433,4.8,8.9,0.0,13.7,14.066,2019.0,final
5.0,Ayaka Sakaguchi,JPN,5.4,8.7,0.0,14.1,4.8,8.766,0.0,13.566,13.833,2019.0,final
6.0,Tjasa Kysselef,SLO,4.8,8.833,0.0,13.633,5.0,9.033,0.0,14.033,13.833,2019.0,final
7.0,Paula Mejias,PUR,4.8,8.766,0.0,13.566,4.8,8.7,0.0,13.5,13.533,2019.0,final
8.0,Asuka Ogawa,JPN,5.4,7.758,-0.3,12.858,4.8,8.366,-0.1,13.066,12.962,2019.0,final
1.0,Oksana Chusovitina,UZB,5.8,9.15,0.0,14.95,5.5,9.325,0.0,14.825,14.887,2013.0,final
2.0,Noel van Klaveren,NED,5.3,9.325,0.0,14.625,5.2,8.975,0.0,14.175,14.4,2013.0,final
3.0,Maegan Chant,CAN,5.2,9.25,0.0,14.45,5.4,8.75,-0.3,13.85,14.15,2013.0,final
4.0,Hiu Ying Angel Wong,HKG,5.2,8.775,0.0,13.975,5.0,8.825,0.0,13.825,13.9,2013.0,final
4.0,Makarena Pinto,CHI,5.2,8.6,-0.3,13.5,5.4,8.9,0.0,14.3,13.9,2013.0,final
6.0,Chantysha Netteb,NED,5.3,7.9,0.0,13.2,5.2,9.05,0.0,14.25,13.725,2013.0,final
7.0,Ofir Netzer,ISR,4.6,8.75,0.0,13.35,5.3,8.825,-0.1,14.025,13.687,2013.0,final
8.0,Paula Mejias,PUR,4.3,7.525,0.0,11.825,5.3,8.225,-0.3,13.255,12.525,2013.0,final
1.0,Larisa Iordache,ROU,5.8,8.775,0.0,14.575,5.2,8.9,0.0,14.1,14.337,2014.0,final
2.0,Teja Belak,SLO,5.3,8.8,0.0,14.1,5.3,8.8,0.0,14.1,14.1,2014.0,final
3.0,Hiu Ying Angel Wong,HKG,5.2,8.675,0.0,13.875,5.0,8.75,0.0,13.75,13.812,2014.0,final
4.0,Courtney McGregor,NZL,5.8,8.475,-0.3,13.975,4.8,8.65,0.0,13.45,13.712,2014.0,final
5.0,Valerija Grisane,LAT,5.2,8.75,-0.1,13.85,5.0,8.5,0.0,13.5,13.675,2014.0,final
6.0,Dorina Böczögö,HUN,5.0,8.95,0.0,13.95,4.4,8.825,0.0,13.225,13.587,2014.0,final
7.0,Do Thi Van Anh,VIE,5.0,8.625,-0.3,13.325,5.0,8.425,-0.1,13.325,13.325,2014.0,final
8.0,Tjasa Kysselef,SLO,4.6,8.5,0.0,13.1,4.8,8.625,0.0,13.425,13.262,2014.0,final
1.0,Shallon Olsen,CAN,5.8,9.15,0.0,14.95,5.9,8.65,0.0,14.55,14.75,2016.0,final
2.0,Brittany Rogers,CAN,5.8,8.525,0.0,14.325,5.6,8.95,0.0,14.55,14.437,2016.0,final
3.0,Courtney McGregor,NZL,5.8,8.725,0.0,14.525,5.2,8.775,0.0,13.975,14.25,2016.0,final
4.0,Mariana Vazquez,MEX,5.2,8.775,0.0,13.975,4.8,8.9,0.0,13.7,13.837,2016.0,final
5.0,Valentina Brostella,PAN,4.7,8.475,0.0,13.175,4.6,8.4,-0.1,12.9,13.037,2016.0,final
6.0,Sau Chung Kwan,HKG,4.4,8.55,0.0,12.95,4.3,8.7,0.0,13.0,12.975,2016.0,final
7.0,Emily Little,AUS,5.0,8.9,-0.1,13.8,5.2,8.825,-2.0,12.025,12.912,2016.0,final
8.0,Tsz Sum Chan,HKG,4.6,7.925,0.0,12.525,4.6,8.425,0.0,13.025,12.775,2016.0,final
1.0,Claudia Fragapane,GBR,5.8,8.9,0.0,14.7,5.2,8.8,0.0,14.0,14.35,2015.0,final
2.0,Kelly Simm,GBR,5.6,8.9,0.0,14.5,5.0,8.85,0.0,13.85,14.175,2015.0,final
2.0,Ellie Downie,GBR,5.0,9.15,0.0,14.15,5.2,9.0,0.0,14.2,14.175,2015.0,final
4.0,Lisa Mason,GBR,5.3,7.35,-0.3,12.35,5.0,8.0,-0.1,12.9,12.625,2015.0,final
1.0,Simone Biles,USA,6.3,9.6,0.0,15.9,5.6,9.55,0.0,15.15,15.525,2015.0,final
2.0,Arianna Rocca,ITA,5.8,9.1,0.0,14.9,5.0,9.1,0.0,14.1,14.5,2015.0,final
3.0,Ellie Black,CAN,5.5,8.6,0.0,14.1,5.4,8.9,0.0,14.3,14.2,2015.0,final
4.0,Camille Bahl,FRA,5.8,8.85,-0.1,14.55,4.6,8.8,0.0,13.4,13.975,2015.0,final
5.0,Helody Cyrenne,FRA,5.0,8.85,0.0,13.85,4.6,8.7,0.0,13.3,13.575,2015.0,final
1.0,Zsófia Kóvacs,eu,5.4,8.95,0.0,14.35,4.8,8.95,0.0,13.75,14.05,2020.0,final
2.0,Larisa Iordache,eu,5.4,8.8,0.0,14.2,4.8,8.75,0.0,13.55,13.875,2020.0,final
