LastName,FirstName,Gender,Country,Date,Competition,Round,Location,Apparatus,Rank,D_Score,E_Score,Penalty,Score
ABDUL,HADI,w,MAS,SUN 25 JUL 2021,Olympic Games,AAqual,"Tokyo, Japan",BB,76,4.8,6.766,,11.566
ABDUL,HADI,w,MAS,SUN 25 JUL 2021,Olympic Games,AAqual,"Tokyo, Japan",FX,64,4.6,7.633,,12.233
ABDUL,HADI,w,MAS,SUN 25 JUL 2021,Olympic Games,AAqual,"Tokyo, Japan",UE,74,5.1,6.5,,11.6
ABDUL,HADI,w,MAS,SUN 25 JUL 2021,Olympic Games,AAqual,"Tokyo, Japan",VT,72,4.6,8.566,,13.166
ABDUL HADI,Farah Ann,w,MAS,25 July 2021,Olympic Games,qual,"Tokyo, Japan",BB,76,4.8,6.766,,11.566
ABDUL HADI,Farah Ann,w,MAS,25 July 2021,Olympic Games,qual,"Tokyo, Japan",FX,64,4.6,7.633,,12.233
ABDUL HADI,Farah Ann,w,MAS,25 July 2021,Olympic Games,qual,"Tokyo, Japan",UE,74,5.1,6.5,,11.6
ADLERTEG,Jonna,w,SWE,25 July 2021,Olympic Games,qual,"Tokyo, Japan",UE,12,6.3,8.233,,14.533
AKHAIMOVA,Liliia,w,ROC,SUN 25 JUL 2021,Olympic Games,AAqual,"Tokyo, Japan",BB,59,5.1,7.166,,12.266
AKHAIMOVA,Liliia,w,ROC,25 July 2021,Olympic Games,qual,"Tokyo, Japan",BB,59,5.1,7.166,,12.266
AKHAIMOVA,Liliia,w,ROC,25 July 2021,Olympic Games,TeamQual,"Tokyo, Japan",BB,,5.1,7.166,,12.266
AKHAIMOVA,Liliia,w,ROC,SUN 25 JUL 2021,Olympic Games,AAqual,"Tokyo, Japan",FX,11,5.8,7.833,,13.633
AKHAIMOVA,Liliia,w,ROC,25 July 2021,Olympic Games,qual,"Tokyo, Japan",FX,11,5.8,7.833,,13.633
AKHAIMOVA,Liliia,w,ROC,25 July 2021,Olympic Games,TeamQual,"Tokyo, Japan",FX,,5.8,7.833,,13.633
AKHAIMOVA,Liliia,w,ROC,25 July 2021,Olympic Games,TeamQual,"Tokyo, Japan",UB,,5.4,7.5,,12.9
AKHAIMOVA,Liliia,w,ROC,SUN 25 JUL 2021,Olympic Games,AAqual,"Tokyo, Japan",UE,49,5.4,7.5,,12.9
AKHAIMOVA,Liliia,w,ROC,25 July 2021,Olympic Games,qual,"Tokyo, Japan",UE,49,5.4,7.5,,12.9
AKHAIMOVA,Liliia,w,ROC,SUN 25 JUL 2021,Olympic Games,AAqual,"Tokyo, Japan",VT,10,5.8,8.966,,14.766
AKHAIMOVA,Liliia,w,ROC,25 July 2021,Olympic Games,TeamQual,"Tokyo, Japan",VT,,5.8,8.966,,14.766
AKHAIMOVA,Liliia,w,ROC,1 Aug 2021,Olympic Games,TeamFinal,"Tokyo, Japan",VT,,5.8,8.933,,14.733
AKHAIMOVA,Liliia,w,ROC,25 July 2021,Olympic Games,qual,"Tokyo, Japan",VT1,7,5.8,8.966,,14.766
AKHAIMOVA,Liliia,w,ROC,1 Aug 2021,Olympic Games,final,"Tokyo, Japan",VT1,6,5.8,8.866,0.1,14.666
AKHAIMOVA,Liliia,w,ROC,25 July 2021,Olympic Games,qual,"Tokyo, Japan",VT2,7,5.6,9.033,,14.633
AKHAIMOVA,Liliia,w,ROC,1 Aug 2021,Olympic Games,final,"Tokyo, Japan",VT2,6,5.6,9.066,,14.666
ALVARADO,Luciana,w,CRC,SUN 25 JUL 2021,Olympic Games,AAqual,"Tokyo, Japan",BB,37,5.3,7.666,,12.966
ALVARADO,Luciana,w,CRC,25 July 2021,Olympic Games,qual,"Tokyo, Japan",BB,37,5.3,7.666,,12.966
ALVARADO,Luciana,w,CRC,SUN 25 JUL 2021,Olympic Games,AAqual,"Tokyo, Japan",FX,66,4.7,7.466,,12.166
ALVARADO,Luciana,w,CRC,25 July 2021,Olympic Games,qual,"Tokyo, Japan",FX,66,4.7,7.466,,12.166
ALVARADO,Luciana,w,CRC,SUN 25 JUL 2021,Olympic Games,AAqual,"Tokyo, Japan",UE,55,4.9,7.841,,12.741
ALVARADO,Luciana,w,CRC,25 July 2021,Olympic Games,qual,"Tokyo, Japan",UE,55,4.9,7.841,,12.741
ALVARADO,Luciana,w,CRC,SUN 25 JUL 2021,Olympic Games,AAqual,"Tokyo, Japan",VT,59,4.6,8.833,,13.433
ANDRADE,Rebeca,w,BRA,THU 29 JUL 2021,Olympic Games,AAfinal,"Tokyo, Japan",BB,5,5.7,7.966,,13.666
ANDRADE,Rebeca,w,BRA,SUN 25 JUL 2021,Olympic Games,AAqual,"Tokyo, Japan",BB,18,5.8,7.933,,13.733
ANDRADE,Rebeca,w,BRA,25 July 2021,Olympic Games,qual,"Tokyo, Japan",BB,18,5.8,7.933,,13.733
ANDRADE,Rebeca,w,BRA,THU 29 JUL 2021,Olympic Games,AAfinal,"Tokyo, Japan",FX,7,5.9,8.166,0.4,13.666
ANDRADE,Rebeca,w,BRA,SUN 25 JUL 2021,Olympic Games,AAqual,"Tokyo, Japan",FX,4,5.7,8.366,,14.066
ANDRADE,Rebeca,w,BRA,25 July 2021,Olympic Games,qual,"Tokyo, Japan",FX,4,5.7,8.366,,14.066
ANDRADE,Rebeca,w,BRA,1 Aug 2021,Olympic Games,final,"Tokyo, Japan",FX,5,5.9,8.233,0.1,14.03
ANDRADE,Rebeca,w,BRA,THU 29 JUL 2021,Olympic Games,AAfinal,"Tokyo, Japan",UE,5,6.3,8.366,,14.666
ANDRADE,Rebeca,w,BRA,SUN 25 JUL 2021,Olympic Games,AAqual,"Tokyo, Japan",UE,19,6,8.2,,14.2
ANDRADE,Rebeca,w,BRA,25 July 2021,Olympic Games,qual,"Tokyo, Japan",UE,19,6,8.2,,14.2
ANDRADE,Rebeca,w,BRA,THU 29 JUL 2021,Olympic Games,AAfinal,"Tokyo, Japan",VT,1,6,9.4,0.1,15.3
ANDRADE,Rebeca,w,BRA,SUN 25 JUL 2021,Olympic Games,AAqual,"Tokyo, Japan",VT,1,6,9.4,,15.4
ANDRADE,Rebeca,w,BRA,25 July 2021,Olympic Games,qual,"Tokyo, Japan",VT1,3,6,9.4,,15.4
ANDRADE,Rebeca,w,BRA,1 Aug 2021,Olympic Games,final,"Tokyo, Japan",VT1,1,6,9.266,0.1,15.166
ANDRADE,Rebeca,w,BRA,25 July 2021,Olympic Games,qual,"Tokyo, Japan",VT2,3,5.4,9.4,,14.8
ANDRADE,Rebeca,w,BRA,1 Aug 2021,Olympic Games,final,"Tokyo, Japan",VT2,1,5.8,9.2,0.1,15
ASHIKAWA,Urara,w,JPN,25 July 2021,Olympic Games,qual,"Tokyo, Japan",BB,12,5.9,8,,13.9
ASHIKAWA,Urara,w,JPN,1 Aug 2021,Olympic Games,final,"Tokyo, Japan",BB,6,5.9,7.833,,13.73
ASHIKAWA,Urara,w,JPN,25 July 2021,Olympic Games,qual,"Tokyo, Japan",FX,85,3.9,6.333,,
ASHIKAWA,Urara,w,JPN,25 July 2021,Olympic Games,qual,"Tokyo, Japan",UE,88,0.5,9.033,6.5,
