Rank,D Score,E Score,Pen.,Total,year,Name,nation,round_AAfinal,round_TeamFinal,round_final,round_qual
39.0,4.6,6.7,0.0,11.3,2023,150,57,False,False,False,True
44.0,4.6,8.166,0.0,12.766,2023,151,57,False,False,False,True
10.0,5.3,8.133,0.0,13.433,2022,353,26,True,False,False,False
48.0,5.0,8.166,0.0,13.166,2022,353,26,False,False,False,True
10.0,5.3,8.5,0.0,13.8,2022,353,26,False,False,False,True
10.0,5.3,8.1,0.0,13.4,2022,353,26,False,True,False,False
9.0,5.3,8.1,0.0,13.4,2023,353,26,True,False,False,False
4.0,5.3,8.366,0.0,13.666,2023,353,26,False,False,True,False
5.0,5.3,8.433,0.0,13.733,2023,353,26,False,False,False,True
24.0,5.1,5.1,0.3,9.9,2022,506,42,True,False,False,False
27.0,5.6,8.0,0.0,13.6,2022,506,42,False,False,False,True
11.0,5.6,8.2,0.0,13.8,2022,506,42,False,False,False,True
6.0,5.6,8.166,0.0,13.766,2022,506,42,False,True,False,False
4.0,5.3,8.166,0.0,13.466,2023,506,42,True,False,False,False
90.0,5.3,6.833,0.0,12.133,2023,506,42,False,False,False,True
10.0,5.3,8.233,0.0,13.533,2023,506,42,False,False,False,True
68.0,4.6,8.166,0.0,12.766,2022,0,23,False,False,False,True
61.0,4.4,8.566,0.0,12.966,2022,11,23,False,False,False,True
39.0,4.6,8.666,0.0,13.266,2022,403,80,False,False,False,True
8.0,4.3,8.0,0.0,12.3,2023,403,80,False,False,True,False
5.0,4.6,8.75,0.0,13.35,2023,403,80,False,False,False,True
27.0,4.5,8.033,0.0,12.533,2023,403,80,False,False,False,True
101.0,3.8,7.266,0.0,11.066,2022,430,32,False,False,False,True
26.0,4.9,6.733,0.0,11.633,2023,373,36,False,False,False,True
10.0,4.2,7.95,0.0,12.15,2023,145,16,True,False,False,False
7.0,4.2,7.65,0.0,11.85,2023,145,16,False,False,True,False
8.0,4.2,8.0,0.0,12.2,2023,145,16,False,False,False,True
34.0,2.8,7.35,0.0,10.15,2022,258,12,False,False,False,True
77.0,4.6,8.033,0.0,12.633,2022,345,23,False,False,False,True
35.0,4.2,7.266,0.0,11.466,2023,345,23,False,False,False,True
35.0,1.8,5.15,4.0,2.95,2022,447,6,False,False,False,True
119.0,4.8,6.866,0.0,11.666,2022,129,46,False,False,False,True
16.0,4.8,7.65,0.0,12.45,2023,129,46,False,False,False,True
63.0,5.2,7.766,0.0,12.966,2022,502,10,False,False,False,True
17.0,5.2,8.433,0.0,13.633,2022,502,10,False,False,False,True
46.0,5.1,7.766,0.0,12.866,2023,502,10,False,False,False,True
2.0,5.3,8.433,0.0,13.733,2023,502,10,False,False,True,False
1.0,5.3,8.45,0.0,13.75,2023,502,10,False,False,False,True
18.0,4.6,8.233,0.0,12.833,2023,13,0,False,False,False,True
57.0,3.9,8.766,0.0,12.666,2022,142,63,False,False,False,True
90.0,5.0,7.366,0.0,12.366,2022,227,13,False,False,False,True
55.0,4.9,8.166,0.0,13.066,2022,159,19,False,False,False,True
39.0,4.8,8.433,0.0,13.233,2022,159,19,False,False,False,True
35.0,5.1,8.0,0.0,13.1,2023,159,19,False,False,False,True
70.0,4.8,7.633,0.0,12.433,2023,159,19,False,False,False,True
9.0,4.6,8.35,0.0,12.95,2023,159,19,True,False,False,False
12.0,4.6,8.65,0.0,13.25,2022,159,19,False,False,False,True
26.0,4.2,6.6,0.0,10.8,2023,500,81,False,False,False,True
14.0,3.9,8.0,0.0,11.9,2023,337,64,False,False,False,True
64.0,4.4,8.533,0.0,12.933,2022,140,77,False,False,False,True
43.0,4.7,8.433,0.0,13.133,2022,140,77,False,False,False,True
19.0,4.7,8.0,0.0,12.7,2022,140,77,False,True,False,False
47.0,4.4,8.433,0.0,12.833,2023,140,77,False,False,False,True
26.0,4.4,8.55,0.0,12.95,2023,140,77,False,False,False,True
95.0,3.8,7.833,0.0,11.633,2022,305,4,False,False,False,True
28.0,5.0,8.566,0.0,13.566,2022,5,77,False,False,False,True
60.0,4.7,7.933,0.0,12.633,2022,5,77,False,False,False,True
3.0,5.4,8.5,0.0,13.9,2022,5,77,False,True,False,False
12.0,5.4,8.4,0.0,13.8,2023,5,77,False,False,False,True
5.0,4.7,8.733,0.0,13.433,2023,5,77,True,False,False,False
21.0,4.7,8.5,0.0,13.2,2023,5,77,False,False,False,True
14.0,5.0,8.5,0.0,13.5,2023,5,77,False,False,False,True
4.0,5.4,8.366,0.0,13.766,2023,5,77,False,False,True,False
