Rank,D Score,E Score,Pen.,Total,year,Name,nation,round_AAfinal,round_TeamFinal,round_final,round_qual
73.0,3.5,8.366,0.0,11.866,2023,161,57,False,False,False,True
12.0,5.3,7.933,0.0,13.233,2022,358,26,True,False,False,False
90.0,4.9,7.666,0.0,12.566,2022,358,26,False,False,False,True
23.0,5.3,8.366,0.0,13.666,2022,358,26,False,False,False,True
6.0,5.3,8.333,0.0,13.633,2022,358,26,False,True,False,False
17.0,5.3,8.466,0.0,13.766,2023,358,26,False,False,False,True
4.0,5.3,8.366,0.0,13.666,2023,358,26,True,False,False,False
13.0,4.7,8.466,0.0,13.166,2022,515,42,True,False,False,False
60.0,4.7,8.3,0.0,13.0,2022,515,42,False,False,False,True
13.0,5.0,8.366,0.0,13.366,2022,515,42,False,True,False,False
26.0,4.7,8.8,0.0,13.5,2023,515,42,False,False,False,True
10.0,4.7,8.566,0.0,13.266,2023,515,42,True,False,False,False
0.0,0.0,0.0,0.0,0.0,2022,13,23,False,False,False,True
46.0,4.8,5.133,0.0,9.933,2023,27,52,False,False,False,True
16.0,4.1,8.4,0.0,12.5,2023,410,82,False,False,False,True
55.0,4.7,8.333,0.0,13.033,2022,435,32,False,False,False,True
0.0,0.0,0.0,0.0,0.0,2023,435,32,False,False,False,True
10.0,4.0,7.8,0.0,11.8,2023,155,16,True,False,False,False
20.0,4.0,7.7,0.0,11.7,2023,155,16,False,False,False,True
33.0,3.2,7.1,0.3,10.0,2022,264,12,False,False,False,True
62.0,4.9,8.066,0.0,12.966,2022,350,23,False,False,False,True
26.0,4.9,7.9,0.0,12.8,2023,350,23,False,False,False,True
35.0,2.7,5.85,4.3,4.25,2022,353,59,False,False,False,True
8.0,6.0,7.766,0.0,13.76,2023,311,38,False,False,True,False
6.0,6.0,8.6,0.0,14.6,2023,311,38,False,False,False,True
2.0,6.0,8.5,0.0,14.5,2023,311,38,False,False,True,False
2.0,6.0,8.5,0.0,14.5,2023,311,38,False,False,False,True
