Rank,D Score,E Score,Pen.,Total,year,Name,nation,round_AAfinal,round_AAqual,round_TeamFinal,round_final,round_qual
69.0,4.0,8.966,0.0,12.966,2023,167,60,False,False,False,False,True
20.0,4.8,9.033,0.1,13.733,2022,373,26,True,False,False,False,False
97.0,4.8,9.0,0.3,13.5,2022,373,26,False,False,False,False,True
36.0,5.2,9.2,0.3,14.1,2022,373,26,False,False,False,False,True
22.0,5.2,7.9,0.1,13.0,2023,373,26,True,False,False,False,False
69.0,4.8,9.0,0.1,13.7,2023,373,26,False,False,False,False,True
18.0,4.8,9.066,0.0,13.866,2022,531,44,True,False,False,False,False
84.0,4.8,8.9,0.1,13.6,2022,531,44,False,False,False,False,True
18.0,4.8,8.866,0.1,13.566,2023,531,44,True,False,False,False,False
64.0,4.8,8.933,0.0,13.733,2023,531,44,False,False,False,False,True
0.0,0.0,0.0,0.0,0.0,2022,0,23,False,False,False,False,True
50.0,5.2,8.766,0.0,13.966,2022,13,23,False,False,False,False,True
17.0,5.6,7.833,0.0,13.433,2023,13,23,False,False,False,False,True
17.0,5.2,7.9,0.0,13.1,2023,13,23,False,False,False,False,True
0.0,5.2,8.166,0.0,13.366,2023,13,23,False,False,False,False,True
0.0,0.0,0.0,0.0,0.0,2023,13,23,False,False,False,False,True
96.0,5.2,7.966,0.3,12.866,2022,449,32,False,False,False,False,True
0.0,5.0,9.15,0.0,14.15,2023,396,24,False,True,False,False,False
14.0,4.0,9.0,0.0,13.0,2023,160,16,True,False,False,False,False
22.0,4.0,8.9,0.0,12.9,2023,160,16,False,False,False,False,True
0.0,2.8,8.8,0.0,11.6,2023,275,11,False,True,False,False,False
79.0,4.8,8.966,0.1,13.666,2022,361,23,False,False,False,False,True
18.0,2.4,7.8,0.0,10.2,2022,364,62,False,False,False,False,True
0.0,3.2,8.85,0.1,11.95,2023,468,6,False,True,False,False,False
17.0,2.4,8.95,0.0,11.35,2022,468,6,False,False,False,False,True
7.0,5.2,8.433,0.1,13.533,2022,366,54,False,False,False,True,False
7.0,5.2,8.7,0.0,13.9,2022,366,54,False,False,False,False,True
18.0,5.2,8.9,0.0,14.1,2023,366,54,False,False,False,False,True
18.0,5.2,8.2,0.0,13.4,2023,366,54,False,False,False,False,True
112.0,5.2,8.0,0.1,13.1,2022,137,48,False,False,False,False,True
5.0,5.2,7.933,0.1,13.033,2023,137,48,False,False,False,True,False
4.0,5.2,9.1,0.1,14.2,2023,137,48,False,False,False,False,True
5.0,5.2,8.966,0.0,14.166,2023,137,48,False,False,False,True,False
4.0,5.2,8.95,0.0,14.15,2023,137,48,False,False,False,False,True
109.0,4.8,8.5,0.1,13.2,2022,529,9,False,False,False,False,True
59.0,4.8,9.033,0.0,13.833,2022,529,9,False,False,False,False,True
71.0,4.8,8.9,0.0,13.7,2023,529,9,False,False,False,False,True
87.0,5.2,7.966,0.1,13.066,2022,157,67,False,False,False,False,True
73.0,4.8,8.9,0.0,13.7,2022,246,13,False,False,False,False,True
59.0,4.8,9.066,0.0,13.866,2022,177,19,False,False,False,False,True
81.0,4.8,8.7,0.3,13.2,2022,177,19,False,False,False,False,True
31.0,4.8,9.033,0.0,13.83,2023,177,19,False,False,False,False,True
10.0,4.8,8.9,0.0,13.7,2023,177,19,False,False,False,False,True
37.0,4.8,9.233,0.0,14.033,2023,177,19,False,False,False,False,True
9.0,4.8,8.95,0.0,13.75,2023,177,19,True,False,False,False,False
0.0,4.8,9.0,0.0,13.8,2023,177,19,False,True,False,False,False
10.0,4.0,9.05,0.0,13.05,2022,177,19,False,False,False,False,True
31.0,4.0,7.9,0.0,11.9,2023,526,86,False,False,False,False,True
25.0,5.2,7.65,0.1,12.75,2023,356,68,False,False,False,False,True
0.0,5.0,8.9,0.0,13.9,2023,467,71,False,True,False,False,False
45.0,5.2,8.833,0.0,14.033,2022,154,82,False,False,False,False,True
21.0,5.2,9.233,0.0,14.433,2022,154,82,False,False,False,False,True
14.0,5.2,9.1,0.1,14.2,2022,154,82,False,False,True,False,False
38.0,5.2,8.933,0.1,14.033,2023,154,82,False,False,False,False,True
25.0,5.2,8.8,0.1,13.9,2023,154,82,False,False,False,False,True
25.0,0.0,0.0,0.0,0.0,2023,154,82,False,False,False,False,True
85.0,4.0,9.1,0.0,13.1,2022,325,4,False,False,False,False,True
53.0,5.6,8.333,0.0,13.933,2022,9,82,False,False,False,False,True
9.0,5.6,9.133,0.0,14.733,2022,9,82,False,False,False,False,True
1.0,6.0,9.2,0.0,15.2,2022,9,82,False,False,False,False,True
1.0,6.0,9.233,0.0,15.233,2022,9,82,False,False,True,False,False
11.0,5.6,8.2,0.3,13.5,2022,9,82,False,False,False,False,True
22.0,5.6,8.866,0.3,14.16,2023,9,82,False,False,False,False,True
5.0,5.6,7.9,0.0,13.5,2023,9,82,False,False,False,True,False
6.0,4.8,9.166,0.0,13.966,2023,9,82,False,False,False,False,True
3.0,6.0,9.1,0.0,15.1,2023,9,82,True,False,False,False,False
3.0,6.0,9.066,0.1,14.966,2023,9,82,False,False,False,False,True
5.0,5.6,8.033,0.1,13.533,2023,9,82,False,False,False,True,False
7.0,4.8,9.1,0.0,13.9,2023,9,82,False,False,False,False,True
3.0,5.6,8.1,0.1,13.6,2023,9,82,False,False,False,True,False
3.0,5.6,9.65,0.0,15.25,2023,9,82,False,False,False,False,True
3.0,4.8,9.333,0.0,14.133,2023,9,82,False,False,False,True,False
3.0,4.8,9.3,0.0,14.1,2023,9,82,False,False,False,False,True
14.0,6.0,9.133,0.3,14.833,2023,9,82,False,False,False,False,True
15.0,5.6,9.166,0.0,14.766,2023,9,82,False,False,False,False,True
14.0,5.6,7.933,0.3,13.233,2023,9,82,False,False,False,False,True
15.0,4.8,7.933,0.0,12.733,2023,9,82,False,False,False,False,True
50.0,5.2,8.766,0.0,13.966,2022,348,41,False,False,False,False,True
18.0,5.2,8.766,0.1,13.866,2022,348,41,False,False,False,False,True
6.0,5.2,8.1,0.0,13.3,2022,348,59,False,False,False,True,False
6.0,5.2,8.55,0.0,13.75,2022,348,59,False,False,False,False,True
0.0,0.0,0.0,0.0,0.0,2023,432,63,True,False,False,False,False
26.0,4.0,8.6,0.0,12.6,2023,432,63,False,False,False,False,True
23.0,4.8,0.0,0.0,13.6,2023,234,29,False,False,False,False,True
23.0,5.2,8.933,0.0,14.13,2023,45,85,False,False,False,False,True
7.0,0.0,0.0,0.0,0.0,2023,45,85,False,False,False,True,False
7.0,4.8,9.066,0.0,13.866,2023,45,85,False,False,False,False,True
17.0,5.2,8.833,0.0,14.033,2023,45,85,False,False,False,False,True
17.0,4.8,8.866,0.1,13.566,2023,45,85,False,False,False,False,True
54.0,4.8,9.1,0.0,13.9,2022,3,85,False,False,False,False,True
67.0,4.8,8.966,0.0,13.766,2022,208,48,False,False,False,False,True
10.0,4.8,9.233,0.0,14.033,2023,208,48,True,False,False,False,False
29.0,4.8,9.133,0.0,13.93,2023,208,48,False,False,False,False,True
3.0,5.2,8.966,0.0,14.166,2023,137,89,False,False,False,True,False
5.0,5.2,8.75,0.0,13.95,2023,137,89,False,False,False,False,True
3.0,5.2,9.2,0.0,14.4,2023,137,89,False,False,False,True,False
5.0,5.2,9.0,0.0,14.2,2023,137,89,False,False,False,False,True
0.0,0.0,0.0,0.0,0.0,2022,232,84,False,False,False,False,True
0.0,4.8,8.9,0.1,13.6,2022,352,84,False,False,False,False,True
0.0,4.8,8.85,0.0,13.65,2022,352,84,False,False,False,True,False
19.0,5.2,8.9,0.1,14.0,2022,352,84,True,False,False,False,False
0.0,4.8,9.2,0.0,14.0,2023,352,84,False,False,False,False,True
0.0,4.8,9.1,0.0,13.9,2023,352,84,False,False,False,True,False
0.0,3.2,8.35,0.0,11.55,2023,483,19,False,True,False,False,False
113.0,5.6,7.8,0.3,13.1,2022,224,3,False,False,False,False,True
21.0,5.6,8.9,0.1,14.4,2022,224,3,False,False,False,False,True
3.0,5.6,8.8,0.3,14.1,2022,224,3,False,False,False,True,False
4.0,5.2,8.9,0.1,14.0,2022,224,3,False,False,False,False,True
94.0,4.4,8.966,0.1,13.266,2023,102,20,False,False,False,False,True
8.0,4.8,9.05,0.1,13.75,2023,161,71,True,False,False,False,False
0.0,4.8,9.35,0.0,14.15,2023,161,71,False,True,False,False,False
22.0,4.4,8.9,0.1,13.2,2022,291,36,True,False,False,False,False
111.0,4.4,8.766,0.0,13.166,2022,291,36,False,False,False,False,True
63.0,4.8,9.066,0.1,13.766,2022,291,36,False,False,False,False,True
109.0,4.4,8.733,0.1,13.033,2023,291,36,False,False,False,False,True
6.0,5.2,8.93,0.1,14.233,2022,424,29,False,False,False,True,False
4.0,5.2,9.3,0.0,14.5,2022,424,29,False,False,False,False,True
6.0,5.2,7.87,0.0,13.066,2022,424,29,False,False,False,True,False
4.0,4.8,8.4,0.1,13.3,2022,424,29,False,False,False,False,True
18.0,5.2,0.0,0.1,14.0,2023,424,29,False,False,False,False,True
18.0,0.0,0.0,0.0,0.0,2023,424,29,False,False,False,False,True
25.0,5.6,7.3,0.3,13.2,2022,138,29,False,False,False,False,True
25.0,5.2,9.1,0.0,14.3,2022,138,29,False,False,False,False,True
8.0,5.2,7.966,0.0,13.166,2022,138,88,False,False,False,True,False
5.0,5.2,9.0,0.0,14.2,2022,138,88,False,False,False,False,True
9.0,5.2,9.4,0.0,14.6,2022,377,44,False,False,False,False,True
26.0,5.2,9.2,0.1,14.3,2022,377,44,False,False,False,False,True
5.0,5.2,9.3,0.0,14.5,2022,377,44,False,False,True,False,False
12.0,5.2,9.3,0.1,14.4,2022,377,44,False,False,False,False,True
5.0,5.2,9.466,0.0,14.666,2023,377,44,False,False,False,True,False
5.0,5.2,9.533,0.0,14.733,2023,377,44,False,False,False,False,True
5.0,4.8,9.333,0.0,14.133,2023,377,44,False,False,False,True,False
5.0,4.8,9.266,0.0,14.066,2023,377,44,False,False,False,False,True
84.0,4.8,8.8,0.0,13.6,2023,477,36,False,False,False,False,True
9.0,4.8,0.0,0.3,13.05,2023,88,29,False,False,False,False,True
9.0,4.8,0.0,0.0,13.75,2023,88,29,False,False,False,False,True
93.0,4.8,8.733,0.0,13.533,2022,21,4,False,False,False,False,True
61.0,4.8,9.0,0.0,13.8,2022,21,4,False,False,False,False,True
119.0,4.8,7.666,0.1,12.366,2023,21,4,False,False,False,False,True
0.0,0.0,0.0,0.0,0.0,2022,53,17,False,False,False,False,True
27.0,0.0,0.0,0.0,0.0,2022,53,17,False,False,False,False,True
97.0,5.6,8.0,0.4,13.2,2023,53,17,False,False,False,False,True
20.0,5.2,8.633,0.1,13.733,2023,53,17,False,False,False,False,True
6.0,5.2,9.2,0.3,14.1,2023,53,17,False,False,False,True,False
6.0,5.2,9.433,0.0,14.633,2023,53,17,False,False,False,False,True
7.0,5.2,7.933,0.0,13.133,2023,53,17,False,False,False,True,False
9.0,5.2,9.4,0.0,14.6,2023,53,17,False,False,False,False,True
35.0,5.2,7.866,0.3,12.766,2023,53,17,False,False,False,False,True
22.0,5.2,7.933,0.0,13.133,2023,53,17,False,False,False,False,True
6.0,5.2,9.366,0.0,14.566,2023,53,17,False,False,False,True,False
6.0,5.2,8.966,0.0,14.166,2023,53,17,False,False,False,False,True
7.0,5.2,9.033,0.0,14.233,2023,53,17,False,False,False,True,False
9.0,5.2,8.033,0.1,13.133,2023,53,17,False,False,False,False,True
35.0,5.2,7.933,0.1,13.033,2023,53,17,False,False,False,False,True
22.0,5.2,8.8,0.0,14.0,2023,53,17,False,False,False,False,True
98.0,4.8,8.8,0.1,13.5,2022,72,28,False,False,False,False,True
69.0,4.8,9.0,0.1,13.7,2023,72,28,False,False,False,False,True
36.0,4.8,8.9,0.1,13.6,2023,75,28,False,False,False,False,True
36.0,0.0,0.0,0.0,0.0,2023,75,28,False,False,False,False,True
29.0,4.8,7.466,0.3,11.966,2023,263,65,False,False,False,False,True
29.0,5.2,7.866,0.0,13.066,2023,263,65,False,False,False,False,True
8.0,5.6,7.866,0.3,13.166,2023,264,65,False,False,False,True,False
4.0,5.6,8.966,0.0,14.566,2023,264,65,False,False,False,False,True
8.0,5.2,8.7,0.1,13.8,2023,264,65,False,False,False,True,False
4.0,5.2,9.1,0.0,14.3,2023,264,65,False,False,False,False,True
28.0,3.2,9.2,0.0,12.4,2023,506,86,False,False,False,False,True
22.0,4.8,8.45,0.1,13.35,2022,65,29,False,False,False,False,True
64.0,4.8,8.466,0.1,13.166,2023,519,33,False,False,False,False,True
4.0,5.2,9.5,0.0,14.7,2023,297,84,False,False,False,False,True
12.0,5.2,8.633,0.0,13.833,2023,307,44,True,False,False,False,False
67.0,5.2,7.966,0.1,13.066,2023,307,44,False,False,False,False,True
82.0,4.8,8.833,0.0,13.633,2023,422,52,False,False,False,False,True
0.0,4.2,8.65,0.0,12.85,2023,139,71,False,True,False,False,False
82.0,4.8,8.933,0.1,13.633,2022,406,33,False,False,False,False,True
13.0,4.8,9.133,0.0,13.933,2023,406,33,True,False,False,False,False
