Rank,D Score,E Score,Pen.,Total,year,Name,nation,round_aafinal,round_final,round_qual,round_teamfinal
109.0,4.4,7.466,0.1,11.766,2022,227,22,False,False,True,False
22.0,4.5,7.366,0.0,11.866,2023,227,22,False,False,True,False
39.0,2.9,4.45,0.0,7.35,2022,286,67,False,False,True,False
74.0,4.4,7.866,0.0,12.266,2022,228,22,False,False,True,False
16.0,5.3,8.033,0.0,13.333,2022,414,28,False,False,True,False
12.0,5.2,7.6,0.3,12.5,2022,414,28,False,False,True,False
25.0,5.3,7.566,0.2,12.666,2022,414,28,False,False,True,False
8.0,5.2,6.75,0.0,11.95,2023,414,28,False,True,False,False
4.0,5.3,7.9,0.0,13.2,2023,414,28,False,False,True,False
8.0,5.3,7.866,0.0,13.166,2023,414,28,False,False,True,False
1.0,5.3,8.05,0.0,13.35,2023,414,23,True,False,False,False
2.0,5.3,7.733,0.0,13.033,2022,414,23,False,True,False,False
11.0,5.3,7.25,0.0,12.55,2022,414,23,False,False,True,False
127.0,3.7,7.733,0.0,11.433,2022,494,40,False,False,True,False
91.0,3.6,7.533,0.0,11.133,2022,494,40,False,False,True,False
78.0,4.5,7.066,0.0,11.566,2023,494,40,False,False,True,False
52.0,4.0,6.45,0.0,10.45,2022,238,28,False,False,True,False
31.0,4.3,6.7,0.0,11.0,2023,367,28,False,False,True,False
18.0,4.6,6.333,0.0,10.933,2023,314,77,False,False,True,False
21.0,4.9,7.166,0.1,11.966,2023,314,77,False,False,True,False
101.0,4.4,6.4,0.0,10.8,2022,40,47,False,False,True,False
64.0,4.3,7.5,0.0,11.8,2023,40,47,False,False,True,False
2.0,6.1,8.3,0.0,14.4,2022,432,8,True,False,False,False
3.0,5.9,7.833,0.0,13.733,2022,432,8,False,True,False,False
2.0,6.1,8.1,0.0,14.2,2022,432,8,False,False,True,False
3.0,5.8,8.066,0.0,13.866,2022,46,42,False,True,False,False
3.0,5.6,8.033,0.0,13.633,2022,46,42,False,False,True,False
11.0,5.5,7.5,0.0,13.0,2023,46,42,False,False,True,False
27.0,4.3,6.3,0.1,10.5,2023,382,26,False,False,True,False
41.0,4.6,6.266,0.3,10.566,2023,381,26,False,False,True,False
5.0,4.7,8.2,0.0,12.9,2022,467,28,False,True,False,False
7.0,4.7,7.95,0.0,12.65,2022,467,28,False,False,True,False
13.0,4.6,6.9,0.0,11.5,2023,467,63,True,False,False,False
15.0,4.5,7.9,0.0,12.4,2022,467,63,False,False,True,False
0.0,0.0,0.0,0.0,0.0,2022,134,77,False,False,True,False
26.0,4.4,6.666,0.0,11.066,2023,134,77,False,False,True,False
15.0,4.6,8.0,0.3,12.3,2023,134,77,False,False,True,False
4.0,5.0,7.566,0.0,12.566,2023,134,77,False,True,False,False
2.0,5.0,7.866,0.0,12.866,2023,134,77,False,False,True,False
12.0,4.3,7.7,0.0,12.0,2023,506,78,False,False,True,False
90.0,4.6,6.933,0.3,11.233,2023,484,18,False,False,True,False
13.0,4.8,7.766,0.1,12.466,2023,484,18,False,False,True,False
10.0,4.5,8.166,0.0,12.666,2023,503,44,False,False,True,False
41.0,4.3,7.05,0.0,11.35,2022,33,28,False,False,True,False
33.0,4.2,6.3,0.6,9.9,2023,386,22,False,False,True,False
0.0,4.5,7.55,0.1,11.95,2022,120,76,False,False,True,False
0.0,4.5,6.85,0.0,11.35,2022,120,76,False,True,False,False
19.0,5.0,6.85,0.0,11.85,2022,120,76,True,False,False,False
128.0,4.0,7.333,0.0,11.333,2022,493,17,False,False,True,False
94.0,4.3,7.1,0.3,11.1,2022,493,17,False,False,True,False
16.0,4.2,6.55,0.0,10.75,2023,493,17,True,False,False,False
32.0,4.2,6.5,0.1,10.6,2022,493,17,False,False,True,False
123.0,4.1,7.433,0.0,11.533,2022,124,35,False,False,True,False
40.0,4.2,7.15,0.0,11.35,2022,447,28,False,False,True,False
39.0,4.4,5.8,0.1,10.1,2023,447,28,False,False,True,False
27.0,4.7,7.1,0.1,11.7,2022,468,28,False,False,True,False
16.0,4.6,7.1,0.0,11.7,2023,468,28,False,False,True,False
106.0,4.4,6.266,0.0,10.666,2023,6,69,False,False,True,False
34.0,4.3,7.1,0.0,11.4,2023,190,8,False,False,True,False
22.0,5.2,6.733,0.0,11.933,2022,36,61,True,False,False,False
19.0,5.6,7.7,0.0,13.3,2022,36,61,False,False,True,False
4.0,5.6,8.033,0.0,13.633,2022,36,61,False,True,False,False
10.0,5.4,7.866,0.0,13.266,2022,36,61,False,False,True,False
19.0,5.3,6.733,0.0,12.033,2023,36,61,True,False,False,False
7.0,5.5,7.3,0.0,12.8,2023,36,61,False,True,False,False
7.0,5.5,7.733,0.0,13.233,2023,36,61,False,False,True,False
13.0,5.2,6.75,0.0,11.95,2023,487,60,False,False,True,False
69.0,4.5,7.833,0.0,12.333,2022,10,45,False,False,True,False
15.0,4.7,7.5,0.1,12.1,2023,10,45,False,False,True,False
4.0,4.7,7.833,0.0,12.533,2023,10,45,False,True,False,False
3.0,4.7,8.033,0.0,12.733,2023,10,45,False,False,True,False
15.0,4.7,7.2,0.4,11.5,2023,10,45,False,False,True,False
2.0,5.3,7.8,0.3,12.8,2023,67,42,False,True,False,False
7.0,5.3,7.533,0.4,12.433,2023,67,42,False,False,True,False
22.0,4.3,7.15,0.0,11.45,2023,153,28,False,False,True,False
109.0,4.3,6.266,0.0,10.566,2023,102,19,False,False,True,False
26.0,4.5,6.966,0.0,11.466,2023,489,62,False,False,True,False
10.0,5.3,7.733,0.0,13.033,2023,303,68,False,False,True,False
113.0,3.6,5.966,0.0,9.566,2022,502,48,False,False,True,False
114.0,3.6,6.533,0.0,10.133,2023,502,48,False,False,True,False
51.0,4.7,7.333,0.0,12.033,2023,104,74,False,False,True,False
11.0,5.0,8.333,0.0,13.333,2022,157,10,True,False,False,False
20.0,5.0,8.266,0.0,13.266,2022,157,10,False,False,True,False
11.0,5.7,7.9,0.0,13.6,2022,480,76,False,False,True,False
115.0,4.4,7.4,0.1,11.7,2022,150,51,False,False,True,False
88.0,4.4,7.066,0.2,11.266,2022,150,51,False,False,True,False
94.0,4.3,6.966,0.1,11.166,2023,150,51,False,False,True,False
126.0,4.5,6.966,0.0,11.466,2022,181,0,False,False,True,False
17.0,5.2,8.1,0.0,13.3,2022,361,27,False,False,True,False
38.0,4.8,7.866,0.3,12.366,2022,361,27,False,False,True,False
15.0,4.8,7.9,0.0,12.7,2022,361,27,False,False,False,True
17.0,4.9,7.833,0.0,12.733,2023,361,27,False,False,True,False
1.0,4.9,7.933,0.0,12.833,2023,361,27,False,True,False,False
1.0,4.9,8.066,0.0,12.966,2023,361,27,False,False,True,False
56.0,3.6,6.65,0.0,10.25,2022,224,28,False,False,True,False
13.0,5.0,8.133,0.0,13.133,2022,332,7,True,False,False,False
