Rank,D Score,E Score,Pen.,Total,year,Name,nation,round_aafinal,round_final,round_qual,round_teamfinal
52.0,4.8,8.0,0.0,12.8,2022,216,22,False,False,True,False
29.0,4.5,6.266,0.0,10.766,2023,216,22,False,False,True,False
21.0,3.8,5.533,0.0,9.333,2023,216,22,False,False,True,False
45.0,3.5,6.7,0.0,10.2,2022,71,28,False,False,True,False
39.0,1.2,4.3,0.0,5.5,2022,276,67,False,False,True,False
113.0,4.4,6.5,0.0,10.9,2022,217,22,False,False,True,False
51.0,5.8,7.033,0.0,12.833,2022,406,28,False,False,True,False
5.0,5.6,7.3,0.0,12.9,2022,406,28,False,True,False,False
7.0,5.6,7.5,0.0,13.1,2022,406,28,False,False,True,False
43.0,5.8,6.433,0.0,12.233,2022,406,28,False,False,True,False
24.0,5.6,6.833,0.0,12.433,2022,406,28,False,False,False,True
5.0,5.8,8.3,0.0,14.1,2023,406,28,False,True,False,False
2.0,5.7,8.0,0.0,13.7,2023,406,28,False,False,True,False
3.0,6.0,7.25,0.0,13.25,2023,406,23,True,False,False,False
4.0,6.0,7.433,0.0,13.433,2022,406,23,False,True,False,False
2.0,6.1,7.65,0.0,13.75,2022,406,23,False,False,True,False
108.0,4.2,6.833,0.0,11.033,2022,487,39,False,False,True,False
57.0,4.1,7.633,0.0,11.733,2022,487,39,False,False,True,False
54.0,4.3,7.933,0.0,12.233,2023,487,39,False,False,True,False
24.0,3.7,7.6,0.0,11.3,2022,227,28,False,False,True,False
35.0,3.4,6.5,0.0,9.9,2023,355,28,False,False,True,False
16.0,4.3,6.133,0.0,10.433,2023,306,77,False,False,True,False
28.0,3.6,6.3,0.0,9.9,2023,306,77,False,False,True,False
111.0,2.7,5.933,0.0,8.633,2022,38,46,False,False,True,False
103.0,3.4,6.7,0.0,10.1,2023,38,46,False,False,True,False
5.0,6.2,7.6,0.0,13.8,2022,424,8,True,False,False,False
8.0,5.7,7.1,0.0,12.8,2022,424,8,False,True,False,False
3.0,6.1,8.566,0.0,14.666,2022,424,8,False,False,True,False
35.0,2.4,7.9,0.0,10.3,2023,370,26,False,False,True,False
41.0,4.2,5.733,0.5,9.433,2023,372,26,False,False,True,False
19.0,4.6,7.05,0.0,11.65,2022,459,28,False,False,True,False
12.0,5.0,6.4,0.0,11.4,2023,459,63,True,False,False,False
8.0,4.8,7.566,0.0,12.366,2022,459,63,False,True,False,False
11.0,4.8,7.45,0.0,12.25,2022,459,63,False,False,True,False
135.0,4.6,5.333,0.0,9.933,2022,123,77,False,False,True,False
8.0,4.9,7.2,0.0,12.1,2023,123,77,False,True,False,False
8.0,5.0,7.5,0.0,12.5,2023,123,77,False,False,True,False
22.0,5.0,5.7,0.0,10.7,2023,123,77,False,False,True,False
22.0,4.5,3.866,0.5,7.866,2023,123,77,False,False,True,False
28.0,4.1,5.7,0.0,9.8,2023,498,78,False,False,True,False
68.0,3.8,7.766,0.0,11.566,2023,475,18,False,False,True,False
43.0,3.2,7.0,0.0,10.2,2022,31,28,False,False,True,False
28.0,4.5,6.3,0.0,10.8,2023,376,22,False,False,True,False
0.0,4.5,7.85,0.0,12.35,2022,110,76,False,False,True,False
0.0,4.5,7.95,0.0,12.45,2022,110,76,False,True,False,False
11.0,4.6,8.3,0.0,12.9,2022,110,76,True,False,False,False
5.0,4.7,7.1,0.0,11.8,2023,85,62,False,True,False,False
5.0,4.7,7.167,0.0,11.867,2023,85,62,False,False,True,False
111.0,4.4,6.533,0.0,10.933,2022,486,17,False,False,True,False
79.0,4.5,6.5,0.0,11.0,2022,486,17,False,False,True,False
15.0,4.5,6.4,0.0,10.9,2023,486,17,True,False,False,False
21.0,4.5,7.1,0.0,11.6,2022,486,17,False,False,True,False
76.0,5.1,7.133,0.0,12.233,2022,115,34,False,False,True,False
44.0,3.3,6.9,0.0,10.2,2022,442,28,False,False,True,False
39.0,3.3,6.15,0.0,9.45,2023,442,28,False,False,True,False
30.0,3.9,7.0,0.0,10.9,2022,460,28,False,False,True,False
38.0,4.2,5.3,0.0,9.5,2023,460,28,False,False,True,False
76.0,3.5,7.6,0.0,11.1,2022,4,69,False,False,True,False
98.0,3.5,6.733,0.0,10.233,2023,4,69,False,False,True,False
25.0,4.8,7.45,0.0,12.25,2023,177,8,False,False,True,False
