Rank,D_Score,E_Score,Penalty,Score,year,Name,nation,Round_AAfinal,Round_TeamFinal,Round_final,Round_qual
110.0,4.2,8.433,0.3,12.333,2022,215,22,False,False,False,True
138.0,3.2,8.4,0.0,11.6,2022,216,22,False,False,False,True
3.0,5.0,9.466,0.0,14.466,2022,397,28,False,False,False,True
1.0,5.0,9.25,0.0,14.25,2022,397,28,False,False,False,True
4.0,5.0,8.933,0.0,13.933,2022,397,28,False,False,False,True
7.0,5.0,8.9,0.0,13.9,2022,397,28,False,True,False,False
16.0,5.0,0.0,0.0,14.3,2023,397,28,False,False,False,True
16.0,0.0,0.0,0.0,0.0,2023,397,28,False,False,False,True
6.0,5.0,8.966,0.0,13.966,2023,397,28,False,False,False,True
126.0,3.8,8.266,0.0,12.066,2022,475,40,False,False,False,True
69.0,3.8,8.533,0.0,12.333,2022,475,40,False,False,False,True
82.0,3.8,8.5,0.0,12.3,2023,475,40,False,False,False,True
44.0,3.6,8.4,0.0,12.0,2022,224,28,False,False,False,True
23.0,3.2,8.6,0.0,11.8,2023,420,44,False,False,False,True
23.0,1.6,8.566,0.0,10.166,2023,420,44,False,False,False,True
30.0,3.4,0.0,0.0,12.1,2023,350,28,False,False,False,True
9.0,3.8,8.566,0.0,12.366,2023,301,79,False,False,False,True
9.0,3.4,8.733,0.0,12.133,2023,301,79,False,False,False,True
87.0,3.8,8.266,0.0,12.066,2022,39,48,False,False,False,True
24.0,3.4,8.5,0.0,11.9,2022,39,48,False,False,False,True
93.0,3.8,8.633,0.3,12.133,2023,39,48,False,False,False,True
15.0,3.4,8.433,0.0,11.833,2023,39,48,False,False,False,True
1.0,5.6,9.566,0.0,15.166,2022,414,8,True,False,False,False
1.0,5.6,9.466,0.0,15.066,2022,414,8,False,False,False,True
12.0,3.0,8.466,0.0,11.466,2022,414,8,False,False,False,True
26.0,4.6,8.533,0.0,13.133,2022,44,42,False,False,False,True
13.0,4.0,8.633,0.0,12.633,2022,44,42,False,False,False,True
43.0,4.6,8.733,0.3,13.033,2023,44,42,False,False,False,True
10.0,3.8,8.466,0.0,12.266,2023,44,42,False,False,False,True
26.0,3.6,8.633,0.0,12.23,2023,364,26,False,False,False,True
37.0,3.2,8.666,0.0,11.86,2023,366,26,False,False,False,True
6.0,5.0,7.05,0.3,12.35,2022,446,28,False,False,True,False
3.0,5.0,8.85,0.0,13.85,2022,446,28,False,False,False,True
6.0,4.4,8.45,0.0,12.85,2022,446,28,False,False,True,False
3.0,4.4,8.5,0.0,12.9,2022,446,28,False,False,False,True
3.0,4.4,8.5,0.0,12.9,2022,446,65,False,False,True,False
1.0,4.4,8.7,0.0,13.1,2022,446,65,False,False,False,True
0.0,0.0,0.0,0.0,0.0,2022,128,79,False,False,False,True
18.0,4.2,7.633,0.1,11.733,2023,128,79,False,False,False,True
8.0,4.2,8.466,0.3,12.366,2023,128,79,False,False,True,False
8.0,4.2,8.566,0.0,12.766,2023,128,79,False,False,False,True
12.0,4.2,8.433,0.1,12.533,2023,128,79,False,False,False,True
18.0,3.8,8.633,0.0,12.433,2023,128,79,False,False,False,True
8.0,3.8,8.666,0.0,12.466,2023,128,79,False,False,True,False
8.0,3.8,8.533,0.0,12.333,2023,128,79,False,False,False,True
12.0,3.8,8.7,0.0,12.5,2023,128,79,False,False,False,True
22.0,3.6,8.75,0.0,12.35,2023,487,80,False,False,False,True
10.0,3.6,8.6,0.0,12.2,2023,487,80,False,False,False,True
80.0,3.6,8.7,0.0,12.3,2023,463,18,False,False,False,True
49.0,3.2,8.65,0.0,11.85,2022,33,28,False,False,False,True
0.0,4.6,7.65,0.3,11.95,2022,115,78,False,False,False,True
0.0,4.6,8.7,0.1,13.2,2022,115,78,False,False,True,False
0.0,4.6,8.7,0.1,13.2,2022,115,78,True,False,False,False
138.0,3.2,8.4,0.0,11.6,2022,473,17,False,False,False,True
98.0,3.2,8.466,0.0,11.666,2022,473,17,False,False,False,True
51.0,4.6,8.5,0.0,13.1,2022,120,35,False,False,False,True
17.0,4.4,8.6,0.0,13.0,2022,120,35,False,False,False,True
19.0,4.6,8.7,0.0,13.3,2022,120,35,False,False,False,True
9.0,4.6,9.2,0.0,13.8,2022,120,35,False,True,False,False
9.0,4.4,8.7,0.0,13.1,2022,120,35,False,False,False,True
41.0,3.4,8.7,0.0,12.1,2022,428,28,False,False,False,True
41.0,3.6,7.75,0.0,11.35,2022,428,28,False,False,False,True
15.0,3.4,0.0,0.0,12.25,2023,428,28,False,False,False,True
15.0,3.6,0.0,0.3,10.9,2023,428,28,False,False,False,True
47.0,3.6,8.35,0.0,11.95,2022,447,28,False,False,False,True
28.0,3.6,0.0,0.0,12.35,2023,447,28,False,False,False,True
97.0,3.4,8.6,0.0,12.0,2023,6,71,False,False,False,True
31.0,4.2,8.45,0.0,12.65,2023,180,8,False,False,False,True
31.0,0.0,0.0,0.0,0.0,2023,180,8,False,False,False,True
19.0,4.2,8.9,0.0,13.1,2022,37,63,True,False,False,False
57.0,4.2,8.8,0.0,13.0,2022,37,63,False,False,False,True
50.0,4.2,8.633,0.1,12.733,2022,37,63,False,False,False,True
8.0,4.6,8.8,0.0,13.4,2023,37,63,True,False,False,False
98.0,4.6,7.633,0.3,11.933,2023,37,63,False,False,False,True
0.0,0.0,0.0,0.0,0.0,2023,467,62,False,False,False,True
134.0,3.4,8.366,0.0,11.766,2022,12,46,False,False,False,True
99.0,5.0,7.566,0.0,12.566,2022,474,67,False,False,False,True
15.0,4.6,9.066,0.0,13.666,2022,474,67,False,False,False,True
117.0,4.0,7.6,0.3,11.3,2022,474,67,False,False,False,True
26.0,0.0,0.0,0.0,0.0,2022,474,67,False,False,False,True
