Name,Gender,Country,Date,Competition,Round,Location,Apparatus,Rank,D_Score,E_Score,Penalty,Score,Total_Score
ciena alipio,w,USA,2022-08-20,2022 U.S. Championships,qual,"Tampa, FL",BB,0.0,5.7,7.9,0.0,13.6,13.6
ciena alipio,w,USA,2022-08-20,2022 U.S. Championships,final,"Tampa, FL",BB,0.0,5.7,8.25,0.0,13.95,13.95
ciena alipio,w,USA,2022-08-20,2022 U.S. Championships,qual,"Tampa, FL",FX,0.0,4.5,7.55,0.1,11.95,11.95
ciena alipio,w,USA,2022-08-20,2022 U.S. Championships,final,"Tampa, FL",FX,0.0,4.5,6.85,0.0,11.35,11.35
ciena alipio,w,USA,2022-08-20,2022 U.S. Championships,qual,"Tampa, FL",UB,0.0,4.5,7.85,0.0,12.35,12.35
ciena alipio,w,USA,2022-08-20,2022 U.S. Championships,final,"Tampa, FL",UB,0.0,4.5,7.95,0.0,12.45,12.45
ciena alipio,w,USA,2022-08-20,2022 U.S. Championships,qual,"Tampa, FL",VT,0.0,4.6,7.65,0.3,11.95,11.95
ciena alipio,w,USA,2022-08-20,2022 U.S. Championships,final,"Tampa, FL",VT,0.0,4.6,8.7,0.1,13.2,13.2
ciena alipio,w,USA,2022-02-27,2022 Winter Cup,AAfinal,"Frisco, Texas",BB,17.0,5.6,6.65,0.0,12.25,12.25
ciena alipio,w,USA,2022-02-27,2022 Winter Cup,AAfinal,"Frisco, Texas",FX,19.0,5.0,6.85,0.0,11.85,11.85
ciena alipio,w,USA,2022-02-27,2022 Winter Cup,AAfinal,"Frisco, Texas",UB,11.0,4.6,8.3,0.0,12.9,12.9
ciena alipio,w,USA,2022-02-27,2022 Winter Cup,AAfinal,"Frisco, Texas",VT,0.0,4.6,8.7,0.1,13.2,13.2
skye blakely,w,USA,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,final,"Liverpool, England",BB,5.0,6.2,7.1,0.0,13.3,13.3
skye blakely,w,USA,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",BB,2.0,6.0,7.733,0.0,13.733,13.733
skye blakely,w,USA,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",FX,11.0,5.7,7.9,0.0,13.6,13.6
skye blakely,w,USA,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",UB,63.0,5.5,7.066,0.0,12.566,12.566
sydney barros,w,USA,2022-02-27,2022 Winter Cup,AAfinal,"Frisco, Texas",BB,6.0,5.5,7.6,0.0,13.1,13.1
sydney barros,w,USA,2022-02-27,2022 Winter Cup,AAfinal,"Frisco, Texas",FX,13.0,5.4,7.2,0.0,12.6,12.6
sydney barros,w,USA,2022-02-27,2022 Winter Cup,AAfinal,"Frisco, Texas",UB,10.0,5.7,7.3,0.0,13.0,13.0
sydney barros,w,USA,2022-02-27,2022 Winter Cup,AAfinal,"Frisco, Texas",VT,0.0,4.2,8.9,0.0,13.1,13.1
simone biles,w,USA,2023-08-27,2023 U.S. Championships,qual,"San Jose, CA",BB,0.0,6.4,8.05,0.0,14.45,14.45
simone biles,w,USA,2023-08-27,2023 U.S. Championships,final,"San Jose, CA",BB,0.0,6.5,8.35,0.0,14.85,14.85
simone biles,w,USA,2023-08-27,2023 U.S. Championships,qual,"San Jose, CA",FX,0.0,6.8,8.1,0.1,14.8,14.8
simone biles,w,USA,2023-08-27,2023 U.S. Championships,final,"San Jose, CA",FX,0.0,6.8,8.6,0.0,15.4,15.4
simone biles,w,USA,2023-08-27,2023 U.S. Championships,qual,"San Jose, CA",UB,0.0,6.0,8.35,0.0,14.35,14.35
simone biles,w,USA,2023-08-27,2023 U.S. Championships,final,"San Jose, CA",UB,0.0,6.0,8.05,0.0,14.05,14.05
