Month,womens gymnastics: (United States),Individual all-around: (United States),gymnastics: (United States),gymnastics team: (United States),team final: (United States)
2004-01,<1,0,12,<1,<1
2004-02,<1,0,11,<1,<1
2004-03,<1,0,10,<1,<1
2004-04,<1,0,9,<1,0
2004-05,<1,0,9,<1,<1
2004-06,<1,0,13,1,0
2004-07,1,0,13,2,<1
2004-08,4,<1,40,5,<1
2004-09,<1,0,13,1,<1
2004-10,<1,0,9,<1,<1
2004-11,<1,0,9,<1,<1
2004-12,<1,0,9,<1,<1
2005-01,<1,0,11,<1,<1
2005-02,<1,0,11,<1,0
2005-03,<1,0,11,<1,<1
2005-04,<1,0,11,<1,<1
2005-05,<1,0,9,<1,<1
2005-06,<1,0,9,<1,<1
2005-07,<1,0,9,<1,<1
2005-08,<1,0,10,<1,<1
2005-09,<1,0,8,<1,<1
2005-10,<1,0,8,<1,<1
2005-11,<1,0,9,<1,<1
2005-12,<1,0,8,<1,<1
2006-01,<1,<1,12,<1,<1
2006-02,<1,<1,12,<1,<1
2006-03,<1,0,11,<1,<1
2006-04,<1,0,10,<1,<1
2006-05,<1,0,9,<1,<1
2006-06,<1,0,8,<1,<1
2006-07,<1,0,8,<1,<1
2006-08,<1,0,10,<1,<1
2006-09,<1,0,9,<1,<1
2006-10,<1,0,9,<1,<1
2006-11,<1,0,9,<1,<1
2006-12,<1,0,9,<1,<1
2007-01,<1,0,12,<1,<1
2007-02,<1,0,11,<1,<1
2007-03,<1,0,11,<1,<1
2007-04,<1,0,9,<1,<1
2007-05,<1,0,9,<1,<1
2007-06,<1,0,8,<1,<1
2007-07,<1,0,8,<1,<1
2007-08,<1,<1,10,<1,<1
2007-09,<1,0,11,<1,<1
2007-10,<1,0,8,<1,<1
2007-11,<1,0,8,<1,<1
2007-12,<1,0,7,<1,<1
2008-01,<1,0,12,<1,<1
2008-02,<1,0,11,<1,<1
2008-03,<1,0,10,<1,<1
2008-04,<1,<1,9,<1,<1
2008-05,<1,0,8,<1,<1
2008-06,1,0,14,1,<1
2008-07,1,0,11,1,<1
2008-08,6,<1,56,8,<1
2008-09,<1,0,11,<1,<1
2008-10,<1,0,8,<1,<1
2008-11,<1,0,8,<1,<1
2008-12,<1,0,7,<1,<1
2009-01,<1,0,11,<1,<1
2009-02,<1,0,10,<1,<1
2009-03,<1,0,10,<1,<1
2009-04,<1,0,8,<1,<1
2009-05,<1,<1,7,<1,<1
2009-06,<1,0,7,<1,<1
2009-07,<1,0,7,<1,<1
2009-08,<1,0,10,<1,<1
2009-09,<1,0,8,<1,<1
2009-10,<1,0,8,<1,<1
2009-11,<1,0,7,<1,<1
2009-12,<1,0,6,<1,<1
2010-01,<1,0,12,<1,<1
2010-02,<1,0,12,<1,<1
2010-03,<1,0,11,<1,<1
2010-04,<1,<1,9,<1,<1
2010-05,<1,0,7,<1,<1
2010-06,<1,<1,7,<1,<1
2010-07,<1,0,7,<1,<1
2010-08,<1,0,9,<1,<1
2010-09,<1,0,8,<1,<1
