Algorithm,IAA/Apparatus,Selected Athletes,Total Score,ashlee sullivan,konnor mcclain,shilese jones,jade carey,kayla dicello,leanne wong,camryn richardson,christiane popovich,jordan chiles,addison fatta,skye blakely,chloe cho,simone biles,emjae frazier
Tabu Search,IAA,"['jade carey', 'jordan chiles', 'shilese jones', 'simone biles']",171.33725,0,0,1,1,0,0,0,0,1,0,0,0,1,0
Tabu Search,Apparatus,"['jade carey', 'konnor mcclain', 'shilese jones', 'simone biles']",170.79811666666666,0,1,1,1,0,0,0,0,0,0,0,0,1,0
Variable Neighborhood Search (VNS),IAA,"['shilese jones', 'simone biles', 'jordan chiles', 'jade carey']",171.47074999999998,0,0,1,1,0,0,0,0,1,0,0,0,1,0
Variable Neighborhood Search (VNS),Apparatus,"['simone biles', 'leanne wong', 'konnor mcclain', 'kayla dicello']",166.038475,0,1,0,0,1,1,0,0,0,0,0,0,1,0
Hyper-Heuristics,IAA,"['skye blakely', 'jade carey', 'shilese jones', 'simone biles']",169.963,0,0,1,1,0,0,0,0,0,0,1,0,1,0
Hyper-Heuristics,Apparatus,"['christiane popovich', 'ashlee sullivan', 'shilese jones', 'simone biles']",166.26328333333333,1,0,1,0,0,0,0,1,0,0,0,0,1,0
CBC (Coin-or branch and cut) MILP solver,IAA,"['jade carey', 'jordan chiles', 'shilese jones', 'simone biles']",,0,0,1,1,0,0,0,0,1,0,0,0,1,0
CBC (Coin-or branch and cut) MILP solver,Apparatus,"['camryn richardson', 'chloe cho', 'emjae frazier', 'simone biles']",,0,0,0,0,0,0,1,0,0,0,0,1,1,1
Brute Force,IAA,"['jade carey', 'jordan chiles', 'shilese jones', 'simone biles']",169.96300000000002,0,0,1,1,0,0,0,0,1,0,0,0,1,0
Brute Force,Apparatus,"['addison fatta', 'jade carey', 'shilese jones', 'simone biles']",169.12011666666666,0,0,1,1,0,0,0,0,0,1,0,0,1,0
