Name,VT,UB,BB,FX,AA,year
Jade Carey,15.2,13.5,11.533,13.966,54.199,2021
Jade Carey,15.166,14.133,12.866,14.1,56.265,2021
Jade Carey,15.2,11.3,13.266,13.133,52.899,2021
Jade Carey,14.55,13.6,12.75,13.65,54.55,2021
Jade Carey,14.7,13.95,13.55,13.25,55.45,2021
Jade Carey,14.733,13.166,12.633,14.166,54.698,2022
Jade Carey,14.6,13.333,13.133,14.066,55.132,2022
Jade Carey,14.3,13.6,13.75,13.8,55.45,2022
Jade Carey,14.65,13.45,13.3,13.85,55.25,2022
Jade Carey,14.8,13.6,13.2,14.05,55.65,2022
Jade Carey,14.55,13.25,12.05,13.1,52.95,2023
Jade Carey,13.95,12.05,12.15,13.35,51.5,2023
Jade Carey,13.6,13.6,11.75,13.45,52.4,2023
