Name,VT,UB,BB,FX,AA,year
Sunisa Lee,14.466,13.133,13.833,14.2,55.632,2021
Sunisa Lee,14.566,15.0,13.4,14.2,57.166,2021
Sunisa Lee,14.55,15.0,14.55,14.1,58.2,2021
Sunisa Lee,13.75,15.05,13.85,14.0,56.65,2021
Sunisa Lee,13.85,14.75,14.35,13.95,56.9,2021
Sunisa Lee,14.2,14.7,13.233,14.333,56.466,2021
Sunisa Lee,14.6,15.3,13.833,13.7,57.433,2022
Sunisa Lee,14.333,15.2,14.2,13.433,57.166,2022
Sunisa Lee,14.6,14.9,14.733,13.933,58.166,2022
Sunisa Lee,14.4,15.3,14.733,13.233,57.666,2022
Sunisa Lee,14.3,14.9,14.7,13.7,57.6,2022
Sunisa Lee,14.4,15.3,13.9,13.75,57.35,2022
