Name,VT,UB,BB,FX,AA,year
Zoe Miller,13.7,13.633,13.133,12.866,53.332,2021
Zoe Miller,13.933,13.766,12.566,12.2,52.465,2021
Zoe Miller,14.2,13.9,13.05,12.3,53.45,2021
Zoe Miller,14.1,14.3,11.75,12.8,52.95,2021
Zoe Miller,13.5,14.0,11.75,12.0,51.25,2021
Zoe Miller,13.6,14.05,12.15,12.7,52.5,2021
Zoe Miller,13.9,12.45,13.7,13.0,53.05,2021
Zoe Miller,13.3,13.9,11.85,12.35,51.4,2022
Zoe Miller,13.067,14.033,12.133,12.3,51.533,2022
Zoe Miller,13.4,14.25,11.95,12.35,51.95,2022
Zoe Miller,13.65,13.1,10.95,12.65,50.35,2022
Zoe Miller,13.6,13.7,11.95,12.5,51.75,2022
Zoe Miller,13.4,14.4,12.25,12.4,52.45,2023
Zoe Miller,13.15,11.0,13.05,11.8,49.0,2023
Zoe Miller,13.65,14.75,12.45,12.15,53.0,2023
Zoe Miller,13.9,14.55,11.1,12.05,51.6,2023
Zoe Miller,13.6,14.75,12.9,12.7,53.95,2023
Zoe Miller,13.9,14.85,12.9,10.85,52.5,2023
Zoe Miller,13.65,13.9,12.55,12.4,52.5,2023
