Name,Apparatus,Score
asher hong,VT,14.3
asher hong,VT,14.133
kameron nelson,VT,14.266
frederick richard,VT,14.45
kameron nelson,VT,13.633
asher hong,VT,13.566
asher hong,VT,15.45
colt walker,VT,14.6
brody malone,VT,14.333
brody malone,VT,14.75
asher hong,VT,13.466
asher hong,VT,14.433
yul moldauer,VT,14.75
frederick nathaniel richard,VT,13.8
landen paul blixt,VT,14.7
frederick richard,VT,14.7
joshua andrew karnes,VT,13.93
taylor troy christopulos,VT,14.46
kameron nelson,VT,14.333
kameron nelson,VT,14.5
nicolas kuebler,VT,13.45
ian lasic-ellis,VT,13.75
riley loos,VT,14.25
joshua karnes,VT,13.85
joshua karnes,VT,13.7
taylor burkhart,VT,14.35
anthony koppie,VT,14.15
anthony koppie,VT,14.0
riley loos,VT,14.3
riley loos,VT,14.15
garrett braunton,VT,13.9
taylor burkhart,VT,14.45
taylor burkhart,VT,14.75
anthony koppie,VT,13.95
garrett braunton,VT,14.05
riley loos,VT,14.1
riley loos,VT,14.85
garrett braunton,VT,12.2
toby liang,VT,14.0
riley loos,VT,14.05
toby liang,VT,13.45
ian lasic-ellis,VT,13.7
ian lasic-ellis,VT,13.55
brandon briones,VT,14.35
ian lasic-ellis,VT,14.25
toby liang,VT,13.55
oliver zavel,VT,13.2
brody malone,VT,14.5
alex karadzhov,VT,12.6
kameron nelson,VT,13.95
kameron nelson,VT,14.55
kameron nelson,VT,14.55
robert neff,VT,14.25
landen blixt,VT,13.15
landen blixt,VT,14.25
yul moldauer,VT,14.25
landen blixt,VT,12.65
yul moldauer,VT,14.35
yul moldauer,VT,14.25
yul moldauer,VT,13.4
yul moldauer,VT,14.4
yul moldauer,VT,14.35
cameron bock,VT,12.65
cameron bock,VT,13.85
caleb melton,VT,12.9
caleb melton,VT,14.2
caleb melton,VT,10.45
connor mccool,VT,14.15
connor mccool,VT,13.4
connor mccool,VT,13.7
connor mccool,VT,13.65
cameron bock,VT,13.5
cameron bock,VT,14.1
connor mccool,VT,13.6
evan manivong,VT,14.0
brody malone,VT,14.6
brody malone,VT,14.45
cameron bock,VT,13.95
joshua karnes,VT,13.7
paul juda,VT,14.05
alex karadzhov,VT,13.2
raydel gamboa,VT,14.1
matt cormier,VT,12.25
colin flores,VT,13.5
colin flores,VT,13.65
jack freeman,VT,13.95
james friedman,VT,13.25
matt cormier,VT,14.2
vitaliy guimaraes,VT,14.45
asher cohen,VT,13.8
matt cormier,VT,12.7
matt cormier,VT,13.0
ian gunther,VT,13.45
ian gunther,VT,13.45
ian gunther,VT,13.45
ian gunther,VT,13.5
mike fletcher,VT,14.45
mike fletcher,VT,13.4
mike fletcher,VT,13.85
mike fletcher,VT,13.15
isaiah drake,VT,14.15
chase davenport-mills,VT,14.3
chase davenport-mills,VT,13.5
isaiah drake,VT,14.45
isaiah drake,VT,13.6
isaiah drake,VT,14.25
chase davenport-mills,VT,13.9
isaiah drake,VT,13.9
isaiah drake,VT,14.1
evan davis,VT,14.1
alex diab,VT,13.35
alex diab,VT,13.0
mathew davis,VT,13.7
asher hong,VT,14.166
asher cohen,VT,13.65
taylor burkhart,VT,13.95
michael jaroh,VT,13.35
evan hymanson,VT,13.75
taylor christopulos,VT,14.4
taylor christopulos,VT,14.3
evan hymanson,VT,12.9
evan hymanson,VT,13.2
evan hymanson,VT,11.7
michael jaroh,VT,13.6
caden clinton,VT,13.25
michael jaroh,VT,14.0
michael jaroh,VT,13.0
paul juda,VT,14.6
landen blixt,VT,14.15
joshua andrew karnes,VT,14.733
taylor burkhart,VT,14.9
asher hong,VT,14.05
asher hong,VT,14.4
asher hong,VT,14.75
asher hong,VT,14.9
taylor christopulos,VT,14.0
taylor christopulos,VT,13.45
asher hong,VT,15.05
asher hong,VT,14.85
taylor christopulos,VT,14.25
kazuki hayashi,VT,14.6
jackson harrison,VT,13.9
jackson harrison,VT,13.6
dallas hale,VT,14.45
dallas hale,VT,14.7
dallas hale,VT,14.8
dallas hale,VT,14.7
caden clinton,VT,13.05
kameron nelson,VT,14.55
evan manivong,VT,13.95
david shamah,VT,13.5
garrett schooley,VT,13.45
fuzzy benas,VT,14.4
fred richard,VT,14.1
michael artlip,VT,13.6
shane wiskus,VT,14.1
garrett schooley,VT,12.8
shane wiskus,VT,14.25
frederick nathaniel richard,VT,13.7
colt walker,VT,14.4
jeremy bischoff,VT,13.8
kameron nelson,VT,14.1
jeremy bischoff,VT,13.75
shane wiskus,VT,14.5
rithik puri,VT,13.4
shane wiskus,VT,14.2
colt walker,VT,14.6
curran phillips,VT,14.8
curran phillips,VT,14.65
jeremy bischoff,VT,13.9
curran phillips,VT,14.7
michael artlip,VT,13.65
fred richard,VT,14.0
curran phillips,VT,14.4
maxim bereznev,VT,12.9
ian sandoval,VT,14.0
ian sandoval,VT,13.6
donnell whittenburg,VT,14.6
frederick richard,VT,13.9
frederick richard,VT,13.75
donnell whittenburg,VT,14.15
maxim bereznev,VT,14.0
colt walker,VT,14.1
colt walker,VT,14.3
maxim bereznev,VT,14.0
michael artlip,VT,14.0
fred richard,VT,14.0
maxim bereznev,VT,14.35
donnell whittenburg,VT,14.55
donnell whittenburg,VT,14.45
michael artlip,VT,14.0
fred richard,VT,13.9
maxim bereznev,VT,13.05
michael artlip,VT,13.9
curran phillips,VT,14.05
shane wiskus,VT,13.75
daniel simmons,VT,13.7
zachary nunez,VT,13.75
jeremy bischoff,VT,14.05
vahe petrosyan,VT,13.35
landon simpson,VT,13.7
zachary nunez,VT,12.85
zachary nunez,VT,14.0
khoi young,VT,15.2
khoi young,VT,14.8
brandon nguyen,VT,13.8
brandon nguyen,VT,13.85
noah newfeld,VT,13.3
khoi young,VT,14.6
noah newfeld,VT,13.5
landen blixt,VT,14.1
colin van wicklen,VT,14.25
landon simpson,VT,12.95
landen blixt,VT,14.2
landon simpson,VT,13.7
alex tapanes,VT,13.35
oliver zavel,VT,13.2
landon simpson,VT,14.3
colt walker,VT,14.65
jeremy bischoff,VT,13.7
khoi young,VT,14.7
cole partridge,VT,13.25
ignacio yockers,VT,13.6
vahe petrosyan,VT,13.75
jeremy bischoff,VT,13.5
daniel simmons,VT,14.45
cole partridge,VT,13.0
vahe petrosyan,VT,13.75
cole partridge,VT,13.4
khoi young,VT,15.0
asher hong,SR,14.55
colt walker,SR,14.2
colin van wicklen,SR,13.3
colt walker,SR,14.15
asher hong,SR,13.366
shane wiskus,SR,14.0
colt walker,SR,14.2
colt walker,SR,14.1
asher hong,SR,14.65
asher hong,SR,14.45
dallas hale,SR,13.35
dallas hale,SR,13.45
asher hong,SR,14.35
kazuki hayashi,SR,12.25
asher hong,SR,14.2
colt walker,SR,13.566
dallas hale,SR,13.25
donnell whittenburg,SR,13.933
dallas hale,SR,13.2
