iter	Passed	Remaining
0	62	31070
1	67	16850
2	70	11630
3	72	8934
4	76	7527
5	79	6536
6	81	5766
7	84	5222
8	87	4766
9	89	4397
10	92	4094
11	94	3842
12	96	3622
13	99	3471
14	102	3307
15	105	3180
16	107	3047
17	110	2946
18	112	2840
19	114	2738
20	116	2654
21	118	2567
22	120	2502
23	122	2435
24	124	2373
25	127	2319
26	129	2260
27	131	2218
28	134	2180
29	136	2131
30	137	2084
31	139	2042
32	141	2001
33	144	1978
34	146	1945
35	148	1912
36	149	1876
37	152	1849
38	153	1820
39	156	1794
40	158	1769
41	160	1745
42	162	1722
43	163	1698
44	165	1675
45	167	1655
46	169	1633
47	171	1614
48	173	1595
49	175	1577
50	177	1559
51	178	1538
52	181	1527
53	183	1511
54	185	1497
55	187	1484
56	189	1474
57	192	1463
58	193	1450
59	195	1436
60	198	1428
61	201	1422
62	203	1410
63	205	1399
64	207	1388
65	209	1376
66	211	1365
67	213	1355
68	215	1343
69	217	1333
70	218	1321
71	220	1311
72	222	1301
73	224	1291
74	226	1280
75	227	1271
76	230	1266
77	232	1257
78	234	1249
79	236	1239
80	237	1229
81	239	1220
82	241	1212
83	243	1203
84	244	1195
85	246	1187
86	248	1178
87	250	1171
88	251	1163
89	253	1154
90	255	1146
91	256	1139
92	258	1132
93	260	1126
94	262	1118
95	264	1113
96	266	1109
97	269	1103
98	270	1097
99	272	1091
100	274	1085
101	276	1079
102	278	1074
103	280	1068
104	282	1061
105	283	1055
106	285	1049
107	287	1043
108	289	1037
109	290	1031
110	292	1026
111	294	1020
112	296	1016
113	298	1010
114	300	1004
115	301	999
116	304	996
117	306	991
118	308	987
119	310	981
120	312	977
121	313	972
122	315	967
123	317	963
124	319	958
125	321	953
126	323	951
127	325	946
128	327	943
129	330	939
130	332	935
131	334	933
132	336	929
133	338	924
134	340	921
135	343	918
136	345	915
137	347	911
138	349	906
139	351	903
140	354	903
141	357	902
142	360	899
143	362	895
144	364	891
145	366	887
146	369	886
147	371	882
148	373	879
149	375	876
150	378	874
151	379	869
152	382	866
153	384	863
154	386	859
155	388	856
156	390	853
157	393	852
158	395	848
159	398	845
160	400	842
161	402	839
162	405	837
163	407	834
164	409	831
165	412	829
166	414	826
167	416	823
168	419	822
169	422	819
