Name,Sex,Age,Height,Weight,NOC,Year,Event,Medal
Irene Abel,F,19.0,160.0,48.0,GDR,1972,Vault,none
Ruth Abeles,F,18.0,153.0,48.0,ISR,1960,Vault,none
Elisabeta Abrudeanu,F,26.0,,,ROU,1952,Vault,none
Ginko Abukawa-Chiba,F,22.0,148.0,46.0,JPN,1960,Vault,none
Ginko Abukawa-Chiba,F,26.0,148.0,46.0,JPN,1964,Vault,none
Lena Kristina Adler,F,18.0,162.0,56.0,SWE,1960,Vault,none
Lena Annika Adomat,F,16.0,162.0,56.0,SWE,1980,Vault,none
Lena Annika Adomat,F,20.0,162.0,56.0,SWE,1984,Vault,none
Lavinia Agache (-Carney),F,16.0,148.0,40.0,ROU,1984,Vault,Bronze
Mirabella Viliamivna Akhunu,F,17.0,159.0,50.0,UKR,2004,Vault,none
Angela Alberti,F,23.0,163.0,55.0,ITA,1972,Vault,none
Nancy Aldama Ruiloba,F,22.0,156.0,52.0,CUB,1968,Vault,none
Liliyana Lyubenova Aleksandrova,F,21.0,167.0,67.0,BUL,1964,Vault,none
Monique Marie Allen,F,16.0,157.0,46.0,AUS,1988,Vault,none
Monique Marie Allen,F,20.0,157.0,46.0,AUS,1992,Vault,none
Lenke Almsi,F,15.0,148.0,40.0,HUN,1980,Vault,none
Barbara Alred (-Collins),F,18.0,157.0,52.0,GBR,1972,Vault,none
Maria Avelina Alvarez,F,18.0,162.0,45.0,POR,1980,Vault,none
Simona Amnar (-Tabr),F,16.0,158.0,44.0,ROU,1996,Vault,Gold
Simona Amnar (-Tabr),F,20.0,158.0,44.0,ROU,2000,Vault,none
Hilda Amezaga Harfuch,F,18.0,155.0,47.0,MEX,1972,Vault,none
Maria Laura Silva Amorim,F,20.0,,,POR,1952,Vault,none
An Myong-Hwa,F,17.0,,,PRK,1992,Vault,none
Trine Helene Andresen (-Svendheim),F,16.0,158.0,54.0,NOR,1972,Vault,none
Stoyanka Dobreva Angelova,F,24.0,,,BUL,1952,Vault,none
Maria Apostolidi,F,15.0,150.0,39.0,GRE,2004,Vault,none
Elbieta Rozalia Apostolska (-Kamiska),F,20.0,159.0,56.0,POL,1964,Vault,none
Lise Isabelle Arsenault-Goertz,F,17.0,162.0,49.0,CAN,1972,Vault,none
Lise Isabelle Arsenault-Goertz,F,21.0,162.0,49.0,CAN,1976,Vault,none
Elena Artamendi Garca,F,21.0,,,ESP,1960,Vault,none
Montserrat Artamendi Garca,F,18.0,,,ESP,1960,Vault,none
Marta Artigas y Masdeu,F,16.0,160.0,32.0,ESP,1984,Vault,none
Polina Hryhorivna Astakhova,F,20.0,166.0,56.0,URS,1956,Vault,none
Polina Hryhorivna Astakhova,F,23.0,166.0,56.0,URS,1960,Vault,none
Polina Hryhorivna Astakhova,F,27.0,166.0,56.0,URS,1964,Vault,none
Rayna Atanasova,F,24.0,166.0,62.0,BUL,1968,Vault,none
Martine Audin (-Bonin),F,17.0,154.0,49.0,FRA,1976,Vault,none
Nadine Audin (-Bredillet),F,14.0,160.0,50.0,FRA,1972,Vault,none
Nadine Audin (-Bredillet),F,18.0,160.0,50.0,FRA,1976,Vault,none
Eila Kaarina Autio (-Helle),F,19.0,164.0,51.0,FIN,1960,Vault,none
Bae Eun-Mi,F,15.0,155.0,43.0,KOR,1988,Vault,none
Monique Baelden (-Gorski),F,26.0,162.0,56.0,FRA,1964,Vault,none
Teofila Biau,F,24.0,,,ROU,1952,Vault,none
Svetlana Nikolayevna Baitova,F,16.0,152.0,39.0,URS,1988,Vault,none
Nataa Bajin-ljepica,F,23.0,157.0,49.0,YUG,1968,Vault,none
Nataa Bajin-ljepica,F,26.0,157.0,49.0,YUG,1972,Vault,none
Mara Rosa Balaguer Torres,F,18.0,,,ESP,1960,Vault,none
Bernadett Balzs,F,17.0,163.0,50.0,HUN,1992,Vault,none
Ildik Balog,F,14.0,153.0,47.0,HUN,1992,Vault,none
Oana Mihaela Ban,F,18.0,139.0,36.0,ROU,2004,Vault,none
gnes Bnfai,F,21.0,159.0,52.0,HUN,1968,Vault,none
Melanie Louise Banville,F,17.0,158.0,52.0,CAN,2004,Vault,none
Jade Fernandes Barbosa,F,17.0,151.0,45.0,BRA,2008,Vault,none
Magorzata Barlak-Kamasiska,F,20.0,160.0,54.0,POL,1972,Vault,none
Marian Emma Barone (Twining-),F,28.0,,,USA,1952,Vault,none
Joanna Danuta Bartosz (-Bronarska),F,18.0,154.0,42.0,POL,1972,Vault,none
Daniela Brtov (-Breckov),F,18.0,163.0,64.0,TCH,1992,Vault,none
Kerry Battersby (-Agg),F,15.0,163.0,52.0,AUS,1984,Vault,none
Anne-Marie Bauduin,F,16.0,145.0,40.0,FRA,1988,Vault,none
Maritta Bauerschmidt (-Grieig),F,18.0,158.0,43.0,GDR,1968,Vault,none
Nereida Gloria Bauta Soles,F,18.0,154.0,50.0,CUB,1968,Vault,none
Kerry Bayliss (-Lindsay),F,18.0,157.0,41.0,AUS,1980,Vault,none
Patrizia Bazzi,F,15.0,155.0,43.0,SUI,1972,Vault,none
Julie Beaulieu,F,17.0,155.0,48.0,CAN,2000,Vault,none
Liliane Becker,F,17.0,157.0,51.0,LUX,1960,Vault,none
Astrid Beckers,F,18.0,163.0,50.0,FRG,1984,Vault,none
Elvira Johanna Maria Becks,F,16.0,,,NED,1992,Vault,none
"Janice May ""Jan"" Bedford (-Pyke)",F,19.0,151.0,51.0,AUS,1964,Vault,none
Monika Beer,F,15.0,164.0,50.0,SUI,1984,Vault,none
Ilona Bksi,F,14.0,166.0,55.0,HUN,1968,Vault,none
Ilona Bksi,F,18.0,166.0,55.0,HUN,1972,Vault,none
Teja Belak,F,22.0,157.0,48.0,SLO,2016,Vault,none
