ID,Age,Height,Weight,Year,Games_code,Team_code,City_code,Event_code
394,19.0,160.0,48.0,1972,8,21,13,3
394,19.0,160.0,48.0,1972,8,21,13,4
394,19.0,160.0,48.0,1972,8,21,13,1
394,19.0,160.0,48.0,1972,8,21,13,2
394,19.0,160.0,48.0,1972,8,21,13,5
394,19.0,160.0,48.0,1972,8,21,13,0
396,25.0,165.0,55.0,2008,17,25,4,3
396,25.0,165.0,55.0,2008,17,25,4,4
396,25.0,165.0,55.0,2008,17,25,4,1
396,25.0,165.0,55.0,2008,17,25,4,5
396,25.0,165.0,55.0,2008,17,25,4,0
403,18.0,153.0,48.0,1960,5,35,15,3
403,18.0,153.0,48.0,1960,5,35,15,1
403,18.0,153.0,48.0,1960,5,35,15,2
403,18.0,153.0,48.0,1960,5,35,15,5
403,18.0,153.0,48.0,1960,5,35,15,0
581,26.0,0.0,0.0,1952,3,58,6,3
581,26.0,0.0,0.0,1952,3,58,6,4
581,26.0,0.0,0.0,1952,3,58,6,1
581,26.0,0.0,0.0,1952,3,58,6,2
581,26.0,0.0,0.0,1952,3,58,6,5
581,26.0,0.0,0.0,1952,3,58,6,0
610,22.0,148.0,46.0,1960,5,38,15,3
610,22.0,148.0,46.0,1960,5,38,15,4
610,22.0,148.0,46.0,1960,5,38,15,1
610,22.0,148.0,46.0,1960,5,38,15,2
610,22.0,148.0,46.0,1960,5,38,15,5
610,22.0,148.0,46.0,1960,5,38,15,0
610,26.0,148.0,46.0,1964,6,38,18,3
610,26.0,148.0,46.0,1964,6,38,18,4
610,26.0,148.0,46.0,1964,6,38,18,1
610,26.0,148.0,46.0,1964,6,38,18,2
610,26.0,148.0,46.0,1964,6,38,18,5
610,26.0,148.0,46.0,1964,6,38,18,0
627,16.0,150.0,40.0,2008,17,58,4,3
627,16.0,150.0,40.0,2008,17,58,4,4
627,16.0,150.0,40.0,2008,17,58,4,1
627,16.0,150.0,40.0,2008,17,58,4,0
970,18.0,162.0,56.0,1960,5,67,15,3
970,18.0,162.0,56.0,1960,5,67,15,4
970,18.0,162.0,56.0,1960,5,67,15,1
970,18.0,162.0,56.0,1960,5,67,15,2
970,18.0,162.0,56.0,1960,5,67,15,5
970,18.0,162.0,56.0,1960,5,67,15,0
976,17.0,153.0,38.0,2012,18,67,7,3
976,17.0,153.0,38.0,2012,18,67,7,1
976,17.0,153.0,38.0,2012,18,67,7,5
976,17.0,153.0,38.0,2012,18,67,7,0
1003,16.0,162.0,56.0,1980,10,67,12,3
1003,16.0,162.0,56.0,1980,10,67,12,1
1003,16.0,162.0,56.0,1980,10,67,12,2
1003,16.0,162.0,56.0,1980,10,67,12,5
1003,16.0,162.0,56.0,1980,10,67,12,0
1003,20.0,162.0,56.0,1984,11,67,8,3
1003,20.0,162.0,56.0,1984,11,67,8,1
1003,20.0,162.0,56.0,1984,11,67,8,2
1003,20.0,162.0,56.0,1984,11,67,8,5
1003,20.0,162.0,56.0,1984,11,67,8,0
1071,16.0,158.0,48.0,2008,17,59,4,3
1071,16.0,158.0,48.0,2008,17,59,4,4
1071,16.0,158.0,48.0,2008,17,59,4,1
1071,16.0,158.0,48.0,2008,17,59,4,5
1071,16.0,158.0,48.0,2008,17,59,4,0
1071,20.0,158.0,48.0,2012,18,59,7,4
1071,20.0,158.0,48.0,2012,18,59,7,1
1071,20.0,158.0,48.0,2012,18,59,7,0
1109,16.0,148.0,40.0,1984,11,58,8,3
1109,16.0,148.0,40.0,1984,11,58,8,4
1109,16.0,148.0,40.0,1984,11,58,8,1
1109,16.0,148.0,40.0,1984,11,58,8,2
1109,16.0,148.0,40.0,1984,11,58,8,5
1109,16.0,148.0,40.0,1984,11,58,8,0
1211,19.0,0.0,0.0,1928,0,48,0,4
1505,22.0,0.0,0.0,1948,2,26,7,4
1667,17.0,159.0,50.0,2004,16,71,1,3
1667,17.0,159.0,50.0,2004,16,71,1,4
1667,17.0,159.0,50.0,2004,16,71,1,1
1667,17.0,159.0,50.0,2004,16,71,1,2
1667,17.0,159.0,50.0,2004,16,71,1,5
1667,17.0,159.0,50.0,2004,16,71,1,0
2336,23.0,163.0,55.0,1972,8,36,13,3
2336,23.0,163.0,55.0,1972,8,36,13,4
2336,23.0,163.0,55.0,1972,8,36,13,1
2336,23.0,163.0,55.0,1972,8,36,13,2
2336,23.0,163.0,55.0,1972,8,36,13,5
2336,23.0,163.0,55.0,1972,8,36,13,0
2423,22.0,156.0,52.0,1968,7,16,10,3
2423,22.0,156.0,52.0,1968,7,16,10,4
2423,22.0,156.0,52.0,1968,7,16,10,1
2423,22.0,156.0,52.0,1968,7,16,10,2
2423,22.0,156.0,52.0,1968,7,16,10,5
2423,22.0,156.0,52.0,1968,7,16,10,0
2490,21.0,167.0,67.0,1964,6,9,18,3
2490,21.0,167.0,67.0,1964,6,9,18,1
2490,21.0,167.0,67.0,1964,6,9,18,2
2490,21.0,167.0,67.0,1964,6,9,18,5
2490,21.0,167.0,67.0,1964,6,9,18,0
2860,16.0,157.0,46.0,1988,12,3,16,3
2860,16.0,157.0,46.0,1988,12,3,16,1
2860,16.0,157.0,46.0,1988,12,3,16,2
2860,16.0,157.0,46.0,1988,12,3,16,5
2860,16.0,157.0,46.0,1988,12,3,16,0
2860,20.0,157.0,46.0,1992,13,3,3,3
2860,20.0,157.0,46.0,1992,13,3,3,4
2860,20.0,157.0,46.0,1992,13,3,3,1
2860,20.0,157.0,46.0,1992,13,3,3,2
2860,20.0,157.0,46.0,1992,13,3,3,5
2860,20.0,157.0,46.0,1992,13,3,3,0
2959,15.0,148.0,40.0,1980,10,30,12,3
2959,15.0,148.0,40.0,1980,10,30,12,4
2959,15.0,148.0,40.0,1980,10,30,12,1
2959,15.0,148.0,40.0,1980,10,30,12,2
2959,15.0,148.0,40.0,1980,10,30,12,5
2959,15.0,148.0,40.0,1980,10,30,12,0
3066,18.0,157.0,52.0,1972,8,26,13,3
3066,18.0,157.0,52.0,1972,8,26,13,4
3066,18.0,157.0,52.0,1972,8,26,13,1
3066,18.0,157.0,52.0,1972,8,26,13,2
3066,18.0,157.0,52.0,1972,8,26,13,5
3066,18.0,157.0,52.0,1972,8,26,13,0
3081,16.0,158.0,50.0,2016,19,25,14,4
3081,16.0,158.0,50.0,2016,19,25,14,5
3081,16.0,158.0,50.0,2016,19,25,14,0
3142,18.0,162.0,45.0,1980,10,56,12,3
3142,18.0,162.0,45.0,1980,10,56,12,1
3142,18.0,162.0,45.0,1980,10,56,12,2
3142,18.0,162.0,45.0,1980,10,56,12,5
3142,18.0,162.0,45.0,1980,10,56,12,0
3267,19.0,155.0,59.0,2016,19,52,14,3
3267,19.0,155.0,59.0,2016,19,52,14,1
3267,19.0,155.0,59.0,2016,19,52,14,5
3267,19.0,155.0,59.0,2016,19,52,14,0
3281,16.0,158.0,44.0,1996,14,58,2,3
3281,16.0,158.0,44.0,1996,14,58,2,4
3281,16.0,158.0,44.0,1996,14,58,2,1
3281,16.0,158.0,44.0,1996,14,58,2,2
3281,16.0,158.0,44.0,1996,14,58,2,5
3281,16.0,158.0,44.0,1996,14,58,2,0
3281,20.0,158.0,44.0,2000,15,58,17,3
3281,20.0,158.0,44.0,2000,15,58,17,4
3281,20.0,158.0,44.0,2000,15,58,17,1
3281,20.0,158.0,44.0,2000,15,58,17,2
3281,20.0,158.0,44.0,2000,15,58,17,5
3281,20.0,158.0,44.0,2000,15,58,17,0
3362,14.0,0.0,0.0,1928,0,36,0,4
3423,18.0,155.0,47.0,1972,8,44,13,3
3423,18.0,155.0,47.0,1972,8,44,13,4
3423,18.0,155.0,47.0,1972,8,44,13,1
3423,18.0,155.0,47.0,1972,8,44,13,2
3423,18.0,155.0,47.0,1972,8,44,13,5
3423,18.0,155.0,47.0,1972,8,44,13,0
3501,20.0,0.0,0.0,1952,3,56,6,3
3501,20.0,0.0,0.0,1952,3,56,6,1
3501,20.0,0.0,0.0,1952,3,56,6,2
3501,20.0,0.0,0.0,1952,3,56,6,5
3501,20.0,0.0,0.0,1952,3,56,6,0
3594,17.0,0.0,0.0,1992,13,50,3,3
3594,17.0,0.0,0.0,1992,13,50,3,4
3594,17.0,0.0,0.0,1992,13,50,3,1
3594,17.0,0.0,0.0,1992,13,50,3,2
3594,17.0,0.0,0.0,1992,13,50,3,5
3594,17.0,0.0,0.0,1992,13,50,3,0
3928,24.0,0.0,0.0,1948,2,67,7,4
3957,23.0,0.0,0.0,1948,2,67,7,4
4048,17.0,151.0,46.0,2016,19,8,14,3
4048,17.0,151.0,46.0,2016,19,8,14,4
4048,17.0,151.0,46.0,2016,19,8,14,1
4048,17.0,151.0,46.0,2016,19,8,14,5
4048,17.0,151.0,46.0,2016,19,8,14,0
4131,16.0,158.0,54.0,1972,8,51,13,3
4131,16.0,158.0,54.0,1972,8,51,13,4
4131,16.0,158.0,54.0,1972,8,51,13,1
4131,16.0,158.0,54.0,1972,8,51,13,2
4131,16.0,158.0,54.0,1972,8,51,13,5
4131,16.0,158.0,54.0,1972,8,51,13,0
4309,24.0,0.0,0.0,1952,3,9,6,3
