Vault,VT_EXEC,UE_EXEC,BB_EXEC,FX_EXEC
9.800,9.8,8.35,8.05,8.1
9.350,9.35,8.6,7.65,8.25
9.350,9.35,8.5,7.95,7.4
9.250,9.25,8.3,7.95,7.85
9.300,9.3,8.3,7.8,7.6
9.100,9.1,7.5,7.85,8.25
8.850,8.85,7.45,7.5,7.85
9.050,9.05,7.1,7.2,7.3
8.850,8.85,8.05,6.35,7.55
8.950,8.95,7.9,7.8,7.8
9.200,9.2,6.15,8.05,7.85
8.850,8.85,7.85,7.8,7.1
9.000,9.0,8.2,7.6,7.8
8.950,8.95,8.5,8.15,7.5
8.950,8.95,7.1,7.8,8.2
9.000,9.0,6.95,8.0,7.5
9.150,9.15,7.9,6.95,7.4
9.000,9.0,7.7,7.7,7.4
9.000,9.0,7.1,6.2,8.0
8.350,8.35,6.95,6.45,7.45
9.000,9.0,7.55,6.6,7.7
8.950,8.95,8.0,7.7,7.5
8.900,8.9,7.0,7.0,7.7
8.550,8.55,6.0,7.55,6.8
8.550,8.55,7.85,6.7,7.25
8.800,8.8,6.7,7.4,6.15
8.850,8.85,7.8,0.0,0.0
9.150,9.15,0.0,7.65,0.0
0.000,0.0,0.0,0.0,0.0
