Rank,Team,,,,,Total
,United States,45.166 (1),42.299 (2),40.966 (1),43.899 (1),172.330
Simone Biles,15.400,14.600,14.433,15.333
Jade Carey,15.166,,,14.333
Kara Eaker,,,14.000,
Sunisa Lee,,14.733,12.533,14.233
Grace McCallum,14.600,12.966,,
,Russia,43.899 (2),43.665 (1),38.465 (6),40.500 (3),166.529
Anastasia Agafonova,,14.566,12.166,
Lilia Akhaimova,14.733,,12.533,13.600
Angelina Melnikova,14.533,14.333,13.766,13.900
Aleksandra Shchekoldina,14.633,,,13.000
Daria Spiridonova,,14.766,,
,Italy,43.732 (3),42.299 (3),38.799 (4),39.966 (6),164.796
Desiree Carofiglio,,,,13.333
Alice D'Amato,14.533,14.133,,
Asia D'Amato,14.533,,13.266,13.333
Elisa Iorio,,13.900,11.933,
Giorgia Villa,14.666,14.266,13.600,13.300
4,China,43.066 (5),40.199 (6),40.599 (2),40.366 (4),164.230
Chen Yile,,13.733,14.000,
Li Shijia,14.166,,14.266,
Liu Tingting,,11.900,12.333,13.433
Qi Qi,14.600,,,13.433
Tang Xijing,14.300,14.566,,13.500
5,France,43.599 (4),40.565 (5),38.732 (5),40.732 (2),163.628
Marine Boyer,,,13.833,13.266
Lorette Charpy,,14.033,12.666,
Mélanie de Jesus dos Santos,14.733,14.366,12.233,14.166
Aline Friess,14.900,,,13.300
Claire Pontlevoy,13.966,12.166,,
6,Great Britain,42.632 (8),42.099 (4),39.499 (3),37.265 (8),161.495
Becky Downie,,14.900,13.566,
Ellie Downie,14.566,14.033,,
Georgia-Mae Fenton,,13.166,12.233,11.933
Taeja James,13.800,,,13.266
Alice Kinsella,14.266,,13.700,12.066
7,Canada,43.033 (6),39.899 (7),37.965 (7),39.666 (7),160.563
Ellie Black,14.200,14.033,13.366,13.433
Brooklyn Moors,14.133,12.533,12.466,13.200
Shallon Olsen,14.700,,,13.033
Ana Padurariu,,,12.133,
Victoria-Kayen Woo,,13.333,,
8,Netherlands,42.732 (7),39.098 (8),37.432 (8),40.165 (5),159.427
Eythora Thorsdottir,14.466,,11.400,13.633
Naomi Visser,14.066,14.066,13.166,
Tisha Volleman,14.200,,,13.566
Lieke Wevers,,12.466,,12.966
Sanne Wevers,,12.566,12.866,
