Rank,Athlete,Nation,D,E,ND,Total,Average
1,Teja Belak,Slovenia,5.4,9.033,,14.433,14.283
1,Teja Belak,Slovenia,5,9.133,,14.133,14.283
2,Angelina Melnikova,Russia,5.4,8.8,-0.1,14.1,14.133
2,Angelina Melnikova,Russia,5.2,8.966,,14.166,14.133
3,Sara Peter,Hungary,5.4,8.933,,14.333,14.066
3,Sara Peter,Hungary,5,8.8,,13.8,14.066
4,Gabriela Janik,Poland,4.8,8.833,,13.633,13.699
4,Gabriela Janik,Poland,4.8,8.966,,13.766,13.699
5,Ofir Netzer,Israel,4.8,8.9,,13.7,13.666
5,Ofir Netzer,Israel,4.8,8.833,,13.633,13.666
6,Marina Nekrasova,Azerbaijan,5.4,7.6,-0.1,12.9,13.466
6,Marina Nekrasova,Azerbaijan,5.2,8.833,,14.033,13.466
