Rank,Athlete,Nation,D,E,ND,Total
1,Angelina Melnikova,Russia,5.9,8.033,-0.1,13.833
2,Melanie De Jesus Dos Santos,France,5.5,8.233,,13.733
3,Axelle Klinckaert,Belgium,5.3,8.1,,13.4
4,Georgia-Mae Fenton,Great Britain,4.8,8.4,,13.2
5,Denisa Golgota,Romania,5.2,7.966,,13.166
6,Jessica Castles,Sweden,4.9,8.2,,13.1
7,Martina Basile,Italy,5.2,7.9,,13.1
8,Celine van Gerner,Netherlands,4.6,8.466,,13.066
9,Angelina Simakova,Russia,4.9,8.166,,13.066
10,Kelly Simm,Great Britain,5,7.933,,12.933
11,Leah Griesser,Germany,4.8,8.1,,12.9
12,Alice Kinsella,Great Britain,5,7.9,,12.9
13,Nina Derwael,Belgium,5,7.966,-0.1,12.866
14,Aneta Holasova,Czech Republic,4.7,8.133,,12.833
15,Marine Boyer,France,4.8,8.033,,12.833
16,Pauline Schäfer,Germany,4.8,8.066,-0.1,12.766
17,Kim Bui,Germany,5.1,7.733,-0.1,12.733
18,Tisha Volleman,Netherlands,4.7,8,,12.7
18,Ilaria Käslin,Switzerland,4.7,8,,12.7
20,Lorette Charpy,France,4.8,7.9,,12.7
20,Marta Pihan-Kulesza,Poland,4.8,7.9,,12.7
22,Diana Varinska,Ukraine,5.2,7.566,-0.1,12.666
23,Dorina Böczögö,Hungary,4.8,8.133,-0.3,12.633
24,Cintia Rodriguez,Spain,4.5,8.133,,12.633
25,Maellyse Brassart,Belgium,4.9,7.733,,12.633
26,Francesca Noemi Linari,Italy,4.8,7.8,,12.6
27,Barbora Mokosova,Slovakia,4.6,7.933,,12.533
28,Sara Peter,Hungary,4.6,7.933,,12.5
29,Carmen Ghiciuc,Romania,4.9,7.6,,12.5
30,Nora Feher,Hungary,4.6,7.833,,12.433
31,Valeriia Osipova,Ukraine,4.8,7.6,,12.4
32,Ana Perez,Spain,4.8,7.566,,12.366
33,Sani Mäkelä,Finland,4.5,7.733,,12.233
34,Linnea Wang,Denmark,4.4,7.8,,12.2
35,Gabriela Janik,Poland,4.5,7.7,,12.2
36,Vera van Pol,Netherlands,4.5,7.766,-0.1,12.166
37,Caterina Cereghetti,Italy,4.6,7.666,-0.1,12.166
38,Jasmin Mader,Austria,4.6,7.533,,12.133
39,Dominika Ponizilova,Czech Republic,4.5,7.6,,12.1
40,Thea Nygaard,Norway,4.6,7.5,,12.1
41,Mariana Marianito,Portugal,4.2,7.866,,12.066
42,Demet Mutlu,Turkey,4.4,7.766,-0.1,12.066
43,Beatriz Dias,Portugal,4.5,7.566,,12.066
44,Yuliya Inshina,Azerbaijan,4.5,7.533,,12.033
45,Leonie Meier,Switzerland,4.9,7.133,,12.033
46,Angelina Radivilova,Ukraine,5.1,6.933,,12.033
47,Anastasia Theocharous,Cyprus,4.3,7.7,,12
48,Bianca Frysak,Austria,4.4,7.6,,12
49,Pamela Georgieva,Bulgaria,4.4,7.6,,12
50,Tutya Yilmaz,Turkey,4.7,7.3,,12
51,Meaghan Smith,Ireland,4.8,7.2,,12
52,Lucija Hribar,Slovenia,4.2,7.766,,11.966
52,Thea Brogli,Switzerland,4.2,7.766,,11.966
54,Siiri Saukkonen,Finland,4.1,7.8,,11.9
55,Edel Fosse,Norway,4.4,7.5,-0.1,11.8
56,Margret Kristinsdottir,Iceland,4,7.766,,11.766
57,Gloria Philassides,Cyprus,4.2,7.566,,11.766
58,Thelma Adalsteinsdottir,Iceland,4.3,7.466,,11.766
59,Katarzyna Jurkowska,Poland,4,7.733,,11.733
60,Lilia Akhaimova,Russia,5.4,6.633,-0.3,11.733
61,Mette Hulgaard,Denmark,4.2,7.5,,11.7
62,Enni Kettunen,Finland,4.4,7.233,,11.633
63,Leonor Silva,Portugal,4.2,7.4,,11.6
64,Anna Subbotina,Georgia,4.3,7.233,,11.533
65,Radoslava Kalamarova,Slovakia,4.1,7.366,,11.466
66,Chiara Bunce,Slovakia,4.7,7.1,-0.4,11.4
67,Marlies Männersdorfer,Austria,4.3,7.1,,11.4
68,Christina Zwicker,Croatia,4.3,7,,11.3
68,Kristyna Brabcova,Czech Republic,4.3,7,,11.3
70,Julie Søderstrøm,Norway,4.2,7.366,-0.3,11.266
71,Tjasa Kysselef,Slovenia,4.4,6.866,,11.266
72,Andrea Carmona,Spain,4.6,6.933,-0.3,11.233
73,Sigridur Bergthorsdottir,Iceland,4.4,7.2,-0.4,11.2
74,Göksu Üctas Sanli,Turkey,4.7,7.033,-0.6,11.133
75,Ofir Netzer,Israel,4.6,6.6,-0.1,11.1
76,Marija Ribalcenko,Latvia,4.5,6.6,,11.1
77,Laura Iacob,Romania,5,6.633,-0.6,11.033
78,Adela Sajn,Slovenia,3.8,7.3,-0.1,11
79,Argyro Afrati,Greece,4.4,6.6,,11
80,Evangelia Monokrousou,Greece,4.1,6.866,,10.966
81,Victoria Kajø,Denmark,3.9,7.266,-0.3,10.866
82,Anastasija Dubova,Latvia,3.6,7.133,,10.733
83,Linda Tugarinova,Latvia,3.9,6.533,,10.433
84,Greta Banishka,Bulgaria,4.2,6.233,,10.433
85,Aurelie Keller,Luxembourg,4.2,6.033,,10.233
86,Ioanna Xoulogi,Greece,3.2,6.366,,9.566
