Rank,Athlete,Nation,D,E,ND,Total
1,Giulia Steingruber,Switzerland,6,8.333,,14.333
2,Ksenia Afanasyeva,Russia,6.1,8.166,,14.266
3,Amy Tinkler,Great Britain,5.9,8.3,,14.2
4,Marta Pihan-Kulesza,Poland,5.9,8.233,,14.133
5,Maria Kharenkova,Russia,5.9,8.166,,14.066
6,Erika Fasana,Italy,6,8.3,-0.3,14
7,Claudia Fragapane,Great Britain,6.1,8.166,-0.3,13.966
8,Andreea Munteanu,Romania,5.4,8.4,,13.8
9,Eythora Thorsdottir,Netherlands,5.6,8.3,-0.1,13.8
10,Claire Martin,France,5.2,8.466,,13.666
11,Laura Jurca,Romania,5.5,8.166,,13.666
12,Filipa Martins,Portugal,5.6,7.966,,13.566
13,Vanessa Ferrari,Italy,5.7,7.825,,13.525
14,Jonna Adlerteg,Sweden,5.2,8.266,,13.466
15,Pauline Tratz,Germany,5.3,8.133,,13.433
16,Ellie Downie,Great Britain,5.6,8.1,-0.3,13.4
17,Carlotta Ferlito,Italy,5.3,8.1,,13.4
18,Camille Bahl,France,5,8.383,,13.383
19,Ana Perez,Spain,5.5,7.8,,13.3
20,Martina Rizzelli,Italy,5.7,7.533,,13.233
21,Dyonnailys Supriana,Netherlands,5.3,8.2,-0.4,13.1
22,Loan His,France,5,8.2,-0.1,13.1
23,Diana Bulimar,Romania,5.5,7.566,,13.066
24,Veronika Cenkova,Czech Republic,5.1,7.866,,12.966
25,Angelina Kysla,Ukraine,5.3,7.733,-0.1,12.933
26,Jessica Diacci,Switzerland,5.1,7.766,,12.866
27,Katarzyna Jurkowska,Poland,5.2,7.733,-0.1,12.833
28,Krystyna Sankova,Ukraine,5.4,7.8,-0.4,12.8
29,Houry Gebeshian,Armenia,4.7,8.033,,12.733
30,Ellis O’Reilly,Ireland,4.9,7.833,,12.733
31,Zoi Lima,Portugal,5,7.733,,12.733
32,Tara Donnelly,Ireland,4.8,7.9,,12.7
33,Ainhoa Carmona,Spain,4.8,7.866,,12.666
34,Gaya Giladi,Israel,4.8,7.833,,12.633
35,Tzuf Feldon,Israel,4.7,7.866,,12.566
36,Tjasa Kysselef,Slovenia,4.6,7.9,,12.5
37,Daria Spiridonova,Russia,5.2,7.266,,12.466
38,Rosanna Ojala,Finland,4.9,7.466,,12.366
39,Barbora Mokosova,Slovakia,4.4,7.933,,12.333
40,Kitti Honti,Hungary,4.9,7.633,,12.333
41,Marina Nekrasova,Azerbaijan,5,7.5,-0.3,12.2
42,Michelle Timm,Germany,4.8,7.5,-0.1,12.2
43,Martine Skregelid,Norway,4.8,7.4,,12.2
44,Carlotta Barloggio,Switzerland,4.9,7.533,-0.3,12.133
45,Monica Sileoni,Finland,4.6,7.533,,12.133
46,Paula Raya,Spain,4.8,7.333,,12.133
47,Maria Simou,Greece,4.4,7.7,,12.1
48,Eniko Horvath,Hungary,4.6,7.466,,12.066
49,Aliaksandra Koshaleva,Belarus,4.2,7.833,,12.033
50,Linnea Wang,Denmark,4.6,7.433,,12.033
51,Louise Vanhille,France,5.2,7.133,-0.3,12.033
52,Albena Zlatkova,Bulgaria,5,7.366,-0.4,11.966
53,Gabriele Blazyte,Lithuania,4.5,7.4,,11.9
54,Noel van Klaveren,Netherlands,5.6,6.366,-0.1,11.866
55,Dominiqua Belanyi,Iceland,4.3,7.6,-0.1,11.8
56,Dina Nygaard,Norway,4.4,7.333,,11.733
57,Norma Robertsdottir,Iceland,4.9,6.833,,11.733
58,Thelma Hermansdottir,Iceland,4.8,6.9,,11.7
59,Nora Fernandez,Spain,5,6.8,-0.1,11.7
60,Mette Hulgaard,Denmark,4.9,7.066,-0.3,11.666
61,Ilaria Käslin,Switzerland,5.2,6.433,,11.633
62,Ralitsa Mileva,Bulgaria,4.1,7.5,,11.6
63,Julie Krogsgaard,Denmark,4.2,7.4,,11.6
64,Nato Dzidziguri,Georgia,4.9,6.866,-0.3,11.466
65,Andrea Orradottir,Iceland,4.4,7.033,,11.433
66,Tutya Yilmaz,Turkey,5.2,6.266,-0.1,11.366
67,Alina Circene,Latvia,4.2,7.1,,11.3
68,Demet Mutlu,Turkey,4.9,6.366,,11.266
69,Suzanne Buttigieg,Malta,3.8,7.433,,11.233
70,Sofie Bråten,Norway,4.4,6.833,,11.233
71,Vaida Zitineviciute,Lithuania,4.4,6.9,-0.1,11.2
72,Anastasija Dubova,Latvia,3.6,7.5,,11.1
73,Anna-Maria Kanyai,Czech Republic,4.9,6.6,-0.4,11.1
74,Ekin Morova,Turkey,5.1,6.333,-0.4,11.033
75,Anastasiya Yekimenka,Belarus,4,6.933,,10.933
76,Mia Haerum,Norway,4.6,6.433,-0.1,10.933
77,Mariia Smirnova,Azerbaijan,4,7.2,-0.4,10.8
78,Claire Rose Azzopardi,Malta,3.6,7.2,,10.8
79,Kirsty Caruana,Malta,4.4,6.033,,10.433
