Date,Competition,,VT,UB,BB,FX,AA
Oct 29-Nov 6,World Championships,EF,0,0,13.3,0,0
Oct 29-Nov 6,World Championships,TF,0,0,13.266,0,0
Oct 29-Nov 6,World Championships,QF,0,12.566,13.733,13.6,0
Oct 21-22,U.S. Worlds Trials,EF,0,14.2,14.55,0,0
Oct 21-22,U.S. Worlds Trials,AA,14.2,13.45,13.55,13.45,54.65
Aug 18-21,U.S. Championships,AA,14.3,13.9,12.95,13.45,54.6
Aug 18-21,U.S. Championships,QF,14.1,13.85,13.45,13.3,54.7
Jul 14-17,Pan American Championships,TF,13.867,13.9,13.067,13.1,53.934
Jul 14-17,Pan American Championships,AA,13.433,13.933,12.3,13.267,52.933
Jul 4-5,U.S. Pan Ams Trials,EF,0,12.266,0,0,0
Jul 4-5,U.S. Pan Ams Trials,AA,14,13.4,14.3,13.55,55.25
Mar 18-20,DTB Pokal Team Challenge,AA,14.266,12,12.9,13.366,52.532
Feb 24-27,Winter Cup,AA,13.8,13.15,13.5,13.25,53.7
12-Feb,WOGA Classic,AA,0,0,14.25,13.25,0
