Date,Competition,,VT,UB,BB,FX,AA
Oct 18-24,World Championships,EF,0,0,11.866,13.633,0
Oct 18-24,World Championships,AA,14.6,12.766,13.4,13.8,54.566
Oct 18-24,World Championships,QF,14.5,13.9,13.5,13.8,55.7
8-Oct,U.S. Worlds Trials,AA,14.55,13.95,13.25,13.6,55.35
Jun 24-27,U.S. Olympic Trials,AA,14.833,12.8,13.8,13.5,54.933
Jun 24-27,U.S. Olympic Trials,QF,14.6,13.966,13.766,13.966,56.298
Jun 3-6,U.S. Championships,AA,14.4,13.55,12.55,14.05,54.55
Jun 3-6,U.S. Championships,QF,14.65,12.9,12.65,14.05,54.25
May 21-22,U.S. Classic,AA,14.35,14.6,13.3,13.85,56.1
24-Apr,American Classic,AA,0,14.6,13.2,0,0
13-Mar,March National Team Camp,AA,14.8,13.15,14.05,13.85,55.85
