Date,Competition,,VT,UB,BB,FX,AA
Jul 23-Aug 8,Olympic Games,EF,0,14.5,13.866,0,0
Jul 23-Aug 8,Olympic Games,AA,14.6,15.3,13.833,13.7,57.433
Jul 23-Aug 8,Olympic Games,TF,0,15.4,14.133,13.666,0
Jul 23-Aug 8,Olympic Games,QF,14.333,15.2,14.2,13.433,57.166
Jun 24-27,U.S. Olympic Trials,AA,14.6,14.9,14.733,13.933,58.166
Jun 24-27,U.S. Olympic Trials,QF,14.4,15.3,14.733,13.233,57.666
Jun 3-6,U.S. Championships,AA,14.3,14.9,14.7,13.7,57.6
Jun 3-6,U.S. Championships,QF,14.4,15.3,13.9,13.75,57.35
May 21-22,U.S. Classic,AA,0,13.5,13.35,0,0
24-Apr,American Classic,AA,0,15.2,14.55,13,0
13-Mar,March National Team Camp,AA,0,14.55,13.6,0,0
Feb 26-28,Winter Cup,AA,0,15.05,14.25,0,0
