Date,Competition,,VT,UB,BB,FX,AA
Oct 18-24,World Championships,EF,0,0,13.333,13.833,0
Oct 18-24,World Championships,AA,14.341,14.066,13.9,14.033,56.34
Oct 18-24,World Championships,QF,14.366,13.683,13.7,14,55.749
8-Oct,U.S. Worlds Trials,AA,14.25,12.25,13.1,13.8,53.4
Jun 24-27,U.S. Olympic Trials,AA,14.7,13.8,14,14.233,56.733
Jun 24-27,U.S. Olympic Trials,QF,14.7,13.666,11.5,13.933,53.799
Jun 3-6,U.S. Championships,AA,14.55,14,12.7,13.6,54.85
Jun 3-6,U.S. Championships,QF,14.75,12.7,13.65,14.2,55.3
May 21-22,U.S. Classic,AA,14.2,11.9,14.45,13.55,54.1
24-Apr,American Classic,AA,14.4,14.15,12.95,12.95,54.45
13-Mar,March National Team Camp,AA,14.8,12.7,13.7,13.9,55.1
