Rank,Athlete,Nation,Meet,Score
1,Viktoria Listunova,Russia,Russian Championships EF,15.1
2,Simone Biles,United States,U.S. Classic,14.9
3,Angelina Melnikova,Russia,Russian Championships AA,14.766
4,Alice D’Amato,Italy,3rd Italian Serie A,14.4
5,Joscelyn Roberson,United States,DTB Pokal Team Challenge AA,14.15
6,Kaliya Lincoln,United States,Las Vegas National Qualifier,14.1
7,Manila Esposito,Italy,Italian Serie A Final Six TF,14.05
8,Jessica Gadirova,Great Britain,European Championships EF,14
8,Ou Yushan,China,Chinese Championships TF,14
10,Lyudmila Roshchina*,Russia,Russian Junior Championships QF,13.966
