Rank,Athlete,Nation,Meet,Score
1,Hashimoto Daiki,Japan,Summer Universiade QF,15.266
2,Zhang Boheng,China,Summer Universiade QF,15.233
3,Shi Cong,China,Summer Universiade QF,15.2
4,Tanaka Yusuke,Japan,All-Japan Event Championships EF,15.1
4,Tian Hao,China,Asian Championships AA,15.1
6,Maeda Fusuke,Japan,All-Japan Event Championships EF,15.033
7,Sugino Takaaki,Japan,All-Japan Event Championships EF,15
8,Tang Chia-Hung,Taiwan,Paris Challenge Cup EF,14.95
9,Milad Karimi,Kazakhstan,Summer Universiade EF,14.8
9,Lin Chaopan,China,Asian Games EF,14.8
9,Su Weide,China,Asian Championships AA,14.8
