Rank,Athlete,Nation,Meet,Score
1,Hashimoto Daiki,Japan,World Championships EF,6.7
2,Sugino Takaaki,Japan,All-Japan Event Championships EF,6.6
3,Maeda Fusuke,Japan,All-Japan Event Championships EF,6.5
4,Doi Ryosuke,Japan,DTB Pokal Team Challenge AA,6.4
4,Félix Dolci,Canada,3rd Bundesliga,6.4
4,Kawakami Shohei,Japan,Asian Games AA,6.4
4,Illia Kovtun,Ukraine,Hungarian Championships AA,6.4
4,Noah Kuavita,Belgium,Ghent Friendly,6.4
4,Tian Hao,China,Asian Championships EF,6.4
4,Zhang Boheng,China,Asian Games EF,6.4
