Rank,Athlete,Nation,Meet,Score
1,Curran Phillips,United States,U.S. Classic,6.9
1,Zou Jingyuan,China,Chinese Championships TF,6.9
3,Illia Kovtun,Ukraine,World Championships AA,6.7
3,You Hao,China,World Championships TF,6.7
5,Lukas Dauser,Germany,World Championships EF,6.6
5,Matteo Levantesi,Italy,3rd Italian Serie A,6.6
5,Yul Moldauer,United States,World Championships TF,6.6
5,Oleg Verniaiev,Ukraine,World Championships QF,6.6
9,Ferhat Arican,Türkiye,World Championships QF,6.5
9,Kamoto Yuya,Japan,All-Japan Event Championships QF,6.5
9,Carlos Yulo,Philippines,Baku World Cup EF,6.5
