Rank,Athlete,Nation,Meet,Score
1,Lan Xingyu,China,Asian Games EF,15.433
2,Liu Yang,China,Doha World Cup EF,15.366
3,Marco Lodadio,Italy,3rd Bundesliga,15.3
3,Eleftherios Petrounias,Greece,Szombathely Challenge Cup QF,15.3
5,Zou Jingyuan,China,Summer Universiade EF,15.266
6,Artur Davtyan,Armenia,European Championships EF,15.166
7,Nikita Simonov,Azerbaijan,Mersin Challenge Cup QF,15.1
8,Adem Asil,Türkiye,European Championships AA,15.033
9,Donnell Whittenburg,United States,U.S. Championships QF,15
10,Mehmet Ayberk Kosak,Türkiye,Turkish Championships AA,14.95
