Rank,Athlete,Nation,Meet,Score
1,You Hao,China,World Championships EF,6.7
2,Lan Xingyu,China,Asian Games EF,6.4
2,Liu Yang,China,World Championships EF,6.4
2,Takahashi Kazuya,Japan,All-Japan Super Specialists,6.4
2,Zou Jingyuan,China,Summer Universiade QF,6.4
6,Adem Asil,Türkiye,World Championships QF,6.3
6,Haruki Minori,Japan,All-Japan Super Specialists,6.3
6,Jong Ryong Il,North Korea,Asian Games EF,6.3
6,Marco Lodadio,Italy,European Championships EF,6.3
6,Eleftherios Petrounias,Greece,World Championships EF,6.3
