Rank,Athlete,Nation,Meet,Score
1,Jake Jarman,Great Britain,British Championships EF,15.175
2,Artur Davtyan,Armenia,Cairo World Cup EF,15.166
3,Tanigawa Wataru,Japan,Asian Games QF,15.033
4,Mahdi Olfati,Iran,Cottbus World Cup EF,14.983
5,Carlos Yulo,Philippines,Baku World Cup EF,14.933
6,Nazar Chepurnyi,Ukraine,Szombathely Challenge Cup QF,14.925
6,Harry Hepworth,Great Britain,DTB Pokal Team Challenge AA,14.925
8,Igor Radivilov,Ukraine,Doha World Cup EF,14.899
9,Asher Hong,United States,DTB Pokal Team Challenge AA,14.875
10,Khoi Young,United States,World Championships EF,14.849
