Rank,Athlete,Nation,Meet,Score
1,Jake Jarman,Great Britain,British Worlds Trials,15.6
2,Asher Hong,United States,DTB Pokal Team Challenge AA,15.45
3,Artur Davtyan,Armenia,Cairo World Cup EF,15.266
3,Iwasawa Shoei,Japan,All-Japan Event Championships QF,15.266
3,Tanigawa Wataru,Japan,Asian Games EF,15.266
6,Adem Asil,Türkiye,DTB Pokal Team Challenge AA,15.25
6,Yonekura Hidenobu,Japan,All-Japan Championships QF,15.233
8,Khoi Young,United States,U.S. Championships QF,15.2
9,Mahdi Olfati,Iran,Cottbus World Cup QF,15.166
10,Harry Hepworth,Great Britain,Paris Challenge Cup QF,15.15
