0,1,2,3,4,5,6
Rank,Athlete,Nation,D,E,ND,Total
1,Kenzo Shirai,Japan,7.6,8.700,,16.300
2,Matthias Fahrig,Germany,6.8,8.300,,15.100
3,Diego Hypolito,Brazil,6.5,8.575,,15.075
4,Mathias Philippe,France,6.1,8.750,,14.850
5,Kevin Antoniotti,France,6.1,8.600,,14.700
6,Eleftherios Kosmidis,Greece,6.6,8.100,,14.700
7,Rayderley Zapata,Spain,6.7,7.925,,14.625
8,Bart Deurloo,Netherlands,6.5,8.025,,14.525
9,Ziga Silc,Slovenia,6.1,8.400,,14.500
10,Andrew Paul Smith,Ireland,6.3,8.150,,14.450
11,Rok Klavora,Slovenia,6.2,8.225,,14.425
12,Alexander Shatilov,Israel,6.3,8.125,,14.425
13,Oleg Verniaiev,Ukraine,6.6,7.800,,14.400
14,Artem Dolgopyat,Israel,6.5,7.875,,14.375
15,Stian Skjerahaug,Norway,5.6,8.725,,14.325
16,Waldemar Eichorn,Germany,6.0,8.325,,14.325
17,Eduard Shaulov,Uzbekistan,6.1,8.200,,14.300
18,Jeffrey Wammes,Netherlands,6.1,8.150,,14.250
19,Pablo Braegger,Switzerland,6.5,8.000,-0.3,14.200
20,Dirk Kathan,Austria,5.5,8.525,,14.025
21,Andres Martinez,Colombia,6.2,7.925,-0.1,14.025
22,Vitalijs Kardasovs,Latvia,5.7,8.250,,13.950
23,Robert Tvorogal,Lithuania,5.9,8.025,,13.925
24,Arthur Zanetti,Brazil,6.4,7.925,-0.4,13.925
25,Paata Nozadze,Georgia,5.5,8.400,,13.900
26,Tomas Kuzmickas,Lithuania,6.3,7.675,-0.1,13.875
27,Christian Baumann,Switzerland,5.8,8.025,,13.825
28,Siemon Volkaert,Belgium,6.4,7.500,-0.1,13.800
29,Mauro Martinez,Argentina,5.5,8.225,,13.725
30,Andrea Cingolani,Italy,6.4,7.475,-0.3,13.575
31,Enrique Gonzalez,Chile,6.5,7.075,,13.575
32,Dimitrios Markousis,Greece,6.2,7.250,,13.450
33,Ferhat Arican,Turkey,6.1,7.250,,13.350
34,Ahmet Onder,Turkey,6.0,7.300,,13.300
35,Jossimar Calvo,Colombia,6.5,6.750,,13.250
36,David Vecsernyes,Hungary,5.2,8.025,,13.225
37,Lukas Dauser,Germany,5.6,7.600,,13.200
38,Andrej Korosteljev,Croatia,6.5,6.850,-0.3,13.050
39,Norbert Dudas,Hungary,4.7,8.325,,13.025
40,Roberto Alvarez,Spain,6.4,6.375,-0.4,12.375
41,Michael Trane,Sweden,4.8,7.650,-0.1,12.350
42,Christopher Soos,Sweden,5.1,7.775,-0.6,12.275
43,Igor Radivilov,Ukraine,5.7,7.200,-0.7,12.200
44,Andres Arean,Argentina,5.4,7.000,-0.5,11.900
45,Florian Landuyt,Belgium,5.6,6.825,-0.7,11.725
46,David Kathan,Austria,5.4,5.825,,11.225
47,Koji Yamamuro,Japan,5.1,6.325,-0.6,10.825
48,Heikki Saarenketo,Finland,4.9,5.350,,10.250
49,Daniel Lucas,Azerbaijan,4.4,5.000,,9.400
