0,1,2,3,4,5,6
Rank,Athlete,Nation,D,E,ND,Total
1,Epke Zonderland,Netherlands,7.3,8.475,,15.775
2,Alexander Shatilov,Israel,6.5,8.575,,15.075
3,Umit Samiloglu,Turkey,6.5,8.500,,15.000
4,Pablo Braegger,Switzerland,7.0,7.900,,14.900
5,Nestor Abad,Spain,6.1,8.750,,14.850
6,Tin Srbic,Croatia,6.0,8.450,,14.450
7,Kevin Antoniotti,France,6.4,8.050,,14.450
8,Fabian Leimlehner,Austria,6.0,8.375,,14.375
9,Kristof Schroe,Belgium,6.2,8.125,,14.325
10,Jeffrey Wammes,Netherlands,5.8,8.475,,14.275
11,Waldemar Eichorn,Germany,6.4,7.725,,14.125
12,Nicolas Cordoba,Argentina,6.6,7.450,,14.050
13,Sebastian Krimmer,Germany,6.2,7.775,,13.975
14,Tomomasa Hasegawa,Japan,6.6,7.350,,13.950
15,Maxime Gentges,Belgium,5.7,8.150,,13.850
16,Stian Skjerahaug,Norway,5.3,8.525,,13.825
17,Axel Augis,France,6.3,7.525,,13.825
18,Christopher Jursch,Germany,6.6,7.200,,13.800
19,Adam Rzepa,Poland,5.7,8.075,,13.775
20,Moran Yanuka,Israel,5.3,8.425,,13.725
21,Pontus Kallanvaara,Sweden,5.5,8.225,,13.725
22,Pericles Silva,Brazil,5.9,7.800,,13.700
23,Karl Idesjo,Sweden,4.9,8.775,,13.675
24,Eduard Shaulov,Uzbekistan,5.4,8.225,,13.625
25,Robert Tvorogal,Lithuania,5.4,8.225,,13.625
26,Rokas Guscinas,Lithuania,5.6,7.975,,13.575
27,Andres Martinez,Colombia,5.7,7.825,,13.525
28,Maksim Kowalenko,Poland,5.1,8.400,,13.500
29,Luis Rivera,Puerto Rico,5.7,7.525,,13.225
30,David Kathan,Austria,4.7,8.400,,13.100
31,Igor Radivilov,Ukraine,6.2,6.900,,13.100
32,Jossimar Calvo,Colombia,6.3,6.550,,12.850
33,Taha Serhani,Switzerland,5.5,7.325,,12.825
34,Norbert Dudas,Hungary,4.9,7.900,,12.800
35,Eldar Safarov,Azerbaijan,4.4,8.375,,12.775
36,Ludovico Edalli,Italy,5.7,6.675,,12.375
37,David Vecsernyes,Hungary,6.1,6.275,,12.375
38,Ahmet Onder,Turkey,5.6,6.750,,12.350
39,Vlasios Maras,Greece,5.8,6.550,,12.350
40,Kohei Kameyama,Japan,5.7,6.500,,12.200
41,Fabian Gonzalez,Spain,6.7,5.050,,11.750
42,Oleg Verniaiev,Ukraine,5.8,5.350,,11.150
43,Alen Dimic,Slovenia,2.1,2.575,,4.675
