0,1,2,3,4,5,6
Rank,Athlete,Nation,D,E,ND,Total
1,Oleg Verniaiev,Ukraine,6.9,9.225,,16.125
2,Epke Zonderland,Netherlands,6.5,8.975,,15.475
3,Anton Fokin,Uzbekistan,6.6,8.675,,15.275
4,Jossimar Calvo,Colombia,6.9,8.325,,15.225
5,Pablo Braegger,Switzerland,6.3,8.700,,15.000
6,Kenzo Shirai,Japan,6.3,8.575,,14.875
7,Christian Baumann,Switzerland,6.4,8.425,,14.825
8,Jorge Giraldo,Colombia,6.4,8.375,,14.775
9,Nikolaos Iliopoulos,Greece,6.0,8.675,,14.675
10,Adam Kierzkowski,Poland,6.0,8.550,,14.550
11,Robert Tvorogal,Lithuania,5.8,8.675,,14.475
12,Kevin Antoniotti,France,6.0,8.425,,14.425
13,Ibrahim Colak,Turkey,6.1,8.325,,14.425
14,Lukas Dauser,Germany,6.3,8.100,,14.400
15,Pericles Silva,Brazil,6.0,8.375,,14.375
16,Matthias Fahrig,Germany,6.2,8.050,,14.250
17,Ferhat Arican,Turkey,6.3,7.925,,14.225
18,Ruben Lopez,Spain,6.5,7.650,,14.150
19,Tommaso de Vecchis,Italy,5.8,8.250,,14.050
20,Stian Skjerahaug,Norway,5.3,8.725,,14.025
21,Axel Augis,France,6.2,7.825,,14.025
22,Tomas Kuzmickas,Lithuania,5.7,8.275,,13.975
23,Boudewijn de Vries,Netherlands,5.0,8.875,,13.875
24,Eyal Glazer,Israel,5.4,8.450,,13.850
25,Norbert Dudas,Hungary,5.7,8.075,,13.775
26,Paata Nozadze,Georgia,4.6,9.025,,13.625
27,Eldar Safarov,Azerbaijan,4.7,8.675,,13.375
28,Zoltan Kallai,Hungary,4.8,8.500,,13.300
29,Osvaldo Martinez,Argentina,5.0,7.775,,12.775
30,David Kathan,Austria,4.8,7.925,,12.725
31,Nodar Lionidze,Georgia,3.6,8.950,,12.550
32,Nicolas Cordoba,Argentina,5.5,6.925,,12.425
33,Michael Trane,Sweden,5.3,7.050,,12.350
34,Maxime Gentges,Belgium,4.6,7.375,,11.975
35,Eduard Shaulov,Uzbekistan,5.0,6.925,,11.925
36,Atrem Dolgopyat,Israel,4.8,7.100,,11.900
37,Alberto Tallon,Spain,5.2,6.675,,11.875
38,Sebastian Krimmer,Germany,5.5,6.125,,11.625
39,Dirk Kathan,Austria,4.4,7.200,,11.600
40,Peter Lampret,Slovenia,4.9,6.550,,11.450
41,Maksim Kowalenko,Poland,5.1,6.075,,11.175
42,Pontus Kallanvaara,Sweden,4.6,6.375,,10.975
43,Koji Yamamuro,Japan,5.8,4.525,,10.325
44,Florian Landuyt,Belgium,4.3,5.750,,10.050
45,Alen Dimic,Slovenia,3.0,6.550,-4.0,5.550
