0,1,2,3,4,5,6
Rank,Athlete,Nation,D,E,ND,Total
1,Cyril Tommasone,France,7.0,8.775,,15.775
2,Oleg Verniaiev,Ukraine,6.9,8.575,,15.475
3,Saso Bertoncelj,Slovenia,6.5,8.550,,15.050
4,Tomomasa Hasegawa,Japan,6.7,8.125,,14.825
5,Donna-Donny Truyens,Belgium,6.0,8.775,,14.775
6,Kohei Kameyama,Japan,7.2,7.450,,14.650
7,Matija Baron,Croatia,6.0,8.625,,14.625
8,Dmitrijs Trefilovs,Latvia,6.1,8.500,,14.600
9,Rokas Guscinas,Lithuania,5.9,8.550,,14.450
10,Robert Seligman,Croatia,6.1,8.350,,14.450
11,Boudewijn de Vries,Netherlands,6.1,8.325,,14.425
12,Jure Pavlica,Slovenia,5.4,8.975,,14.375
13,Andrii Sienichkin,Ukraine,6.0,8.350,,14.350
14,Zoltan Kallai,Hungary,6.4,7.750,,14.150
15,Jhonny Munoz,Colombia,6.0,8.100,,14.100
16,Alexander Shatilov,Israel,5.9,8.175,,14.075
17,Jorge Giraldo,Colombia,6.0,8.075,,14.075
18,Fabian Gonzalez,Spain,5.9,8.150,,14.050
19,Stian Skjerahaug,Norway,6.0,8.000,,14.000
20,Nicolas Cordoba,Argentina,5.8,8.125,,13.925
21,Axel Augis,France,5.9,7.925,,13.825
22,Waldemar Eichorn,Germany,6.3,7.525,,13.825
23,Luis Rivera,Puerto Rico,6.0,7.725,,13.725
24,Christian Baumann,Switzerland,6.6,7.125,,13.725
25,Nikolaos Iliopoulos,Greece,5.6,8.025,,13.625
26,Sebastian Krimmer,Germany,5.9,7.675,,13.575
27,Nestor Abad,Spain,6.2,7.100,,13.300
28,Christopher Jursch,Germany,5.4,7.775,,13.175
29,Anton Fokin,Uzbekistan,5.7,7.400,,13.100
30,Georgios Chatziefstathiou,Greece,6.4,6.650,,13.050
31,Ahmet Onder,Turkey,5.9,7.125,,13.025
32,Pericles Silva,Brazil,5.6,7.400,,13.000
33,Ludovico Edalli,Italy,5.6,7.325,,12.925
34,Tommaso de Vecchis,Italy,6.1,6.800,,12.900
35,Eduard Shaulov,Uzbekistan,5.3,7.525,,12.875
36,Ferhat Arican,Turkey,6.2,6.600,,12.800
37,Dirk Kathan,Austria,5.2,7.575,,12.775
38,Daniel Kopeinik,Austria,5.4,7.150,,12.550
39,Pontus Kallanvaara,Sweden,4.9,7.625,,12.525
40,Sascha Palgen,Luxembourg,5.1,7.350,,12.450
41,Jarkko Perkkanen,Finland,5.4,6.925,,12.325
42,Adam Rzepa,Poland,6.2,6.100,,12.300
43,Moran Yanuka,Israel,4.9,7.325,,12.225
44,Christopher Soos,Sweden,4.9,7.050,,11.950
45,Norbert Dudas,Hungary,5.6,6.200,,11.800
46,Paata Nozadze,Georgia,5.1,6.625,,11.725
47,Anthony van Assche,Netherlands,5.7,5.950,,11.650
48,Rafael Morales,Puerto Rico,5.0,6.275,,11.275
49,Nodar Lionidze,Georgia,4.1,6.500,,10.600
50,Siemon Volkaert,Belgium,5.8,4.750,,10.550
51,Maksim Kowalenko,Poland,5.3,4.825,,10.125
52,Andres Arean,Argentina,4.9,3.550,,8.450
53,Daniel Lucas,Azerbaijan,3.0,3.225,,6.225
