0,1,2,3,4,5,6
Rank,Athlete,Nation,D,E,ND,Total
1,Eleftherios Petrounias,Greece,6.8,8.775,,15.575
2,Arthur Zanetti,Brazil,6.7,8.775,,15.475
3,Oleg Verniaiev,Ukraine,6.5,8.775,,15.275
4,Lambertus van Gelder,Netherlands,6.5,8.775,,15.275
5,Igor Radivilov,Ukraine,6.8,8.450,,15.250
6,Ibrahim Colak,Turkey,6.6,8.575,,15.175
7,Koji Yamamuro,Japan,6.6,8.275,,14.875
8,Tommy Ramos,Puerto Rico,6.5,8.200,,14.700
9,Dennis Goossens,Belgium,6.6,8.075,,14.675
10,Ruben Lopez,Spain,6.4,8.025,,14.425
11,Anthony van Assche,Netherlands,6.0,8.350,,14.350
12,Tomomasa Hasegawa,Japan,5.8,8.475,,14.275
13,Danny Pinheiro Rodrigues,France,6.8,7.450,,14.250
14,Mathias Philippe,France,5.9,8.300,,14.200
15,David Fuerst,Switzerland,6.2,8.000,,14.200
16,Eyal Glazer,Israel,5.5,8.500,,14.000
17,Peter Lampret,Slovenia,6.1,7.875,,13.975
18,Paata Nozadze,Georgia,4.9,8.775,,13.675
19,Maksim Kowalenko,Poland,5.3,8.250,,13.550
20,Rokas Guscinas,Lithuania,5.4,8.125,,13.525
21,Lorenzo Ticchi,Italy,5.6,7.925,,13.525
22,Matthias Fahrig,Germany,5.3,8.200,,13.500
23,Mauro Martinez,Argentina,5.7,7.775,,13.475
24,Stian Skjerahaug,Norway,5.1,8.275,,13.375
25,Sebastian Cecot,Poland,4.9,8.375,,13.275
26,Anton Fokin,Uzbekistan,5.1,8.050,,13.150
27,Tomas Kuzmickas,Lithuania,4.7,8.400,,13.100
28,Eldar Safarov,Azerbaijan,4.7,8.375,,13.075
29,Andrea Cingolani,Italy,5.7,7.325,,13.025
30,Michael Trane,Sweden,4.9,8.075,,12.975
31,Moran Yanuka,Israel,4.6,8.225,,12.825
32,Norbert Dudas,Hungary,5.6,7.050,,12.650
33,Christopher Soos,Sweden,4.6,8.000,,12.600
34,Attila Vlacsil,Hungary,5.9,6.600,,12.500
35,Alberto Tallon,Spain,6.0,6.275,,12.275
36,Tomi Tuuha,Finland,4.1,7.975,,12.075
37,Vitalijs Kardasovs,Latvia,4.5,7.425,,11.925
38,Daniel Kopeinik,Austria,4.2,6.200,,10.400
39,Markku Vahtila,Finland,3.3,1.95,,5.250
