0,1,2,3,4,5,6,7
Rank,Athlete,Nation,D,E,ND,Total,Average
1,Igor Radivilov,Ukraine,6.0,9.075,,15.075,15.100
1,Igor Radivilov,Ukraine,6.0,9.125,,15.125,15.100
2,Matthias Fahrig,Germany,5.6,9.400,,15.000,14.912
2,Matthias Fahrig,Germany,5.6,9.225,,14.825,14.912
3,Kenzo Shirai,Japan,6.0,9.000,,15.000,14.900
3,Kenzo Shirai,Japan,5.6,9.200,,14.800,14.900
4,Vitalijs Kardasovs,Latvia,5.6,9.300,,14.900,14.712
4,Vitalijs Kardasovs,Latvia,5.2,9.325,,14.525,14.712
5,Diego Hypolito,Brazil,5.6,9.175,,14.775,14.650
5,Diego Hypolito,Brazil,5.4,9.125,,14.525,14.650
6,Bart Deurloo,Netherlands,5.6,9.200,,14.800,14.575
6,Bart Deurloo,Netherlands,5.6,8.850,-0.1,14.350,14.575
7,Jeffrey Wammes,Netherlands,5.6,9.125,,14.725,14.475
7,Jeffrey Wammes,Netherlands,5.4,8.925,-0.1,14.225,14.475
8,Koji Yamamuro,Japan,6.0,8.175,-0.3,13.875,14.362
8,Koji Yamamuro,Japan,5.6,9.250,,14.850,14.362
9,Oleg Verniaiev,Ukraine,6.0,8.150,-0.1,14.050,14.350
9,Oleg Verniaiev,Ukraine,5.6,9.150,-0.1,14.650,14.350
10,Tomas Kuzmickas,Lithuania,5.2,9.225,,14.425,14.337
10,Tomas Kuzmickas,Lithuania,5.2,9.050,,14.250,14.337
11,Enrique Gonzalez,Chile,6.0,7.875,,13.875,14.237
11,Enrique Gonzalez,Chile,5.6,9.000,,14.600,14.237
12,Tomi Tuuha,Finland,5.6,8.525,-0.3,13.825,14.162
12,Tomi Tuuha,Finland,5.6,8.900,,14.500,14.162
13,Ahmet Onder,Turkey,5.2,9.225,,14.425,14.137
13,Ahmet Onder,Turkey,4.8,9.050,,13.850,14.137
14,Andrea Cingolani,Italy,5.6,9.100,,14.700,14.062
14,Andrea Cingolani,Italy,5.6,7.825,,13.425,14.062
15,Artem Dolgopyat,Israel,5.2,9.250,,14.450,14.062
15,Artem Dolgopyat,Israel,4.8,8.975,-0.1,13.675,14.062
16,Daniel Robert Lucas,Azerbaijan,5.2,9.150,,14.350,13.987
16,Daniel Robert Lucas,Azerbaijan,4.4,9.225,,13.625,13.987
17,Rayderley Zapata,Spain,6.0,8.125,-0.3,13.825,13.950
17,Rayderley Zapata,Spain,5.2,8.875,,14.075,13.950
18,Andres Martinez,Colombia,5.2,9.025,,14.225,13.937
18,Andres Martinez,Colombia,4.4,9.250,,13.650,13.937
19,Attila Vlacsil,Hungary,5.6,8.900,,14.500,13.837
19,Attila Vlacsil,Hungary,4.4,8.875,-0.1,13.175,13.837
20,Ferhat Arican,Turkey,5.6,8.100,-0.3,13.400,13.775
20,Ferhat Arican,Turkey,5.2,8.950,,14.150,13.775
21,Andrey Medvedev,Israel,5.6,8.050,,13.650,13.687
21,Andrey Medvedev,Israel,6.0,8.025,-0.3,13.725,13.687
22,Heikki Saarenketo,Finland,5.2,8.550,-0.1,13.650,13.600
22,Heikki Saarenketo,Finland,4.4,9.150,,13.550,13.600
23,Roberto Alvarez,Spain,5.6,8.075,,13.675,13.400
23,Roberto Alvarez,Spain,5.6,7.825,-0.3,13.125,13.400
24,Sebastian Cecot,Poland,5.6,7.950,,13.550,13.062
24,Sebastian Cecot,Poland,5.2,7.675,-0.3,12.575,13.062
25,Lukas Dauser,Germany,5.6,9.000,-0.1,14.500,7.250
25,Lukas Dauser,Germany,0.0,0.000,,0.000,7.250
26,Norbert Dudas,Hungary,5.2,8.800,,14.000,7.000
26,Norbert Dudas,Hungary,0.0,0.000,,0.000,7.000
27,Paata Nozadze,Georgia,4.4,9.225,,13.625,6.812
27,Paata Nozadze,Georgia,0.0,0.000,,0.000,6.812
28,Rokas Guscinas,Lithuania,4.8,8.850,-0.3,13.350,6.675
28,Rokas Guscinas,Lithuania,0.0,0.000,,0.000,6.675
